"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635118230","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635118230","","Web Developer","Encantado Technical Solutions","Albuquerque, NM","2025-02-12","","","","","","",False,"","","organic","","Overview:

This organization provides web design and development services for a national lab. Organization considers the necessary content management and delivery vehicles needed to attain customer business goals, including web content and communication products. The Subcontractor shall consult and support all aspects of web development, such as systems analysis and design, user interface and experience design, workflow support, programming, project leadership, and product user training and support. Subcontractor experience with web\\-based products using Web technologies such as HTML5/CSS3, PHP, JavaScript, and jQuery, and working with web content management systems (e.g., WordPress, Cascade Server) Web service usage is required.
Responsibilities:

Collaborate with others to investigate, plan, gather requirements, design, develop, test, document, analyze problems, and support software systems and applications.
Qualifications:
* Bachelor’s degree in Computer Science plus 2 years of experience. In lieu of degree an additional 6 years of related experience totaling 8 years
* Must be US Citizen
* Ability to obtain and maintain a U.S. Department of Energy L security clearance

**Required Skills**:
* Provide support in upgrading, maintaining, and creating web content, including day\\-to\\-day site design and creation
* Designs and constructs desktop and mobile friendly web sites, web applications
* Experience with user interface layout creation, visual design, information architecture, and organizing web content and navigation. Ability to conceptualize elements of web site development or administration, including the delivery of clear and concise communications to appropriate audiences
* Possess a working knowledge of browsers, editors, graphic design software (e.g., PhotoShop, Illustrator)

**Desired Skills**:* Ability to review incoming customer support tickets, analyze for alignment with web services, respond to customers on desired needs, and forward ticket to appropriate team members
* Experience in coding, and testing techniques, including HTML and CSS
* Experience with animation software and images
* Familiarity with streaming media concepts and techniques, including digital video and audio compression standards such as MP3, WAV, and MPEG
* Knowledge of search engine optimization techniques, web analytics, web security, web usability, or social media
* Ability to be self\\-directed on technical projects
* Demonstrated ability to work effectively in a collaborative and interdisciplinary team environment
* Analytical and problem\\-solving skills
* Must have good communication skills and the ability to work with all levels of management and technical personnel
* Test software performance/capabilities

 **WHY WORK AT ENCANTADO TECHNICAL SOLUTIONS?**
Encantado is powered by our people. We believe that together, through teamwork, communication, and dedicated service, we can accomplish more than we could individually. If a culture of collaboration and growth is important to you, you’ll feel at home at Encantado. We offer clear opportunities for advancement and comprehensive benefit packages to help our employees and their families stay healthy and feel secure. **ABOUT US:**
Encantado Technical Solutions (ETS) is an unpopulated joint venture between Edgewater Federal Solutions, Inc. and ECS Federal, LLC. ETS is bolstered by second\\-tier subcontractors KeyLogic and Amentum. As ETS is unpopulated, employees will work for one of the four companies listed above.  

*It has been and continues to be the policy of Encantado Technical Solutions to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, and/or other status protected by applicable law.*","","https://www.glassdoor.com/Overview/W-EI_IE6431004.htm","https://media.glassdoor.com/sql/6431004/encantado-technical-solutionss-squarelogo-1647595085418.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009636070843","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009636070843","","Web Developer","Edgewater Federal Solutions, Inc.","Albuquerque, NM","2025-02-12","","","","","","",False,"","","organic","","Overview:

Edgewater Federal Solutions is seeking a Web Developer to support the IT program at a major national laboratory. This organization provides web design and development services for a national lab. Organization considers the necessary content management and delivery vehicles needed to attain customer business goals, including web content and communication products. The Subcontractor shall consult and support all aspects of web development, such as systems analysis and design, user interface and experience design, workflow support, programming, project leadership, and product user training and support.
Responsibilities:
* Collaborate with others to investigate, plan, gather requirements, design, develop, test, document, analyze problems, and support software systems and applications.


Qualifications:
* Bachelor’s degree in Computer Science plus 2 years of experience.
* In lieu of degree an additional 6 years of related experience totaling 8 years
* U.S. Citizenship is required per contract to obtain and maintain a U.S. Department of Energy L clearance
* Provide support in upgrading, maintaining, and creating web content, including day\\-to\\-day site design and creation
* Designs and constructs desktop and mobile friendly web sites, web applications
* Experience with user interface layout creation, visual design, information architecture, and organizing web content and navigation. Ability to conceptualize elements of web site development or administration, including the delivery of clear and concise communications to appropriate audiences
* Possess a working knowledge of browsers, editors, graphic design software (e.g., PhotoShop, Illustrator)
* Experience with web\\-based products using Web technologies such as HTML5/CSS3, PHP, JavaScript, and jQuery, and working with web content management systems (e.g., WordPress, Cascade Server) Web service usage is required.

**Desired**:* Ability to review incoming customer support tickets, analyze for alignment with web services, respond to customers on desired needs, and forward ticket to appropriate team members
* Experience in coding, and testing techniques, including HTML and CSS
* Experience with animation software and images
* Familiarity with streaming media concepts and techniques, including digital video and audio compression standards such as MP3, WAV, and MPEG
* Knowledge of search engine optimization techniques, web analytics, web security, web usability, or social media
* Ability to be self\\-directed on technical projects
* Demonstrated ability to work effectively in a collaborative and interdisciplinary team environment
* Analytical and problem\\-solving skills
* Must have good communication skills and the ability to work with all levels of management and technical personnel
* Test software performance/capabilities

**About Us:**
Edgewater Federal Solutions is a privately held government contracting firm located in Frederick, MD. The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment, exceptional services and timely delivery. Edgewater Federal Solutions is ISO 9001, 20000\\-1, 270001 certified, appraised at CMMI Level 3 Maturity for Development and Services, and has been named in the Top Workplaces in the Greater Washington Area Small Companies for 2018 through 2024\\.  

It has been and continues to be the policy of Edgewater Federal Solutions to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, and/or other statuses protected by applicable law.","","https://www.glassdoor.com/Overview/W-EI_IE1537435.htm","https://media.glassdoor.com/sql/1537435/edgewater-federal-solutions-squarelogo-1588264782387.png","","","","",""
"go-ZLDe9auHCPHJucjpAAAAAA==","google","https://www.linkedin.com/jobs/view/intern-technical-graduate-year-round-quantum-computer-science-remote-at-sandia-national-laboratories-4151470783?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Intern, Technical Graduate Year-Round - Quantum Computer Science, Remote","Sandia National Laboratories","Albuquerque, NM","2025-02-04","fulltime, contract","","","","","",True,"","","","","What Your Job Will Be Like

We are seeking year-round Graduate Student Interns to join our Quantum Computer Science Department to assist our R&D staff with the development, coding, implementation, verification, and analysis of quantum algorithms and quantum computing architectures in support of the Department of Energy’s National Quantum Initiative Research Center, the Quantum Systems Accelerator (QSA).

On any given day, you may be called on to:
• Work performed by the student interns will facilitate R&D pertaining to simulation of particle physics on quantum computers, analysis of quantum algorithms or quantum error mitigation paradigms, or research in automated theorem proving to participate in a project developing capabilities to formally prove the correctness of quantum algorithms.
• Code and run numerical software in scientific programming languages, such as Python, Matlab, or Mathematica, in support of quantum algorithm and architecture development directed by R&D staff;
• You may also be required to assist in the analysis of data and assist in the writing of reports and other written dissemination of R&D outcomes; Potentially represent Sandia and the department in national or international conferences and publications; and/or Provide education and training to enable quantum algorithm experts to interface with the algorithm verification/validation codes.

We are seeking graduate student interns who can work under a full-time telework schedule where they will work from home or their school site but can readily commute physically to Sandia’s main campus in Albuquerque (NM) when needed.

Salary Range

At Sandia, we value the important work done by our interns and its contribution to National Security. Because of this, our interns earn competitive pay rates. Our pay structure is based on earned credit hours, classification, and degree level. Your pay rate will be determined during the hire process and included in your offer package. You can view the Intern Pay Rate chart here (https://www.sandia.gov/app/uploads/sites/51/2024/12/Student-Rate-Sheet-2025.docx) .

Qualifications We Require

You bring the confidence and skills to be eligible for the job by meeting these minimum requirements:
• Earned bachelor's degree
• Currently attending and enrolled full time in a related accredited graduate program
• Minimum cumulative GPA of 3.0/4.0
• Ability to work up to 30 hours per week during the academic year, and up to 40 hours per week during the summer
• U.S. citizens, legal permanent residents, asylees or refugees in the U.S.

Note: If you have not yet started your graduate program, please apply to an undergraduate intern position.

Qualifications We Desire
• Pursuing Ph.D. or a Masters Degree in an in an accredited science, engineering, or math graduate program
• Excellent written and oral communication skills, and the ability to thrive in a team environment.
• Proficiency in Python and/or C/C++ programming, and experience with running codes on massively parallel computing clusters.

Posting Duration

This posting will be open for application submissions for a minimum of seven (7) calendar days, including the ‘posting date’. Sandia reserves the right to extend the posting date at any time.

About Our Team

The Quantum Computer Science Department (1425) pursues foundational research and development to enable creation of quantum information processors (QIPs) that will provide exponential speed-ups for selected computational problems. We are a team of computer- and computational-physicists whose expertise and pursuits include: computational modeling of physical qubits; theory and design of fault-tolerant QIPs; instruction set architectures for QIPs, evaluation of as-built qubits performance and noise characterization; logical qubit design for real-world noise; performance assessment of many-qubit QIPs; quantum algorithm development; the physics of information; and development of methods and computational simulation capabilities for all of the above pursuits.Additionally, the QCS Department is part of an institution-wide, coordinated program that is focused on realizing near-term quantum sensing capabilities, practical quantum information processing, quantum communications, and distributed quantum computing. The Department closely collaborates with researchers in allied areas working on similar pursuits; closely collaborates with experimentalist groups at Sandia working on developing practical qubits in various technologies; has strong working relationships with the U.S. Department of Energy (DOE) offices and other U.S. government agencies interested in quantum information science (QIS); and collaborates, broadly, with academic and commercial colleagues in the external QIS research community.

About Sandia

Sandia National Laboratories is the nation’s premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
• Challenging work with amazing impact that contributes to security, peace, and freedom worldwide
• Extraordinary co-workers
• Some of the best tools, equipment, and research facilities in the world
• Career advancement and enrichment opportunities
• Flexible work arrangements for many positions include 9/80 (work 80 hours every two weeks, with every other Friday off) and 4/10 (work 4 ten-hour days each week) compressed workweeks, part-time work, and telecommuting (a mix of onsite work and working from home)
• Generous vacation, strong medical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance*

World-changing technologies. Life-changing careers. Learn more about Sandia at: http://www.sandia.gov
• These benefits vary by job classification.

Security Clearance

This position does not currently require a Department of Energy (DOE) security clearance.

Sandia will conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Furthermore, employees in New Mexico need to pass a U.S. Air Force background screen for access to Kirtland Air Force Base. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause access to be denied or terminated, resulting in the inability to perform the duties assigned and subsequent termination of employment.

If hired without a clearance and it subsequently becomes necessary to obtain and maintain one for the position, or you bid on positions that require a clearance, a pre-processing background review may be conducted prior to a required federal background investigation. Applicants for a DOE security clearance need to be U.S. citizens. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain a security clearance may be impacted.

Members of the workforce (MOWs) hired at Sandia who require uncleared access for greater than 179 days during their employment, are required to go through the Uncleared Personal Identity Verification (UPIV) process. Access includes physical and/or cyber (logical) access, as well as remote access to any NNSA information technology (IT) systems. UPIV requirements are not applicable to individuals who require a DOE personnel security clearance for the performance of their SNL employment or to foreign nationals. The UPIV process will include the completion of a USAccess Enrollment, SF-85 (Questionnaire for Non-Sensitive Positions) and OF-306 (Declaration of for Federal Employment). An unfavorable UPIV determination will result in immediate retrieval of the SNL issued badge, removal of cyber (logical) access and/or removal from SNL subcontract. All MOWs may appeal the unfavorable UPIV determination to DOE/NNSA immediately. If the appeal is unsuccessful, the MOW may try to go through the UPIV process one year after the decision date.

Eeo

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.

NNSA Requirements For MedPEDs

If you have a Medical Portable Electronic Device (MedPED), such as a pacemaker, defibrillator, drug-releasing pump, hearing aids, or diagnostic equipment and other equipment for measuring, monitoring, and recording body functions such as heartbeat and brain waves, if employed by Sandia National Laboratories you may be required to comply with NNSA security requirements for MedPEDs.

If you have a MedPED and you are selected for an on-site interview at Sandia National Laboratories, there may be additional steps necessary to ensure compliance with NNSA security requirements prior to the interview date.

Job ID: 694965

Job Family: 91

Regular/Temporary Position: T

Full/Part-Time Status: P","","","","","","","",""
"go-y5JZNSS8z4llLDZaAAAAAA==","google","https://us.bebee.com/job/2e086ef0a825ff6cc665dee2a2328b46?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Technical Lead for AI and ML Projects","Booz Allen Hamilton","Kirtland Air Force Base","2025-01-23","","","","","","",False,"","","","","Required Skills and Qualifications

To succeed in this role, you should have:
• A Bachelor's degree in Computer Science or Software Engineering.
• Experience developing AI and ML strategies and implementing them in real-world projects.
• Strong knowledge of modeling and simulation tools, including CBRN strategic platforms.
• Ability to evaluate vast data concepts and apply them to meet testing and systems requirements.","","","","","","","",""
"go-FMw3isJ_1idduOkKAAAAAA==","google","https://us.bebee.com/job/b065c543f6fc7e8921839d7970a73462?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Machine Learning Engineer","Booz Allen Hamilton","Kirtland Air Force Base","2025-01-22","","","","","","",True,"","","","","About This Opportunity

We are seeking a highly skilled machine learning engineer to join our team. In this role, you will train, test, deploy, and maintain models that learn from data. You will work collaboratively with data engineers, data scientists, and solutions architects to deliver world-class solutions.

About Your Responsibilities:
• Develop and implement advanced machine learning algorithms and models.
• Evaluate data quickly for systems requirements.
• Collaborate with cross-functional teams to design and develop data-driven solutions.

Requirements:
• A bachelor's degree in Computer Science or Software Engineering.
• Secret clearance.
• Advanced consulting skills and extensive technical expertise.
• Ability to understand vast data concepts and apply or evaluate to meet testing and systems requirements.

Why Choose Us?

We offer a dynamic and supportive work environment, opportunities for professional growth and development, and a comprehensive benefits package. Our people-first culture prioritizes the benefits of flexibility and collaboration, whether that happens in person or remotely.","","","","","","","",""
"go-g2R7yeub3hsXzOXIAAAAAA==","google","https://us.bebee.com/job/6aed817e601d9bd9de5b169f03cee73e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Artificial Intelligence Software Engineer","Zillow","Albuquerque, NM","2025-01-19","","","","","","",False,"","","","","Company Overview

Zillow is the most-visited real estate website in the United States, helping millions of people find and win their home through digital solutions. Our team is dedicated to making this vision a reality by providing innovative AI infrastructure.","","","","","","","",""
"in-f5c2e557fc4b15db","indeed","https://www.indeed.com/viewjob?jk=f5c2e557fc4b15db","https://careers-edgewaterit.icims.com/jobs/3629/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Web Developer","Edgewater Federal Solutions","Albuquerque, NM, US","2025-02-12","fulltime","direct_data","yearly",69548.0,88389.0,"USD",False,"","","","","Overview:

Edgewater Federal Solutions is seeking a Web Developer to support the IT program at a major national laboratory. This organization provides web design and development services for a national lab. Organization considers the necessary content management and delivery vehicles needed to attain customer business goals, including web content and communication products. The Subcontractor shall consult and support all aspects of web development, such as systems analysis and design, user interface and experience design, workflow support, programming, project leadership, and product user training and support.
Responsibilities:
* Collaborate with others to investigate, plan, gather requirements, design, develop, test, document, analyze problems, and support software systems and applications.


Qualifications:
* Bachelor’s degree in Computer Science plus 2 years of experience.
* In lieu of degree an additional 6 years of related experience totaling 8 years
* U.S. Citizenship is required per contract to obtain and maintain a U.S. Department of Energy L clearance
* Provide support in upgrading, maintaining, and creating web content, including day\\-to\\-day site design and creation
* Designs and constructs desktop and mobile friendly web sites, web applications
* Experience with user interface layout creation, visual design, information architecture, and organizing web content and navigation. Ability to conceptualize elements of web site development or administration, including the delivery of clear and concise communications to appropriate audiences
* Possess a working knowledge of browsers, editors, graphic design software (e.g., PhotoShop, Illustrator)
* Experience with web\\-based products using Web technologies such as HTML5/CSS3, PHP, JavaScript, and jQuery, and working with web content management systems (e.g., WordPress, Cascade Server) Web service usage is required.

**Desired**:* Ability to review incoming customer support tickets, analyze for alignment with web services, respond to customers on desired needs, and forward ticket to appropriate team members
* Experience in coding, and testing techniques, including HTML and CSS
* Experience with animation software and images
* Familiarity with streaming media concepts and techniques, including digital video and audio compression standards such as MP3, WAV, and MPEG
* Knowledge of search engine optimization techniques, web analytics, web security, web usability, or social media
* Ability to be self\\-directed on technical projects
* Demonstrated ability to work effectively in a collaborative and interdisciplinary team environment
* Analytical and problem\\-solving skills
* Must have good communication skills and the ability to work with all levels of management and technical personnel
* Test software performance/capabilities

**About Us:**
Edgewater Federal Solutions is a privately held government contracting firm located in Frederick, MD. The company was founded in 2002 with the vision of being highly recognized and admired for supporting customer missions through employee empowerment, exceptional services and timely delivery. Edgewater Federal Solutions is ISO 9001, 20000\\-1, 270001 certified, appraised at CMMI Level 3 Maturity for Development and Services, and has been named in the Top Workplaces in the Greater Washington Area Small Companies for 2018 through 2024\\.  

It has been and continues to be the policy of Edgewater Federal Solutions to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, and/or other statuses protected by applicable law.","","https://www.indeed.com/cmp/Edgewater-Federal-Solutions","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e6bb931a4cfa0a351d086f4e18113415","https://www.edgewaterit.com","Ijamsville","11 to 50","$5M to $25M (USD)",""
"in-83bd1ec5f382a795","indeed","https://www.indeed.com/viewjob?jk=83bd1ec5f382a795","https://careers-encantadotech.icims.com/jobs/2197/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Web Developer","","Albuquerque, NM, US","2025-02-11","fulltime","direct_data","yearly",51356.0,67028.0,"USD",False,"","","","","Overview:

This organization provides web design and development services for a national lab. Organization considers the necessary content management and delivery vehicles needed to attain customer business goals, including web content and communication products. The Subcontractor shall consult and support all aspects of web development, such as systems analysis and design, user interface and experience design, workflow support, programming, project leadership, and product user training and support. Subcontractor experience with web\\-based products using Web technologies such as HTML5/CSS3, PHP, JavaScript, and jQuery, and working with web content management systems (e.g., WordPress, Cascade Server) Web service usage is required.
Responsibilities:

Collaborate with others to investigate, plan, gather requirements, design, develop, test, document, analyze problems, and support software systems and applications.
Qualifications:
* Bachelor’s degree in Computer Science plus 2 years of experience. In lieu of degree an additional 6 years of related experience totaling 8 years
* Must be US Citizen
* Ability to obtain and maintain a U.S. Department of Energy L security clearance

**Required Skills**:
* Provide support in upgrading, maintaining, and creating web content, including day\\-to\\-day site design and creation
* Designs and constructs desktop and mobile friendly web sites, web applications
* Experience with user interface layout creation, visual design, information architecture, and organizing web content and navigation. Ability to conceptualize elements of web site development or administration, including the delivery of clear and concise communications to appropriate audiences
* Possess a working knowledge of browsers, editors, graphic design software (e.g., PhotoShop, Illustrator)

**Desired Skills**:* Ability to review incoming customer support tickets, analyze for alignment with web services, respond to customers on desired needs, and forward ticket to appropriate team members
* Experience in coding, and testing techniques, including HTML and CSS
* Experience with animation software and images
* Familiarity with streaming media concepts and techniques, including digital video and audio compression standards such as MP3, WAV, and MPEG
* Knowledge of search engine optimization techniques, web analytics, web security, web usability, or social media
* Ability to be self\\-directed on technical projects
* Demonstrated ability to work effectively in a collaborative and interdisciplinary team environment
* Analytical and problem\\-solving skills
* Must have good communication skills and the ability to work with all levels of management and technical personnel
* Test software performance/capabilities

 **WHY WORK AT ENCANTADO TECHNICAL SOLUTIONS?**
Encantado is powered by our people. We believe that together, through teamwork, communication, and dedicated service, we can accomplish more than we could individually. If a culture of collaboration and growth is important to you, you’ll feel at home at Encantado. We offer clear opportunities for advancement and comprehensive benefit packages to help our employees and their families stay healthy and feel secure. **ABOUT US:**
Encantado Technical Solutions (ETS) is an unpopulated joint venture between Edgewater Federal Solutions, Inc. and ECS Federal, LLC. ETS is bolstered by second\\-tier subcontractors KeyLogic and Amentum. As ETS is unpopulated, employees will work for one of the four companies listed above.  

*It has been and continues to be the policy of Encantado Technical Solutions to provide equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, marital status, veteran status, and/or other status protected by applicable law.*","","","","","","","",""
"li-3986112644","linkedin","https://www.linkedin.com/jobs/view/3986112644","https://epic.avature.net/Careers/ApplyFlowCheck?folderId=740&source=LinkedIn&urlHash=fKwC","Software Engineer","Epic","Albuquerque, NM","","fulltime","","","","","","","entry level","Engineering and Information Technology","","","Please note that this position is based on our campus in Madison, WI, and requires relocation to the area. We recruit nationally and provide financial relocation assistance.
   

  

**Code that saves lives.**
 As a software developer at Epic, you’ll write software that impacts the lives of 75% of Americans and 300 million patients around the world. Working in your own office, surrounded by thousands of high\\-caliber developers, you’ll use modern development methodologies and employ user\\-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading\\-edge technologies and languages like JS, TS, and C\\#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves. Learn more about our team at https://careers.epic.com/jobs/softwaredevelopment/.
   

  

**Write software for the most innovative health systems on the planet.**
 The top\\-ranked health systems in U.S. News and World Report are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State University, and many more.
   

  

**Live affordably in a city known for its rising tech talent.**
 Epic is located just outside Madison, Wisconsin, the second fastest growing market for tech talent in the United States and home to the state capital and the University of Wisconsin. Madison, a city surrounded by water, has received accolades for being the greenest city in America (NerdWallet), the best city for renters (SmartAsset), the fittest city in America (Fitbit), and the third best metro in the US for young professionals (Forbes Advisor).
   

  

**More than just important work** 
 .
   

  

 Our uniquely themed campus was designed to heighten your ability to get stuff done in your office, a conference room, or by the fireplace in a comfy chair. All meals are restaurant\\-quality but cost only a few dollars, and they’re prepared by a team comprised of kitchen talent from restaurants around the country. And, after five years here, you’ll earn a four\\-week sabbatical anywhere in the world. Staff have kayaked in Patagonia, attended a Beyoncé concert in Ireland, built a library in Tanzania, and run a marathon in Antarctica.
   

  

 We offer comprehensive benefits to keep you healthy and happy as you grow in your life and career, and your merit\\-based compensation will reflect the impact your work has on the company and our customers. You'll also be eligible for annual raises and bonuses, as well as stock grants, which give you an even greater stake in the success of Epic and our customers. Healthcare is global, and building the best ideas from around the world into Epic software is a point of pride. As an Equal Opportunity Employer, we know that inclusive teams design software that supports the delivery of quality care for all patients, so diversity, equity, and inclusion are written into our principles. Please see our full non\\-discrimination statement at https://careers.epic.com/EEO.
   

  

* Relocation to the Madison, WI area (Reimbursed)
* BS/BA or greater in Computer Science, Mathematics, Software Engineering, Computer Engineering, or a related field
* A history of academic excellence or professional success
* Eligible to work in the United States without visa sponsorship (persons with appropriate qualifications and eligible for TN status under NAFTA may apply)
* COVID\\-19 vaccination","Software Development","https://www.linkedin.com/company/epic1979","https://media.licdn.com/dms/image/v2/C4D0BAQH6HS4jtIcQ4w/company-logo_100_100/company-logo_100_100/0/1631348441877?e=2147483647&v=beta&t=oOcOoqQ5XjMudBpnuLAezQFt6sQvKtSzyNDaM9PGCys","","","","",""
