"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635810267","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635810267","","Full Stack Developer","Tire Discounters","Cincinnati, OH","2025-02-12","","","","","","",False,"","","organic","","Since our founder, Chip Wood, opened the doors to the first Tire Discounters over 40 years ago, we have been raising the bar in the tire and automotive business. Family\\-owned and operated to this day, we've separated ourselves by treating customers and their cars with care and respect while focusing on transparency in pricing and providing the highest level of service.  

  

Now nearly 2000 strong, our team members are the best in the business, so we also continue raising the bar as an employer of choice! We separate ourselves by providing a variety of career paths, industry\\-leading training and development programs, clear advancement tracks, comprehensive benefit plans, and a focus on life balance!





The Full Stack Developer will design, develop, and maintain software applications to increase business process efficiency and effectiveness using Microsoft development tools. Key responsibilities include gathering and analyzing requirements in collaboration with the Sales and Operations teams, designing and developing web and Windows\\-based applications with the .NET framework (C\\#), and modifying existing applications to add features and functionality. The role also involves creating advanced SQL\\-based solutions, implementing best practices and standards for software development, and documenting processes. The developer will collaborate with business leaders to understand and support complex business needs, ensure programming results meet client requirements, and provide technical support for applications as needed.


**ESSENTIAL FUNCTIONS:**


* Analyze information, requirements, and specifications to design and develop web and Windows\\-based applications using the .NET framework (C\\#).
* Modify existing applications to implement additional features and functionality.
* Design and create advanced SQL\\-based solutions using tables, functions, and stored procedures with T\\-SQL.
* Analyze and research existing application codebases to learn and subsequently enhance them with little guidance.
* Implement best practices and standards for software development and document institutional knowledge processes, including the development of standard operating procedures (SOPs).
* Consult with business leaders to develop an understanding of varied and complex business needs supported by the system.
* Analyze information, requirements, and specifications to design and develop effective solutions.
* Ensure programming results meet the client's requirements based on their business needs.
* Provide technical support for web and Windows\\-based applications as needed.
* Perform regular maintenance and upgrades to ensure applications and systems are running smoothly and efficiently.
* Provide training and assistance to end\\-users on new features and functionalities windows\\-based applications.
* Identify and resolve performance bottlenecks in applications and databases to optimize efficiency.
* Ensure the security of applications and data through best practices in coding and database management.
* Maintain comprehensive documentation of code, processes, and user guides to facilitate knowledge transfer and onboarding.

Requirements:
**KNOWLEDGE, SKILLS, AND ABILITIES:**


* Advanced skills and knowledge of C\\#, .NET Framework, .NET CORE development
* Advanced skills and knowledge with microservice architecture, REST API.
* Advanced skills in JavaScript (Node, React)
* Proficiency with Automated Unit and Integration Tests.


* Proficiency in creating both Web and Windows\\-based applications
* Strong knowledge of cloud services, particularly Microsoft Azure and Amazon Web Services (AWS).
* Skill in using SQL Server 2016, T\\-SQL, and stored procedures.
* Strong verbal and written communication skills, able to convey complex technical concepts to non\\-technical stakeholders.
* Capability to design and optimize databases, familiar with version control systems.
* Self\\-motivated and proactive in approach to tasks and problem\\-solving.
* Ability to manage competing and sometimes conflicting demands.
* Approachable and relatable, with a high level of demonstrated business acumen.
* Strong sense of accountability and results\\-oriented mindset.
* Detail\\-oriented with very strong organizational skills.
* Strategic, structured, and focused thinker with strong analytical and problem\\-solving skills.


**EDUCATION AND WORK EXPERIENCE:**


* Bachelor's degree in Computer Science, Software Engineering, or a related discipline, or equivalent experience.
* 5\\-7 years of experience with C\\# development.
* 5\\-7 years of experience with Microsoft Visual Studio.
* 1\\-3 years of experience with .NET Core 3\\+.","","https://www.glassdoor.com/Overview/W-EI_IE470987.htm","https://media.glassdoor.com/sql/470987/tire-discounters-squarelogo-1604063004716.png","","","","",""
"gd-1009634842854","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634842854","","Senior Data Engineer","TriHealth","United States","2025-02-12","","","","","","",False,"","","organic","","**Full\\-time position:** 80 hours bi\\-weekly
  
  

Day shift
  
  

**Job Overview:**  

The senior data engineer will play a pivotal role in building, managing and optimizing data pipelines and/or datasets and ETL/ELT processes over their life cycles by working closely with a multidisciplinary Agile team. As a Senior Data Engineer you will assemble large, highly complex datasets that meet functional/non\\-functional business requirements for key stakeholders to ensure the enterprise has seamless access to actionable, meaningful, and well\\-governed data across all domains
  
  

1\\.Create and maintain optimal data pipeline architecture with a current understanding of emerging technologies aligned to business needs
  
  

2\\. Syncing data between various systems to ensure consistency, integrity, and reliable insights gathering from multiple tools
  
  

3\\. Strong close relationship with data science teams and with business (data) analysts in refining their data requirements for various data and analytics initiatives and their data consumption requirements
  
  

4\\. Provide technical leadership for a team of engineers to create products by removing roadblocks to development through collaboration, communication, and creative solution recommendations
  
  

5\\. Identifying, designing and implementing internal process improvements including re\\-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes
  
  

6\\. Working with stakeholders including data, design, product and executive teams and assisting them with data\\-related technical issues
  
  

7\\. Certification Requirements \\- Epic Clarity data model certification expected within 1 year of hire date \\& Python certification using internal training tools within 2 year of hire date as well as maintaining your continued education credits
  
  

**Job Requirements:**  

Bachelor's Degree in Information Systems Computer Science, Statistics, Healthcare Information Management, Engineering or a related field
  
  

Equivalent relevant experience accepted in lieu of degree
  
  

Epic Clarity Data Model Certification (\\< 1yr)
  
  

Python Certification (\\< 2yr)
  
  

Epic Clarity Data Model Certification (\\< 1yr)
  
  

Python Certification (\\< 2yr)
  
  

1\\.Exposure to Relational Databases like SQL Server \\& Non\\-Relational Databases
  
  

2\\. Experience with ETL/ELT, Data pipelines and/or Datasets \\& BI tools
  
  

3\\. Experience with programming languages such as Python, C\\# etc
  
  

4\\. Exposure to Agile methods
  
  

4\\-5 years Technical Information Systems Computer Science, Statistics, Healthcare Information Management, Engineering or a related field
  
  

Up to 1 year Clinical Healthcare
  
  

**Job Responsibilities:**  

**Other Job\\-Related Information:**  

Develop data extracts and analytics solutions for Epic Community Connect projects
  
  

**Working Conditions:**","","https://www.glassdoor.com/Overview/W-EI_IE17427.htm","https://media.glassdoor.com/sql/17427/trihealth-squarelogo.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009634984562","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634984562","","Manager, AI Center of Excellence","AHEAD","Cincinnati, OH","2025-02-12","","direct_data","yearly",180000.0,225000.0,"USD",False,"","","organic","","AHEAD builds platforms for digital business. By weaving together advances in cloud infrastructure, automation and analytics, and software delivery, we help enterprises deliver on the promise of digital transformation.  

At AHEAD, we prioritize creating a culture of belonging, where all perspectives and voices are represented, valued, respected, and heard. We create spaces to empower everyone to speak up, make change, and drive the culture at AHEAD.  

We are an equal opportunity employer, and do not discriminate based on an individual's race, national origin, color, gender, gender identity, gender expression, sexual orientation, religion, age, disability, marital status, or any other protected characteristic under applicable law, whether actual or perceived. ***We embrace all candidates that will contribute to the diversification and enrichment of ideas and perspectives at AHEAD.***  

 The Manager of AI Center of Excellence (CoE) plays a critical role in leading Ahead's efforts to drive innovation, accelerate AI adoption, and create a competitive advantage for Ahead. This position requires a visionary leader with deep expertise in artificial intelligence, machine learning, generative AI, and AI Adoption who can spearhead the development and implementation of AI strategies across diverse industries. The successful candidate will be responsible for building and managing an AI team, establishing best practices, and fostering a culture of continuous learning and improvement.
### **Responsibilities**

* Strategic Leadership: Define and execute the AI CoE's vision and strategy in alignment with Ahead's overall business objectives and client needs.
* Team Management: Build, lead, and mentor a high\\-performing AI team, including data scientists, machine learning engineers, and AI specialists.
* Innovation and Research: Drive cutting\\-edge adoption and innovation in AI technologies, staying abreast of industry trends and emerging technologies.
* Client Engagement: Collaborate with Ahead departments to understand their business challenges and develop AI solutions that deliver measurable value.
* Project Management: Oversee the end\\-to\\-end execution of AI projects, ensuring timely delivery, quality, and alignment with client expectations.
* Partnerships and Alliances: Establish and maintain strategic partnerships with industry leaders, and technology vendors.
* Thought Leadership: Represent Ahead as a thought leader in AI, participating in industry conferences and contributing to public forums.
* Best Practices: Develop and implement best practices, standards, and frameworks for AI development, deployment, and governance.
* Continuous Improvement: Foster a culture of continuous learning and improvement, encouraging experimentation and the adoption of new technologies and methodologies.
* + Other job duties as assigned

### **Education and Experience**

* Education: Advanced degree in Computer Science, Artificial Intelligence, Machine Learning, Data Science, or a related field.
* Experience: Minimum 5 years of experience in applied AI, Generative AI, machine learning, and data analytics, with a proven track record of leading successful AI initiatives.

### **Knowledge, Skills, Abilities**

* Technical Skills: Strong expertise in generative AI, prompt development, machine learning, natural language processing and other AI technologies.
* Leadership Skills: Demonstrated ability to build, lead, and inspire a high\\-performing team of AI professionals.
* Strategic Thinking: Ability to develop and execute a strategic vision for AI in alignment with business goals and client needs.
* Communication Skills: Excellent verbal and written communication skills, with the ability to effectively communicate complex technical concepts to non\\-technical stakeholders.
* Ahead Focus: Proven ability to collaborate with end users and departments, understand their business challenges, and deliver AI solutions that drive value.
* Innovation: Passion for innovation and a deep curiosity about emerging AI technologies and industry trends.
* Partnership Building: Experience in establishing and maintaining strategic partnerships with industry leaders, and technology vendors.

### **Physical Requirements**

* Ability to safely and successfully perform the essential job functions consistent with the ADA, FMLA and other federal, state and local standards, including meeting qualitative and/or quantitative productivity standards.
* Ability to maintain regular, punctual attendance consistent with the ADA, FMLA and other federal, state, and local standards.

**Why AHEAD:**  

Through our daily work and internal groups like Moving Women AHEAD and RISE AHEAD, we value and benefit from diversity of people, ideas, experience, and everything in between.  

We fuel growth by stacking our office with top\\-notch technologies in a multi\\-million\\-dollar lab, by encouraging cross department training and development, sponsoring certifications and credentials for continued learning. **USA Employment Benefits include:*** Medical, Dental, and Vision Insurance
* 401(k)
* Paid company holidays
* Paid time off
* Paid parental and caregiver leave
* Plus more! See benefits https://www.aheadbenefits.com/ for additional details.

  

The compensation range indicated in this posting reflects the On\\-Target Earnings (“OTE”) for this role, which includes a base salary and any applicable target bonus amount. This OTE range may vary based on the candidate’s relevant experience, qualifications, and geographic location.","","https://www.glassdoor.com/Overview/W-EI_IE465122.htm","https://media.glassdoor.com/sql/465122/ahead-squarelogo-1580140289488.png","","","","",""
"go-mg0-TpSK4Apx_7JIAAAAAA==","google","https://www.simplyhired.com/job/GiuI52uqjcYtoR1rhZwZ61HXSLroXxjlHxGcfI4BzURHiccEn7ZikQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Machine Learning Engineer","Career Vest","California, KY","2025-01-31","","description","yearly",101451.0,111295.0,"USD",False,"","","","","Job brief

We are actively searching for a talented and experienced Machine Learning (ML) Engineer to join our team.

As a Machine Learning Engineer, you will play a crucial role in developing and implementing cutting-edge artificial intelligence products.

Responsibilities
• Study and transform data science prototypes
• Design machine learning systems
• Research and implement appropriate ML algorithms and tools
• Develop machine learning applications according to requirements
• Select appropriate datasets and data representation methods
• Run machine learning tests and experiments
• Perform statistical analysis and fine-tuning using test results
• Train and retrain systems when necessary
• Extend existing ML libraries and frameworks
• Keep abreast of developments in the field

Requirements and skills
• Proven experience as a Machine Learning Engineer or similar role
• Understanding of data structures, data modeling and software architecture
• Deep knowledge of math, probability, statistics and algorithms
• Ability to write robust code in Python, Java and R
• Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
• Excellent communication skills
• Ability to work in a team
• Outstanding analytical and problem-solving skills
• BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus

Job Type: Full-time

Pay: $101,451.00 - $111,295.00 per year

Benefits:
• 401(k)
• Dental insurance
• Health insurance
• Vision insurance

Compensation Package:
• Bonus opportunities
• Performance bonus

Schedule:
• 8 hour shift
• Monday to Friday

Education:
• Master's (Required)

Experience:
• Python: 1 year (Preferred)
• SQL: 1 year (Preferred)

Language:
• Hindi (Preferred)

Ability to Commute:
• California, KY 41007 (Required)

Ability to Relocate:
• California, KY 41007: Relocate before starting work (Required)

Work Location: In person","","","","","","","",""
"go-G8ofrKjlAgFq3odpAAAAAA==","google","https://us.bebee.com/job/a1e643626eecc5d621395002b31ee6f0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Science Engineering Lead","84.51°","Cincinnati, OH","2025-01-30","","","","","","",False,"","","","","Job Description
The Director, AI/ML Engineer will lead and manage a team of 4-5 individuals focusing on AI/ML Engineering, Data Development, and deployment of services into AKS. This individual will foster a collaborative and innovative team environment, encouraging professional growth and development among team members.

The ideal candidate will leverage known patterns, frameworks, and tools for automating and deploying machine learning solutions, develop new tools, processes and operational capabilities to monitor and analyze model performance and data accuracy where needed, and work with researchers to optimize and scale Machine Learning Solutions using best practices in DevOps & MLOps.

This role requires a strong understanding of math, algorithms, ML and data pipelines, as well as DevOps & MLOps best practices that will scale across many users and/or large, complex, and diverse data sets.","","","","","","","",""
"go-JM3_-RWAYjiZWHlGAAAAAA==","google","https://us.bebee.com/job/65b5fd01942c1b1b36eb04324662b3da?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Analytics Engineer for Scalable Systems","SysMind Tech","Cincinnati, OH","2025-01-28","","","","","","",False,"","","","","• *Job Title: Java Developer**
• *Company Overview:** SysMind Tech is a cutting-edge technology company specializing in data analytics solutions. We utilize the power of cloud computing to deliver scalable, high-performance systems that drive business growth.
• *Job Description:** We are seeking a highly skilled Java Developer to join our team. As a key member of our data analytics group, you will be responsible for designing, implementing, and operationalizing large-scale data and analytics solutions on Snowflake Cloud Data Warehouse.
• *Key Responsibilities:**
• Design, implement, and operationalize large-scale data and analytics solutions on Snowflake Cloud Data Warehouse.
• Develop EL pipelines in and out of data warehouse using a combination of Python and Snow SQL.
• Automate data pipeline using cloud-based testing.
• Clearly document implementations and test conditions.
• *Requirements:**
• Strong understanding of Snowflake architecture, design, implementation, and operationalization.
• Hands-on development experience with Snowflake features such as Snow SQL, Snow Pipe, Python, Tasks, Streams, Time Travel, Zero Copy Cloning, Optimizer, Metadata Manager, data sharing, and Stored Procedures.
• Excellent communication skills.
• *What We Offer:**
• Competitive salary.
• Opportunities for professional growth and development.
• A dynamic and supportive work environment.","","","","","","","",""
"go-71iQGcFQPMLrmqggAAAAAA==","google","https://us.bebee.com/job/f6190768c45d2bd58c797bea522fed16?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Machine Learning Software Engineer","Saxon Global","Cincinnati, OH","2025-01-25","","","","","","",False,"","","","","Job Overview

We are looking for an experienced Data Scientist Developer to join our team at Saxon Global. As a key member of our organization, you will be responsible for designing, developing, implementing, and supporting cutting-edge AI/ML models.
Key Responsibilities
• Designing and developing advanced AI/ML models using various frameworks and libraries.
• Collaborating with cross-functional teams to integrate AI/ML solutions into our products and services.
• Ensuring the scalability, reliability, and performance of AI/ML models in production environments.
• Developing and maintaining high-quality code using agile development methodologies.
• Participating in code reviews and ensuring adherence to coding standards.
• Maintaining up-to-date knowledge of emerging AI/ML trends and technologies.
• Performing other duties as assigned.","","","","","","","",""
"go-Y0RinLhIKmE_otZaAAAAAA==","google","https://www.jofdav.com/jobs/52954094-associate-data-engineer-onsite?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Associate Data Engineer (Onsite)","The E.W. Scripps Company","Cincinnati, OH","2025-01-25","","","","","","",True,"","","","","The E.W. Scripps Company is seeking an Associate Data Engineer to play a key role in executing the company’s data strategies with hands on involvement in daily operations, support of existing ETL processes and creation of new ETL processes. Ensure proper data workflows and architecture are being followed. Work with the business to gather requirements, document processes, work on break/fix remediation and work to provide necessary data to operations for monitoring, data management and process workflow.

WHAT YOU'LL DO:
• Develop an in-depth knowledge of existing process workflows, database designs and production of various data outputs that support the analytics business applications
• Proactively resolve process issues and/or data issues before end users are affected
• Collaborate with the business analytics team to analyze new data sources, resolve issues, and put in place measures to maintain data accuracy and integrity in support of strategic analytics applications
• Use technical knowledge of databases, data tables, SQL and overall IT infrastructure to troubleshoot critical ETL workflow and data centric problems
• Create and maintain workflow and work process documentation including operation run books
• Identify workflow/system improvements and work with the team to enact change to improve process and/or operational efficiencies
• Create data base analysis tools in support of the IT Data Management team operations and reporting needs
• Perform unit tests on new data pipelines and changes to existing data pipelines.

WHAT YOU'LL NEED:
• Bachelor’s degree in computer science, Management information systems (MIS) or related degree preferred or equivalent work experience

WHAT YOU'LL BRING
• Knowledge of how to perform technical analysis and gather requirements
• Possess critical thinking, troubleshooting, and problem-solving skills
• Experience with ETL tools and techniques
• Experience with data discovery, data analysis and data virtualization
• Full understanding of data base concepts, data typing and database cardinality principles
• Understanding of working with multiple tables and big-data concepts
• Professionalism in dealing with all levels of management, peers, project stakeholders and vendors
• Excellent interpersonal written and verbal communication and collaboration skills
• Ability to balance multiple demands and work both independently and as part of a team in a fast-paced, high volume, deadline-driven environment

In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification form upon hire.

#LI-SM2

#LI-Remote

If you are a current Scripps employee, please do not apply on this site. Please access our internal career site at Worklife > My Info > View Open Positions at Scripps.

SCRIPPS' COMMITMENT TO EQUITY, DIVERSITY AND INCLUSION:
At Scripps, we are committed to a diverse and inclusive culture that reflects the communities we serve. We are intentional about creating an environment where employees, our audiences and other stakeholders feel valued and inspired to reach their full potential and make authentic connections. We foster a workplace culture that embraces each person’s diversity, including the extent to which they are similar or different. Scripps leaders believe that an equitable and inclusive culture is not only the right thing to do, it is a business imperative. Read more about our commitment to equity, diversity and inclusion at scripps.com.

ABOUT SCRIPPS:

The E.W. Scripps Company (NASDAQ: SSP) is a diversified media company focused on creating a better-informed world. As one of the nation’s largest local TV broadcasters, Scripps serves communities with quality, objective local journalism and operates a portfolio of more than 60 stations in 40+ markets. Scripps reaches households across the U.S. with national news outlets Scripps News and Court TV and popular entertainment brands ION, Bounce, Defy TV, Grit, ION Mystery and Laff. Scripps is the nation’s largest holder of broadcast spectrum. Scripps is the longtime steward of the Scripps National Spelling Bee. Founded in 1878, Scripps’ long-time motto is: “Give light and the people will find their own way.”

As an equal employment opportunity employer, The E.W. Scripps Company and its affiliates do not discriminate in its employment decisions on the basis of race, sex, sexual orientation, transgender status, gender, color, religion, age, genetic information, medical condition, disability, marital status, citizenship or national origin, and military membership or veteran status, or on any other basis which would be in violation of any applicable federal, state or local law. Furthermore, the company will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship for the company.","","","","","","","",""
"go-zFb9PvG7dk0ObjchAAAAAA==","google","https://us.bebee.com/job/25d7ab4b156f4905d4c85a9f822f6692?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Engineer Level II","Saxon Global","Cincinnati, OH","2025-01-23","","description","yearly",120000.0,150000.0,"USD",False,"","","","","Job Description

About Us:

We are a full-stack data science company and a wholly-owned subsidiary of The Kroger Company. We own 10 petabytes of data, and collect 35+ terabytes of new data each week sourced from 62 million households.

As a member of our software engineering team, you will use various cutting-edge technologies to develop applications that turn our data into actionable insights used to personalize the customer experience for shoppers at Kroger.

What You'll Do:

As a Senior Data Engineer, you are part of the software development team. We develop strategies and solutions to ingest, store, and distribute our big data. Our developers use Big Data technologies including (but not limited to) Hadoop, PySpark, Hive, JSON, and SQL to develop products, tools, and software features.
• Innovate, develop, and drive the development and communication of data strategy and roadmaps across the technology organization to support project portfolio and business strategy.
• Drive the development and communication of enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses.
• Drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms.
• Define high-level migration plans to address the gaps between the current and future state, typically in sync with the budgeting or other capital planning processes.
• Mentor team members in data principles, patterns, processes, and practices.
• Promote the reuse of data assets, including the management of the data catalog for reference.
• Draft and review architectural diagrams, interface specifications, and other design documents.
• Proactively and holistically lead activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes.
• Provide facilitation, analysis, and design tasks required for the development of an enterprise's data and information architecture, focusing on data as an asset for the enterprise.
• Develop target-state guidance (i.e., reusable standards, design patterns, guidelines, individual parts, and configurations) to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51.

Required Skills: Azure, Python

Basic Qualification:

Additional Skills:

Salary: $120,000 - $150,000 per year","","","","","","","",""
