"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635370410","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635370410","","CUDA Staff Software Engineer","Northrop Grumman","Colorado Springs, CO","2025-02-12","","direct_data","yearly",155400.0,233200.0,"USD",False,"","","sponsored","","### **Requisition ID: R10185742**

* **Category:** Engineering
* **Location:** Colorado Springs, Colorado, United States of America \\| Azusa, California, United States of America \\| Bellevue, Nebraska, United States of America \\| Fairfax, Virginia, United States of America
* **Clearance Type:** Secret
* **Telecommute:** No\\- Teleworking not available for this position
* **Shift:** 1st Shift (United States of America)
* **Travel Required:** Yes, 10% of the Time
* **Relocation Assistance:** Relocation assistance may be available
* **Positions Available:** 1


At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history \\- from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.
The Payload and Ground Systems, a division within Northrop Grumman’s Space Systems Sector is known for pushing the boundaries of innovation, redefining engineering capabilities, and driving advances in various sciences through cutting\\-edge technology. Our team is chartered with providing the skills, and innovative technologies to develop, design, produce, and sustain optimized product lines across the sector while providing a decisive advantage to the warfighter. Come be a part of our mission.


Northrop Grumman Space Systems is seeking a CUDA Staff Software Engineer to join our team supporting our DARC program. This position can be based in Colorado Springs, Colorado, Bellevue, Nebraska, Fairfax, Virginia, or Azusa, California.


This role will work with us on the Deep Space Advanced Capabilities contract developing new radar digital signal processing software in support of identification and tracking of objects in geosynchronous orbit.


Job responsibilities will include, but not be limited to, the following:

* Designs, develops, documents, tests, and debugs applications software, and systems that contain logical and mathematical solutions.
* Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software.
* Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques, and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems.
* Ensures software standards are met.

**Basic Qualifications**

* 12 Years of relevant experience with a completed Bachelor's degree; 10 years of relevant experience with a completed Masters's degree; 8 years of relevant experience with a completed PhD. An additional 4 years of relevant work experience may be considered in lieu of a completed degree.
* **Active Secret clearance required at time of application**
* 2 years of experience with CUDA
* 4 years of experience with C\\+\\+
* Ability to work with lab equipment such as signals generators
* Experience developing applications in a Linux OS environment
* Experience developing software to solve mathematically complex problems

**Preferred Qualifications**

* Experience with radar signal processing
* Experience with NVIDIA MatX library
* Experience with CuFFT and/or CuBLAS

**Salary Range:** $155,400 \\- $233,200  

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.  

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.  

The application period for the job is estimated to be 20 days from the job posting date. However, this timeline may be shortened or extended depending on business needs and the availability of qualified candidates.
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit. U.S. Citizenship is required for all positions with a government clearance and certain other restricted positions.","","https://www.glassdoor.com/Overview/W-EI_IE488.htm","https://media.glassdoor.com/sql/488/northrop-grumman-squarelogo-1588102827228.png","","","","",""
"gd-1009635977607","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635977607","","Software Test Engineer","Delta Solutions & Strategies","Colorado Springs, CO","2025-02-12","","direct_data","yearly",90000.0,115000.0,"USD",False,"","","organic","","Delta Solutions is seeking a full\\-time Software Test Engineer at Colorado Springs, CO.
### **What you will be doing**

* + Collaborate with development teams to resolve software defects, participate in troubleshooting and streamline the debugging process.
	+ Functional, Regression, Ad\\-Hoc and Acceptance Testing of the Missile Warning Training Suite (MWTS) family of software.
	+ Software integration testing with PDS\\-M, MWTS, C2BMC and JIMDTS.
	+ Coordinating, scheduling, and leading various software\\-related events, including demos, operations tests, and inspections. Ensure all stakeholders are aligned, and that events run smoothly, providing necessary documentation, communication, and follow\\-up to ensure objectives are met. Act as a key point of contact to ensure that these events contribute to overall software quality and stakeholder engagement.
	+ Perform root cause analysis on defects found, document causes and solution.
	+ Collaborate with external stakeholders to clarify software requirements then turn requirements into test cases to verify software meets/exceeds expectations.
	+ Execute comprehensive testing against the software, ensuring all features function as designed and intended.
	+ Contribute to the continuous improvement of software testing methodologies and develop standard operating procedures (SOPs), if necessary.

### **What you will need:**

* + Security Clearance: Secret Clearance required and the ability to obtain a TS/SCI.
	+ Bachelor’s degree, equivalent experience, or relevant operational experience (preferred).
	+ 3\\+ years of experience as a software tester, software quality assurance specialist, or relevant operational experience (preferred).
	+ Proven aptitude for testing quality software on multiple platforms and knowledge of industry\\-standard operating procedures and tools.
	+ Familiarity with various programming languages like Java, C\\# and PowerShell.
	+ Knowledge of computer architecture and tools for manual \\& auto testing, unit testing, integration testing, functional testing and bug\\-tracking systems specifically JIRA.
	+ Familiarity with ITWAA related software applications PDS\\-M and C2BMC.

Delta Solutions \\& Strategies offers a generous benefits package to include medical, dental, vision, life insurance, 401(k), PTO, paid holidays, parental, military and jury duty paid leaves.  

In compliance with Colorado’s Equal Pay for Equal Work Act, the salary range for this position is $90,000\\-$115,000\\. Please note that the salary information is a general guideline only. Delta Solutions \\& Strategies considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/training, key skills, internal peer equity, as well as market and business considerations when extending an offer.","","https://www.glassdoor.com/Overview/W-EI_IE381234.htm","https://media.glassdoor.com/sql/381234/delta-solutions-and-strategies-squarelogo-1498141704411.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009635977657","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635977657","","Jr. Software Engineer","Delta Solutions & Strategies","Colorado Springs, CO","2025-02-12","","direct_data","yearly",90000.0,105000.0,"USD",False,"","","organic","","Delta Solutions \\& Strategies is seeking a Jr Software Engineer to join our team. This position is located at our Corporate Office in Colorado Springs.
### **What you will be doing:**

* + Developing and maintaining an established suite of desktop GUI applications built in C\\# .NET, working closely with in a small team of developers on maintenance, enhancements, and optimization of code with an emphasis on maintainability.
	+ Software configuration management in an agile environment.
	+ Reading and writing technical documents, including tasks like reviewing Security Classification Guides and creating formalized reports.
	+ Working closely with stakeholders providing communication on project status, architecture design, and collaborating on timeline estimates.
	+ Optimization of data management on message driven applications.

### **What you will need:**

* + Security Clearance: Secret with ability to obtain TS SCI.
	+ Experience with Object Oriented Languages, C\\# preferred.
	+ Strong understanding of network protocols.
	+ Preferred (but not required): missile warning/missile defense background, operational experience with PDS\\-M, C2BMC, or other operational displays. Bachelor's degree in a related field or equivalent experience.

Delta Solutions \\& Strategies offers a generous benefits package to include medical, dental, vision, life insurance, 401(k), PTO, paid holidays, parental, military and jury duty paid leaves.  

In compliance with Colorado’s Equal Pay for Equal Work Act, the salary range for this position is $90,000\\-$105,000\\. Please note that the salary information is a general guideline only. Delta Solutions \\& Strategies considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/training, key skills, internal peer equity, as well as market and business considerations when extending an offer.","","https://www.glassdoor.com/Overview/W-EI_IE381234.htm","https://media.glassdoor.com/sql/381234/delta-solutions-and-strategies-squarelogo-1498141704411.png","","","","",""
"gd-1009636001287","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009636001287","","DevOps","Caribou Thunder","Colorado Springs, CO","2025-02-12","","direct_data","yearly",77886.0,128329.0,"USD",False,"","","organic","","**Caribou Thunder**

**Building Tomorrow, Grounded in Legacy**


For decades, Caribou Thunder has been a Woman, Native American, Minority Owned, WOSB, SDB, SBA, HUBZone Certified small business, at the forefront of advancing national security programs through engineering services excellence. We have a proud and enduring heritage in providing innovative solutions to the Department of Defense (DoD), embedded as a trusted partner in safeguarding the nation's most critical assets. Our deep\\-rooted expertise is built on engineering ingenuity, where each project reinforces our unwavering commitment to the security and defense of the United States of America. From cutting\\-edge technologies to mission\\-critical systems, we continue to evolve and push the boundaries of possibility, all while staying true to the values, integrity, and principles that have guided us from day one.

  

When you join Caribou Thunder, you’re not just contributing to the future, you’re becoming part of a legacy that has played a vital role in protecting our nation for decades. Together, we continue to shape the future of defense, one innovative solution at a time.

  

Location: Colorado Springs, CO


Requisition\\#: 0316


Salary: $80,000 \\- $180,000


Clearance: Active Secret with the ability to obtain a Top Secret/SCI


Education: Bachelor’s degree (STEM)


Experience: 10\\+ Years

 **OVERVIEW**


Caribou Thunder is seeking a highly experienced Senior DevOps / Software Engineer to join our team. This role is essential in bridging development, engineering, and test teams to streamline the software development lifecycle. The ideal candidate will be a full\\-stack developer with expertise in DevOps methodologies, CI/CD pipelines, cloud computing, and automation tools. This individual will also serve as an AGILE planning point of contact, helping drive DevOps best practices across the organization.

 **RESPONSIBILITIES**


The Senior DevOps / Software Engineer is a key technical contributor working across hardware/software development, engineering, and test teams to ensure seamless integration, automation, and deployment of software solutions. This position requires expertise in DevOps methodologies, cloud environments, automation tools, and full\\-stack development to optimize software delivery pipelines. The ideal candidate will serve as an AGILE planning point of contact (POC) and play a critical role in continuous integration/continuous deployment (CI/CD), infrastructure automation, and cloud\\-based development.


1\\. Serve as a DevOps engineer supporting hardware/software development, testing, and deployment.


2\\. Develop and maintain automation tools/microservices (GitHub, Bitbucket, Docker, Podman, Ansible, Kubernetes, etc.) to enhance the CI/CD pipeline for automated testing, scanning, building, and monitoring.


3\\. Design, implement, and optimize a DevOps environment for data processing services and COP/CIP deployments.


4\\. Provision analytics software and web\\-delivered technologies for operational efficiency.


5\\. Maintain and monitor the Kubernetes infrastructure, ensuring performance and system stability.


6\\. Coordinate with DevOps teams to optimize data schema mapping and software integrations.


7\\. Act as a Scaled Agile Framework (SAFe) practitioner, contributing to Agile planning and execution.


8\\. Work closely with software developers, system engineers, and project managers to enhance DevOps best practices.

 **QUALIFICATIONS**


1\\. 10\\+ years of experience in Computer Science or related technical fields.


2\\. 2\\+ years operating in a DevOps production environment, supporting automation and cloud\\-based infrastructure.


3\\. 2\\+ years of experience with some of the following:


a. Linux administration and scripting.


b. Programming languages such as Python or similar.


c. CI/CD tools (e.g., Jenkins, CircleCI, GitLab CI, GitHub Actions, BitBucket Pipelines).


d. Kubernetes orchestration and infrastructure management.


e. AWS cloud services and cloud computing concepts.


f. Cloud service models (IaaS, PaaS, SaaS, Serverless).


4\\. 6\\+ years of experience working in a Scaled Agile Framework (SAFe) environment.

 **PREFERRED QUALIFICATIONS**


5\\. Project management background and SCRUM Master experience.


6\\. Experience with infrastructure as code (IaC) tools such as Terraform or CloudFormation.


7\\. Knowledge of security best practices in DevOps, including automated security scanning and compliance tools.

 **BENEFITS**

**That Empower You and Your Family**

**""Your future, your flexibility, your well\\-being. We invest in you.""**


At Caribou Thunder, we understand that our employees are the most valuable asset, and we’re committed to creating an environment where you can thrive both at work and in life. That’s why we offer a comprehensive benefits package designed to support your health, well\\-being, and professional growth:

* Premium Health, Dental, and Vision Insurance: Protect your health and your families with our top\\-tier coverage.
* 401(k) \\- 4% Company Match: Secure your financial future with our competitive retirement plan.
* Flexible Paid Time Off (PTO): Recharge and refresh with ample PTO to ensure you have time for the things that matter most.
* Flexible Work Schedule: We know that life doesn’t fit into a 9\\-to\\-5 box, so we offer the flexibility you need to balance work and life commitments.
* Competitive Salaries: We believe in rewarding talent with compensation that reflects your skills, experience, and market value.
* Educational and Certification Reimbursement: Invest in yourself with our support for continuing education and certification programs, helping you grow in your career.
* Professional and Career Development: We’re dedicated to your growth, offering resources and opportunities to advance your career.
* Work\\-Life Balance: Our culture prioritizes balance, ensuring you have time for your personal life, your family, and your passions outside of work.
* Traditional Family Values: We believe in fostering a workplace that supports and respects family life, reflecting the values that matter most to you.
* Support for Military Leave: We proudly stand with our military personnel and their families, offering full support for those on active duty, reserve, or transitioning from service.
* Community Involvement – Indigenous Minds Non\\-Profit Organization: At Indigenous Minds, we are dedicated to empowering Indigenous youth across America who face financial challenges and are at risk of being left behind. Our mission is to provide these young individuals with life\\-changing opportunities, paving the way for successful careers in national security, defense, and related industries.

**""Your family, your career, your future—supported every step of the way.""**


Your well\\-being, family, and professional development are at the heart of everything we do. Experience Caribou Thunder who values both tradition and innovation, where you can build a rewarding career together with us.

  

Our deep\\-rooted expertise is reflected in every project, reinforcing our steadfast commitment to the security and defense of the United States.

  

We have a proud and enduring heritage in providing innovative solutions to the Department of Defense (DoD), embedded as a trusted partner in safeguarding the Nation's most critical assets. From cutting\\-edge technologies to mission\\-critical systems, we continue to evolve and push the boundaries of possibility, all while staying true to the values, integrity, and principles that have guided us from day one.","","https://www.glassdoor.com/Overview/W-EI_IE4297763.htm","https://media.glassdoor.com/sql/4297763/caribou-thunder-squareLogo-1624972937607.png","","","","",""
"gd-1009635370416","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635370416","","CUDA Sr. Principal Software Engineer","Northrop Grumman","Colorado Springs, CO","2025-02-12","","direct_data","yearly",124900.0,187300.0,"USD",False,"","","sponsored","","### **Requisition ID: R10185741**

* **Category:** Engineering
* **Location:** Colorado Springs, Colorado, United States of America \\| Azusa, California, United States of America \\| Bellevue, Nebraska, United States of America \\| Fairfax, Virginia, United States of America
* **Clearance Type:** Secret
* **Telecommute:** No\\- Teleworking not available for this position
* **Shift:** 1st Shift (United States of America)
* **Travel Required:** Yes, 10% of the Time
* **Relocation Assistance:** Relocation assistance may be available
* **Positions Available:** 1


At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history \\- from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.
The Payload and Ground Systems, a division within Northrop Grumman’s Space Systems Sector is known for pushing the boundaries of innovation, redefining engineering capabilities, and driving advances in various sciences through cutting\\-edge technology. Our team is chartered with providing the skills, and innovative technologies to develop, design, produce, and sustain optimized product lines across the sector while providing a decisive advantage to the warfighter. Come be a part of our mission.


Northrop Grumman Space Systems is seeking a CUDA Sr. Principal Software Engineer to join our team supporting our DARC program. This position can be based in Colorado Springs, Colorado, Bellevue, Nebraska, Fairfax, Virginia, or Azusa, California.


This role will work with us on the Deep Space Advanced Capabilities contract developing new radar digital signal processing software in support of identification and tracking of objects in geosynchronous orbit.


Job responsibilities will include, but not be limited to, the following:

* Designs, develops, documents, tests, and debugs applications software, and systems that contain logical and mathematical solutions.
* Conducts multidisciplinary research and collaborates with equipment designers and/or hardware engineers in the planning, design, development, and utilization of electronic data processing systems for product and commercial software.
* Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming techniques, and controls; prepares operating instructions; designs and develops compilers and assemblers, utility programs, and operating systems.
* Ensures software standards are met.

**Basic Qualifications**

* 8 Years of relevant experience with a completed Bachelor's degree; 6 years of relevant experience with a completed Masters's degree; 4 years of relevant experience with a completed PhD. An additional 4 years of relevant work experience may be considered in lieu of a completed degree.
* **Active Secret clearance required at time of application**
* 2 years of experience with CUDA
* 4 years of experience with C\\+\\+
* Ability to work with lab equipment such as signals generators
* Experience developing applications in a Linux OS environment
* Experience developing software to solve mathematically complex problems

**Preferred Qualifications**

* Experience with radar signal processing
* Experience with NVIDIA MatX library
* Experience with CuFFT and/or CuBLAS

**Salary Range:** $124,900 \\- $187,300  

The above salary range represents a general guideline; however, Northrop Grumman considers a number of factors when determining base salary offers such as the scope and responsibilities of the position and the candidate's experience, education, skills and current market conditions.  

Depending on the position, employees may be eligible for overtime, shift differential, and a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.  

The application period for the job is estimated to be 20 days from the job posting date. However, this timeline may be shortened or extended depending on business needs and the availability of qualified candidates.
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit. U.S. Citizenship is required for all positions with a government clearance and certain other restricted positions.","","https://www.glassdoor.com/Overview/W-EI_IE488.htm","https://media.glassdoor.com/sql/488/northrop-grumman-squarelogo-1588102827228.png","","","","",""
"go-RItHRgXVC9uqiYmTAAAAAA==","google","https://us.bebee.com/job/97f3fe495130c680ef8da0d713073e39?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Frontend Technology Expert","Freedom Space Technologies","Colorado Springs, CO","2025-02-02","","","","","","",False,"","","","","Join Our Team as a UI/UX Software Developer

Overview:

Freedom Space Technologies is a leading Ground Software as a Service (GSaaS) provider, established in 2023 as a wholly owned subsidiary of ATLAS Space Operations. We contribute to the advancement of National Security Space capabilities by addressing the unique requirements of the United States Department of Defense (DoD) and Intelligence Community (IC).

Responsibilities:
• Work closely with software developers to integrate backend services into the user interface.
• Conduct usability testing and analyze results to make data-driven improvements to the user interface.
• Debug and resolve UI/UX-related issues to ensure a seamless user experience.

Requirements:
• Bachelor's Degree in Computer Science, Computer Engineering, related field, or equivalent experience.
• 5+ years of experience in UI/UX design and software development.
• Proficiency in front-end technologies, such as HTML, CSS, JavaScript, and frameworks like React, Angular, and Node.","","","","","","","",""
"go-G84H8_lweYu8YCM7AAAAAA==","google","https://us.bebee.com/job/acc3ecabc0ea206787b27b1cbecc1bd0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Senior Data Engineer for Cybersecurity Projects","Scientific Research Corporation","Colorado Springs, CO","2025-01-30","","","","","","",False,"","","","","About the Role

We are seeking a Senior Data Engineer with experience in Big Data engineering, Machine Learning, AI/ML, and security trend analysis to support the development of advanced analytic techniques for Command and Control Facilities (C2F). The successful candidate will work closely with our team to design, implement, and integrate IT systems at our facilities in Colorado Springs, CO.

Key Responsibilities
• Design, implement, and integrate IT systems at our facilities in Colorado Springs, CO.
• Develop advanced analytic techniques for Command and Control Facilities (C2F) using Big Data engineering, Machine Learning, AI/ML, and security trend analysis.
• Work closely with our team to identify expanded/additional tasking with existing customers and define highly complex technical requirements for draft statements of work.

Requirements
• 8-10 years of experience with at least two or more (2+) of the following: Structured Query Language (SQL); Statistical Programming; Machine Learning; Data Visualization; Big Data Tools (Nifi, Elasticsearch, Kafka, Hadoop, Spark); Data Centers; Data Mining or Data Analytics; Communications networks; Internet protocols and RedHat operating systems.
• Strong ETL and API knowledge for both the warehousing and/or federation of large and complex datasets into the storage mechanisms within the AWS Enclaves.
• 3-5 Years direct experience at NORAD & USNORTHCOM (N-NC) supporting network engineering for the J6 Directorate network devices including Cisco and/or Juniper in a Spine and Leaf topology.
• Masters Degree in Engineering with Juniper Networks Certified Internet Associate (JNCIA) and Certified Supervisory Control and Data Acquisition (SCADA) Security Architect (CCSA) certifications.

Desired Skills
• Bachelor of Science Degree in Engineering/Computer Engineering field.
• Exposure to AWS or other cloud-based development environments.
• Fundamental understanding of Nutanix-based hardware and network virtualization.
• Excellent written and verbal communication skills.
• Experience with web application architectures and their required ports and protocols.
• Create and modify Network Configurations and technical documentation.
• Experience required with planning, design, and implementation of networked systems, to include configuration management, upgrades, and troubleshooting of network issues.
• Cloud technologies, AWS GovCloud, PostgreSQL Databases.
• Translate end-user requirements description through the ultimate deployment of a product into the production environment.
• Experience with network analysis applications (e.g. Sniffer, Wireshark, Microsoft Network Monitor).
• Experience with network security hardware such as Cisco ASA, Barracuda NextGen Firewall, SonicWall TZ, Splunk, SolarWinds Log & Event Manager, Bro Network Security Monitor.
• Experience with performing engineering services to support accreditation for software running on Cloud platforms such as Amazon Web Services (AWS) and Commercial Cloud Services (C2S).

Diversity and Inclusion

At SRC, we value diversity and inclusion. We believe that a diverse workforce enhances our ability to innovate and provide solutions that meet the complex needs of our clients.","","","","","","","",""
"go-xSOcrYe9qSkycVGgAAAAAA==","google","https://us.bebee.com/job/3c9ca089b2805993d856cb4fb992a282?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Technology Integrator","MKS2 Technologies","Colorado Springs, CO","2025-01-27","","","","","","",False,"","","","","Key Responsibilities:
• Implement and update automation pipelines to enable automated scenario execution without operator intervention
• Install and configure Linux and Windows hardware platforms from OS to applications
• Document and verify installation and configuration steps in delivered documentation
• Develop installation scripts to automate system installation
• Design and execute test plans/procedures for automated software integration tests
• Coordinate automated and manual SW integration tests to verify system operation
• Collaborate with software developers to diagnose and identify problem causes during software integration
• Implement Information Assurance directives on systems, including running IA scans
• Lead daily integration activities with local team members","","","","","","","",""
"go-aXDL7qAHzot4c7ZbAAAAAA==","google","https://us.bebee.com/job/c05f8b8f98d67b1ca8815fee03a926e4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Senior Data Analytics Consultant","The Tatitlek Corporation","Colorado Springs, CO","2025-01-26","","","","","","",False,"","","","","Salary
The salary for this position will be determined based on experience and qualifications, ranging from $Salary DOE.","","","","","","","",""
