"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635499369","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635499369","","Firmware Engineer","Dorleco","Farmington Hills, MI","2025-02-12","","direct_data","yearly",80558.0,105153.0,"USD",False,"","","organic","","#### **Firmware Engineer**


**Company Overview:**


Dorleco is a 360\\-degree controls software development \\& integration solution provider for electric and autonomous vehicle systems, focused on achieving its mission of developing sustainable \\& efficient vehicles with innovative, robust, and lean engineering practices. We provide a fast\\-paced R\\&D environment and deliver integrated solutions for mechanical, electrical, software, thermodynamic, and energy storage systems for modern electric and autonomous vehicle systems.


We are currently searching for an engineer specializing in Firmware to join our team to help us grow scale and continue our tradition of success.


This role is very critical to our extreme growth and the ideal candidate will be an experienced engineer with a business mind, a savvy leader, very organized, and familiar with automotive product development. The successful candidate is also comfortable with the intricacies of a fast\\-paced environment, has a strong desire for growth, and is a great communicator.


**Location:**


Pune, India


**EXPERIENCE : 2\\+Years**


**Roles and responsibilities****:**


* Strong programming skills in C \\& C\\+\\+, (additional programming languages experience such as Python, Rust would be a plus).
* 16/32 bit controller based Product/Software development experience is a must.
* Development of the various software components including low\\-level drivers, scheduler, boot\\-loader, service functions and communication protocol stacks.
* Check/Review data\\-sheets/ application notes, consult micro\\-controller vendor to bring up the drivers with requisite features and test these drivers.
* Strong ARM microcontroller\\-based software development experience (experience with NXP preferred).
* Strong working experience of debuggers, tools and IDEs for Embedded Systems.
* Good knowledge of various hardware communication protocols – CAN, SPI, UART, I2C etc.
* Good knowledge of soft communication protocols like MQTT, etc.
* Knowledge of UDS, CAN TP etc would be an advantage.
* Code version control management tools such as Gitlab, Github.
* Adopt good industry practices for firmware design, development and delivery process.


**Essential Functions:**


* Excellent C programming language skills, and ability to validate and debug C code on embedded hardware platforms
* Familiar with CAN, MODBUS, IIC, SPI, UART protocols
* Familiar with RTOS (uCOS\\-II\\&III) in an embedded environment


**Education—Minimum Required Level:**


Bachelors in Engineering or Technical domain (Computer Science, Computer Engineering, Electrical Engineering, Electronic Engineering, or Software Engineering).","","https://www.glassdoor.com/Overview/W-EI_IE2948043.htm","https://media.glassdoor.com/sql/2948043/dorle-controls-squareLogo-1653072478932.png","","","","",""
"gd-1009635764992","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635764992","","Design Release Engineer - Chassis Structures","Goken","Southfield, MI","2025-02-12","","direct_data","hourly",50.0,60.0,"USD",False,"","","organic","","Headquartered in Dublin, Ohio, Goken America is an Engineering Services and Product Development company founded in 2004\\. At Goken America we strive to expand and deliver upon our company motto of “Creating Something Different”. We are continually striving to strengthen our organization, and are always seeking talented individuals who have a strong desire to work in an environment where they can make a difference.

Our “Vision” is to empower our associates to affect change wherever change is needed. Our “Mission” is that in building trust we foster greatness in our people, excellence in our clients and impact in our communities.

Goken America provides an excellent benefits package, one month of paid time off per year and a very competitive compensation plan. In addition, when applicable, we will also provide relocation assistance, temporary housing, visa support and other fringe benefits.  

The DRE will be responsible for design from concept to production, release, and launch of components, systems and sub\\-systems for vehicle programs. This individual will be depended on to build strong partnerships with internal team members responsible for design, validation, procurement, and manufacturing of the vehicle.
### **Responsibilities**

* Design and release the assigned vehicle system components and assemblies from concept to production
* Develop and mature components from concept through production
* Establish and achieve targets for cost, investment, weight, performance, and quality
* Coordinate engineering designs and systems with purchasing, suppliers, testing team, manufacturing team, other vehicle subsystems and functions
* Responsible for quality of components and/or subsystem 3D CAD and technical drawings
* Work with suppliers to create specifications and requirements of the components.
* Provide technical support and system analysis for root cause analysis of development issues
* Provide professional reports and documentation for the system with information provided by design responsible engineers
* Coordinate, lead and participate in design reviews
* Work multi\\-functionally to implement cost reduction methods and product improvements, and to support prototype and production build activities
* Remain up\\-to\\-date in relevant new technology and products
* Travel as required
* Perform other duties as needed

### **Requirements**

* Bachelor’s degree in Engineering plus 5 years experience in Chassis Structures (subframe, knuckles, forgings, low\\-pressure diecasting, stamped steel weldments etc.)
* Education with the following specialties preferred: Mechanical, Mechanical Technology, Aerospace, Automotive, Manufacturing.
* CAD knowledge and working experience in CATIA V5 (3DX preferred) for 3D and drawing creation and modification
* 3 years experience acting as a DRE
* Knowledge and working experience with DFMEA (Design Failure Mode and Effect Analysis) and GD\\&T (Geometric Dimensioning and Tolerancing)
* Familiarity with the engineering design components.
* The ability to work effectively in a cross functional group setting, including essential technical guidance to support Senior Management
* The ability to work independently, and to lead, coach and mentor others
* Knowledge of materials, manufacturing processes, and toolin

 *Pay rates for this role if located in Californa vary based on experience, skills, and role responsibilities, The compensation range is \\[$**50\\.00\\-* *$**60\\.00**] per hour*
Goken America (“Goken”) is committed to Equal Employment Opportunity and will not discriminate against an applicant or employee based on race, color, religion, creed, national origin or ancestry, sex, age, physical or mental disability, veteran or military status, genetic information, sexual orientation, gender identity, marital status, or any other applicable protected basis under federal, state, or local law. The information collected by this application is solely to determine suitability for employment, verify identity, and maintain employment statistics on applicants.  

  

Applicants with disabilities may be entitled to reasonable accommodation under the Americans with Disabilities Act and certain state or local laws. A reasonable accommodation is, in simple terms, a change in the way things are typically done which will ensure an equal employment opportunity. Please inform Goken’s personnel representative if you need assistance completing this application or to otherwise participate in the application process.","","https://www.glassdoor.com/Overview/W-EI_IE284107.htm","https://media.glassdoor.com/sql/284107/goken-america-squareLogo-1611790668329.png","","","","",""
"gd-1009635571054","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635571054","","Software Engineering Manager","Credibly","Southfield, MI","2025-02-12","","direct_data","yearly",150000.0,170000.0,"USD",False,"","","organic","","**The Opportunity**

The Software Engineering Manager I role (SEM I) leads a team of talented software engineers in creating innovative and high\\-quality software solutions. The ideal candidate will have a proven track record of successfully managing software development projects at team level, fostering a collaborative team environment, and driving continuous improvement.

**What You Will Do:**

● Lead and manage an agile team of software engineers, providing mentorship, guidance, and support to ensure project success

● Collaborate with cross\\-functional teams to define project requirements, scope and deliverables

● Delegate to and provide guidance to the Sr Software Engineers on your team who will lead technical implementations

● Drive the development and implementation of best practices for software development, including code reviews, testing, and documentation

● Monitor and report on project progress, identifying and mitigating risks and issues as they arise

● Foster a culture of innovation, collaboration, and continuous learning within the team

● Conduct performance evaluations, goal setting, and career development discussions with team members

● Participate in technical design and code reviews

● Partner with leadership to influence and drive org design, contribution and prioritization

● Recruits, interviews, hire and trains new engineering staff

● Provides constructive and timely performance evaluations

**Who You Are:**

● 5\\+ years of senior\\-level experience in software development, including hands\\-on technical management and team leadership building holistic web\\-based software solutions

● Proficiency with and ability to provide thought leadership in Python

● Experience working with NoSQL and SQL based databases (MySQL, Dynamodb)

● Proven track record of successfully delivering software projects on time and within budget

● Experience mentoring and providing technical leadership to senior developers.

● Excellent communication and interpersonal skills, with the ability to work effectively with cross\\-functional teams

● Experience with Agile development methodologies and tools

● Strong problem\\-solving skills and attention to detail

● Experience improving quality through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changes

● Experience working on distributed applications that are deployed to and interact with AWS cloud\\-based services

**What Makes You Special:**

● Prior direct agile team leadership experience, and/or direct report leadership

● Experience with Flask and SqlAlchemy ORM

● Experience in application containerization tools (Docker, EC2\\)

● Experience with data analysis libraries (Numpy/Pandas)

● Experienced in or having worked with Data Engineering and complex SQL

● Experience working with financial services applications, specifically in ETL and reporting systems

● Experience with Cybersecurity best practices

**How You Will Benefit:**

● Flexible working conditions, via hybrid remote/in\\-office work

● Generous PTO package

● 8 Paid Company Holidays

● Paid Parental Leave, Bereavement, and Jury Duty

● 401k with company match (and 100% vesting after 2 years)

● Medical insurance through BCBSM or BCN

● Dental and Vision provided by BCBS

● HSA and FSA available, including LPFSA and Dependent Care

● Company paid life insurance and short\\-term disability

● Additional optional insurances

Job Type: Full\\-time

Pay: $150,000\\.00 \\- $170,000\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Schedule:

* Monday to Friday

Work Location: Hybrid remote in Southfield, MI 48033","","https://www.glassdoor.com/Overview/W-EI_IE753060.htm","https://media.glassdoor.com/sql/753060/credibly-squarelogo-1434406008376.png","","","","",""
"gd-1009635730580","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635730580","","Senior AI Engineer (Manufacturing / Automotive)","Tata Technologies","Detroit, MI","2025-02-12","","direct_data","yearly",125726.0,132726.0,"USD",False,"","","organic","","Job Title: **AI/ML Engineer**

Job Location: **Detroit, MI**

Duration : **Full Time**

**Job Overview**

We are seeking an experienced AI/ML Engineer to join our team. The ideal candidate will be responsible for developing and implementing machine learning algorithms and artificial intelligence solutions to drive business growth and innovation.

**Responsibilities**

* Develop and deploy machine learning models to solve complex business problems
* Collaborate with cross\\-functional teams to identify opportunities for leveraging AI/ML solutions
* Conduct research to stay current with the latest trends and advancements in AI/ML technologies
* Analyze data to extract valuable insights and improve decision\\-making processes
* Lead AI/ML projects from conception to completion, ensuring successful implementation
* Drive strategic planning initiatives by providing AI/ML expertise
* Support business development efforts by showcasing the benefits of AI/ML solutions

**Skills**

* Proficiency in developing and deploying machine learning models
* Strong analytical and problem\\-solving skills
* Experience in project management and change management
* Ability to conduct in\\-depth research and analysis
* Knowledge of business analysis and process improvement
* Familiarity with strategic planning and business development
* Background in management consulting or business consulting is a plus

Job Type: Full\\-time

Pay: $125,726\\.00 \\- $132,726\\.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Health savings account
* Paid time off
* Vision insurance

Schedule:

* 8 hour shift

Experience:

* MLOps: 1 year (Required)
* AI: 3 years (Required)

Ability to Commute:

* Detroit, MI 48223 (Required)

Ability to Relocate:

* Detroit, MI 48223: Relocate before starting work (Required)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE327596.htm","https://media.glassdoor.com/sql/327596/tata-technologies-squareLogo-1679998005346.png","","","","",""
"gd-1009635550472","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635550472","","Research Programmer I Full time -Research Design & Analysis","Henry Ford Health","Detroit, MI","2025-02-12","","direct_data","yearly",78407.0,118675.0,"USD",False,"","","organic","","* At the direction of the Project Manager, Principal Investigator, or senior technical staff, designs, codes, tests, documents, and supports research data collection, tracking, analysis, and reporting systems.
* Responsibilities vary by project, and may require the use of multiple programming languages, relational database systems, and operating systems.


***EDUCATION/EXPERIENCE REQUIRED***:


* Associates degree in Computer Science, Programming, Database Development, Web Development, or similar technical program.
* One to two (1\\-2\\) years of relevant programming experience **preferred**.
* Experience with human subjects research, healthcare administrative data, pharmaceutical industry drug/device trials, epidemiology, or statistical analysis preferred.
* Familiar with techniques to gather and analyze unstructured data.
* Basic understanding of applications for interoperability and health information exchange.
* Excellent interpersonal, communication, organizational, and customer\\-service skills with the ability to interact effectively with colleagues with different levels of technical and scientific knowledge.
* Desire and willingness to learn and develop new skills.
* ***Preferred Skills***
* *Healthcare background cognizant of healthcare utilization (Diagnosis, Procedures, Labs, etc.) is preferred.*
* *Have some SQL (or SAS programming), Python, Web Development and/or Data Wrangling skills is preferred.*
* *Education with Cancer focus is preferred.*

 #### **Additional Details**



This posting represents the major duties, responsibilities, and authorities of this job, and is not intended to be a complete list of all tasks and functions. It should be understood, therefore, that incumbents may be asked to perform job\\-related duties beyond those explicitly described above.



#### **Overview**



Henry Ford Health partners with millions of people on their health journey, across Michigan and around the world. We offer a full continuum of services – from primary and preventative care to complex and specialty care, health insurance, a full suite of home health offerings, virtual care, pharmacy, eye care and other health care retail. With former Ascension southeast Michigan and Flint region locations now part of our team, Henry Ford’s care is available in 13 hospitals and hundreds of ambulatory care locations. Based in Detroit, Henry Ford is one of the nation’s most respected academic medical centers and is leading the Future of Health: Detroit, a $3 billion investment anchored by a reimagined Henry Ford academic healthcare campus. Learn more at henryford.com/careers.



#### **Benefits**

  


The health and overall well\\-being of our team members is our priority. That’s why we offer support in the various components of our team’s well\\-being: physical, emotional, social, financial and spiritual. Our Total Rewards program includes competitive health plan options, with three consumer\\-driven health plans (CDHPs), a PPO plan and an HMO plan. Our team members enjoy a number of additional benefits, ranging from dental and eye care coverage to tuition assistance, family forming benefits, discounts to dozens of businesses and more. Employees classified as contingent status are not eligible for benefits.


#### **Equal Employment Opportunity/Affirmative Action Employer**



 Equal Employment Opportunity / Affirmative Action Employer Henry Ford Health is



 committed to the hiring, advancement and fair treatment of all individuals without regard to



 race, color, creed, religion, age, sex, national origin, disability, veteran status, size, height,



 weight, marital status, family status, gender identity, sexual orientation, and genetic information,



 or any other protected status in accordance with applicable federal and state laws.","","https://www.glassdoor.com/Overview/W-EI_IE4660.htm","https://media.glassdoor.com/sql/4660/henry-ford-health-squareLogo-1671552369502.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009635582021","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635582021","","Head of Platform Software Engineering - Plex","Rockwell Automation","Troy, MI","2025-02-12","","direct_data","yearly",111016.0,143436.0,"USD",False,"","","organic","","Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers \\- amazing companies that help feed the world, provide life\\-saving medicine on a global scale, and focus on clean water and green mobility \\- our people are energized problem solvers that take pride in how the work we do changes the world for the better.
We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us!
Job Description
Position Summary:
As the Head of Platform Software Engineering, you will lead the development of our platform engineering initiatives, ensuring scalability, reliability, and efficiency in supporting our products and services. We ask that you have a deep technical understanding of platform architecture, leadership acumen, and the ability to collaborate across teams to inspire creativity and operational excellence.
You will manage a muti\\-faceted team and report to the Senior Director, Software Engineering \\- Plex.
Your Responsibilities:* *Technical Leadership:*
* Define and drive the platform strategy, ensuring alignment with the company's overall technology and business objectives.
* Architect, build, and maintain scalable, high\\-performance platforms to support current and future business needs.
* Promote engineering best practices, including CI/CD pipelines, automated testing, and performance monitoring.
* *Team Leadership:*
* Lead, mentor, and inspire a team of software engineers, promoting a culture of excellence, accountability, and continuous learning.
* Oversee hiring, onboarding, and professional development of team members to build a high\\-performing engineering organization.
* Collaborate with cross\\-functional teams, including product, infrastructure, and customer support, to ensure seamless execution.
* *Platform Development and Operations:*
* Oversee the development and maintenance of core platform components, such as APIs, microservices, authentication, data pipelines, and developer tools.
* Guide programs to improve platform reliability, scalability, and security.
* Establish metrics and KPIs to monitor system performance and implement continuous improvement.
* *Strategic Initiatives:*
* Develop and execute the roadmap for platform engineering, prioritizing projects based on business impact and technical feasibility.
* Work closely with stakeholders to understand customer requirements and ensure the platform meets their needs.
* Stay ahead of technology trends to ensure we use the best tools and methodologies.


The Essentials \\- You Will Have:* Bachelors Degree or equivalent years of relevant work experience.
* Legal authorization to work in the US is required. We will not sponsor individuals for employment visas, now or in the future, for this job opening.


The Preferred \\- You Might Also Have:* Typically requires 8\\+ years in relevant software engineering areas
* Prior experience in applicable software leadership functions
* Proven expertise in platform development, including architecture, scaling, and maintenance of complex systems.
* Strong technical knowledge in areas such as cloud computing (AWS, Azure, GCP), distributed systems, and DevOps practices.
* Experience with modern programming languages and frameworks (e.g., Java, Python, Node.js, Kubernetes).
* Experience in building developer platforms or tools.
* Background in agile development methodologies and project management.
* Experience with data engineering, including ETL processes and database technologies.


What We Offer:* Health Insurance including Medical, Dental and Vision
* 401k
* Paid Time off
* Parental and Caregiver Leave
* Flexible Work Schedule where you will work with your manager to enjoy a work schedule that fit with your personal life.
* To learn more about our benefits package, please visit at www.raquickfind.com.

*We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace.**At Rockwell Automation we are dedicated to building a diverse, inclusive and authentic workplace, so if you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right person for this or other roles.*
\\#LI\\-MG4
\\#LI\\-hybrid
\\#LifeAtROK
We are an Equal Opportunity Employer including disability and veterans.
If you are an individual with a disability and you need assistance or a reasonable accommodation during the application process, please contact our services team at \\+1 (844\\) 404\\-7247\\.
Rockwell Automation’s hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office.","","https://www.glassdoor.com/Overview/W-EI_IE567.htm","https://media.glassdoor.com/sql/567/rockwell-automation-squarelogo-1543423950218.png","","","","",""
"gd-1009635919352","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635919352","","Cooling System Design and Release Engineer","Kyyba Inc","Auburn Hills, MI","2025-02-12","","direct_data","hourly",40.0,42.0,"USD",False,"","","organic","","* **Cooling System Design and Release Engineer**
* As an Automotive Cooling System Design and Release Engineer, you will be a key member of our dynamic team focused on designing, developing, validating, and releasing advanced cooling components for electrified vehicles. These critical components, including cooling module assemblies, transmission oil coolers, hose and tube assemblies, electric coolant heaters, valves, pumps, and fan system components, are essential to ensure the optimal performance and efficiency of our vehicles. Your role will involve collaborating with cross\\-functional teams, managing suppliers, and utilizing your technical expertise to drive the success of our cutting\\-edge projects.
* **Responsibilities include but not limited to:**
* Lead the end\\-to\\-end design, development, validation, and release of various cooling components for electrified vehicles, including cooling module assemblies, transmission oil coolers, high and low\\-pressure hose and tube assemblies, electric coolant heaters, valves, pumps, and fan system components.
* Collaborate closely with cross\\-functional teams to ensure that cooling components meet performance, safety, and quality standards, while contributing to the overall vehicle objectives.
* Create, maintain, and manage the Design Verification Plan \\& Report (DVP\\&R) and Design Failure Modes and Effects Analysis (DFMEA) documents for cooling components, ensuring comprehensive validation and risk management.
* Drive the achievement of program timing milestones by effectively coordinating tasks, resources, and activities within the project timeline.
* Apply Advanced Product Quality Planning (APQP) principles to guide the development process and ensure robust product launches.
* Utilize Computer\\-Aided Engineering (CAE) tools to conduct simulations and analyses, optimizing component designs for efficiency and performance.
* Leverage your expertise in software tools including CATIA V5, Unigraphics NX, Vis Mockup, and TeamCenter to design, visualize, and communicate component designs effectively.
* Apply Design for Six Sigma (DFSS) methodologies to enhance the quality, reliability, and performance of cooling system components.
* Take a leadership role in managing and fostering strong relationships with suppliers, ensuring their alignment with project goals and delivery of high\\-quality components.
* Collaborate with manufacturing, testing, and quality teams to seamlessly integrate cooling components into the vehicle architecture.
* **Requirements:**
* Bachelor's degree in Mechanical Engineering or a related field. Advanced degree is a plus.
* **3\\+ years of experience in automotive engineering, with a focus on designing and releasing cooling system components.**
* **Strong understanding of cooling system components, such as Radiators, Condensers, Fans, Pumps, Valves, Heaters, and associated hardware.**
* **Proficiency in using CATIA V5 and/or Unigraphics NX for component design and modeling.**
* Experience with Vis Mockup and TeamCenter for collaborative design and visualization.
* Onsite Anywhere from 3\\-5 days a week
* Driving a company vehicle is requird

Job Type: Contract

Pay: $40\\.00 \\- $42\\.00 per hour

Schedule:

* 8 hour shift
* Day shift
* Monday to Friday

Ability to Commute:

* Auburn Hills, MI 48326 (Preferred)

Ability to Relocate:

* Auburn Hills, MI 48326: Relocate before starting work (Preferred)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE423434.htm","https://media.glassdoor.com/sql/423434/kyyba-squarelogo-1396992879147.png","","","","",""
"gd-1009635869216","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635869216","","DevOps Engineer - Virtual MI -26005","iMPact Business Group","","2025-02-12","","direct_data","hourly",55.0,55.0,"USD",True,"","","sponsored","","Our client, a **Global Medical Device Manufacture** has an immediate opening for a **DevOps Engineer** for a **4 Month Contract**. Our client offers results\\-driven people a place where they can make a difference \\- every day! You will also have the opportunity to work with other like\\-minded, self\\-directed and detail\\-oriented Top Talents in an extremely collaborative and professional environment.

**As part of the engineering team, you will be a resource to the customer support teams as a last recourse for technical escalations. You will resolve production problems across a wide variety of technologies such as networks, databases, server virtualization, cloud deployments and others. If there is a software problem, you will partner with the development team to create a fix or implement a temporary mitigation until a permanent solution becomes available. You will also participate in special projects for customer requests for feature customization or expansion. You will be a part of a team that provides on call support to fix urgent customer issues. This position reports to the Chief Engineer, Software Engineering.**

**Position Description (Principle Duties and Responsibilities)**

* Lead efforts to resolve customer service outages in an expedited manner and minimize the disruptions experienced by the clinical staff
* Record relevant data regarding a production issue, provide problem summary to non\\-subject matter experts
* Analyze problems and implement code changes or scripts to provide temporary mitigation to minimize disruption if a permanent fix is not immediately available
* Collaborate with the Quality Assurance department to communicate production related problems and coordinate the associated validation prior to customer deployment; incorporating new tests into the standard validation workflows
* Investigate and solve customer infrastructure problems (e.g. wired/wireless network, virtualization resources,authentication/security, etc) that may be indirectly causing production problems, conduct functional and performance characterization to extract evidence of root cause
* Identify database underperformance issues and implement changes to resolve, make data changes to rectify incorrect input information
* Work with the Edge development teams to improve quality and support of production issues
* Tackle engineering tasks that may not be assigned to other engineering teams due to resource issues, including product development, integration testing, performance profiling, etc.

**Requirements**

* Bachelor's degree in Computer Science or related field or equivalent
* 4\\-6 years of software development experience with at least 3\\+ years' experience full\\-stack work and troubleshooting
* Excellent proficiency with Linux (Oracle, Red Hat or CentOS preferred), exposure to system administration, shell scripting, network configurations, server virtualization especially for cloud\\-based deployments with their respective infrastructure and services
* Experience with networking protocols including the ability to analyze network traffic, VLAN management and reverse engineer protocols
* Knowledge of databases, experience reviewing logs, pinpointing performance issues and manipulating data in the CLI
* Exposure to Java, Ruby or similar OOP languages, ability to follow code walkthroughs

**(Preferred)**

* Exposure to IP telephony (e.g. CUCM, Freeswitch) or related technologies
* Knowledge and exposure to DevOps and automation technologies such as Ansible, Containers, Kubernetes and related technologies
* Background in system metrics, log processing, Grafana, InfluxDB, and similar technologies
* Familiarity with SOLID design principals and design patterns
* Exposure to the following software: Tomcat, ELK Stack, Zookeeper, Openfire and Vault

We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, and status as a protected veteran.

Job Type: Contract

Pay: $55\\.00 per hour

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Schedule:

* Monday to Friday

Location:

* Michigan (Required)

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE809586.htm","https://media.glassdoor.com/sql/809586/impact-business-group-squarelogo-1466079810935.png","","","","",""
"go-zA5_mj-qMJt_abgFAAAAAA==","google","https://www.linkedin.com/jobs/view/data-integration-engineer-at-ford-motor-company-4148930612?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Integration Engineer","Ford Motor Company","Dearborn, MI","2025-02-06","","","","","","",False,"","","","","Job Description

We are looking for an experienced Integration Engineer to join our team. As an Integration Engineer, you will be responsible for designing, implementing, and managing system integration solutions that connect multiple software applications. You will work closely with cross-functional teams to ensure seamless data flow and communication between various platforms, helping to optimize processes and enhance business performance.

Responsibilities

Position Duties:
• Design and develop integration solutions to connect various software platforms.
• Create, implement, and manage APIs and middleware to ensure seamless data exchange between systems.
• Work with development and operations teams to implement software solutions that improve system integration and automation.
• Create and manage data flows between systems and applications
• Troubleshoot and resolve issues related to system communication and data flow.
• Collaborate with technical and non-technical teams to understand integration requirements and ensure successful deployment.
• Create and maintain technical documentation
• Work with GDIA and IT to ensure systems meet business needs
• Collaborate across teams to align AI initiatives with organizational goals
• Design and develop AI models and algorithms when required
• Implement AI solutions that integrate with existing business systems to enhance functionality and user interaction

Qualifications

Minimum Requirements:
• Bachelor’s degree in Computer Science, Information Systems, or related field.
• 3+ years of experience in system integration, API development, and middleware.
• Proficiency in at least one programming language (e.g., Java, Python, C++).
• Familiarity with cloud platforms like AWS, Azure, or Google Cloud.
• Excellent problem-solving and analytical skills.
• Experience with Atlassian tools (Jira, Jama); including dashboard deployment
• Experience with machine learning, deep learning, NLP, and computer vision

Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

We have a commitment to our products and customers, but also know that our employees are the driving force behind our success. Find out what it is like to love your job. Come discover a Company that is focused on designing better cars, but also cares about you, your family and your community. By choice, we are an Equal Opportunity Employer committed to a culturally diverse workforce.","","","","","","","",""
