"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009636082011","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009636082011","","Automation Controls Engineer","Actalent","Arlington, TX","2025-02-12","","direct_data","hourly",38.0,48.0,"USD",False,"","","sponsored","actalentaccommodation@actalentservices.com","**Job Title: Controls Engineer (Traveling)**
============================================

**Traveling to different states in the USA including Texas**

**Job Description**
-------------------


Provide automation and control engineering support and on\\-site installation and start\\-up support for control system upgrades for liquid/solid separation process equipment and systems. The role requires knowledge of motor controls, drives, electrical controls, sensors, PLCs, HMIs, industrial communication, and some knowledge of pneumatic and hydraulic systems.

**Responsibilities**
--------------------

* Provide automation and control engineering support.
* Assist with on\\-site installation and start\\-up for control system upgrades.
* Work with liquid/solid separation process equipment and systems.
* Design and implement custom control systems for dewatering/thickening process equipment.
* Troubleshoot automation and control systems.

**Essential Skills**
--------------------

* At least six (6\\) years of experience in industrial process automation and control equipment.
* Experience with PLC systems, HMI units, rotating equipment drive systems, instrumentation and control components.
* Proficiency in MS Office Suite including Outlook, Word, Excel, PowerPoint, and Adobe Acrobat.
* Proficiency in Rockwell PLC and HMI programming software.
* Knowledge of industrial communication networks such as Modbus.
* Experience with industrial PLC/HMI/VFD products and programming software.
* Good troubleshooting skills for automation and control systems.
* Ability to communicate effectively in English, both written and verbal.

**Worksite Location**

* Primarily in Arlington, TX but travelling to other states 30\\-50% of the time.

**Pay and Benefits**
--------------------


The pay range for this position is $38\\.00 \\- $48\\.00/hr.


Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to specific elections, plan, or program terms. If eligible, the benefits available for this temporary role may include the following:
  

  

* Medical, dental \\& vision
* Critical Illness, Accident, and Hospital
* 401(k) Retirement Plan – Pre\\-tax and Roth post\\-tax contributions available
* Life Insurance (Voluntary Life \\& AD\\&D for the employee and dependents)
* Short and long\\-term disability
* Health Spending Account (HSA)
* Transportation benefits
* Employee Assistance Program
* Time Off/Leave (PTO, Vacation or Sick Leave)
**Workplace Type**
------------------


This is a fully onsite position in Arlington,TX.

**Application Deadline**
------------------------


This position is anticipated to close on Feb 26, 2025\\.

**About Actalent**
------------------


Actalent is a global leader in engineering and sciences services and talent solutions. We help visionary companies advance their engineering and science initiatives through access to specialized experts who drive scale, innovation and speed to market. With a network of almost 30,000 consultants and more than 4,500 clients across the U.S., Canada, Asia and Europe, Actalent serves many of the Fortune 500\\.


**Diversity, Equity \\& Inclusion**
----------------------------------


At Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE\\&I are embedded into our culture through:


* Hiring diverse talent
* Maintaining an inclusive environment through persistent self\\-reflection
* Building a culture of care, engagement, and recognition with clear outcomes
* Ensuring growth opportunities for our people

The company is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.


If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please email actalentaccommodation@actalentservices.com for other accommodation options.","","https://www.glassdoor.com/Overview/W-EI_IE5586338.htm","https://media.glassdoor.com/sql/5586338/actalent-squareLogo-1626179574869.png","","","","",""
"gd-1009635972122","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635972122","","Python Training Batch (Non IT candidates may also apply, Salary will be paid from Day 1)","Javen Tech Soft","Dallas, TX","2025-02-12","","direct_data","yearly",36000.0,70000.0,"USD",False,"","","organic","","**Job Title: Python Training Batch (Non IT Candidates may also apply. Salary will be paid from Day 1\\)** 

**Location: Chantilly, VA (Work from office from Day 1\\)**

**Company: Javen Tech Soft**

**Job Overview:**

As an Entry\\-Level Software Developer at Javen Tech Soft, you will embark on an exciting learning journey, starting with comprehensive training in Python and other key IT skills. Following the training period, you will be placed on projects where you will apply your skills, collaborate with senior developers, and contribute to meaningful work in a dynamic environment.

**Key Responsibilities:**

* Complete a 3\\-month intensive training program on Python, programming fundamentals, and other essential IT skills.
* Collaborate with experienced software developers and project teams to develop, test, and maintain applications.
* Gain hands\\-on experience with various software development tools and platforms.
* Participate in code reviews and debugging sessions to improve your skills and contribute to project success.
* Work on real\\-world projects under the guidance of senior developers.
* Assist in troubleshooting, system integration, and problem\\-solving tasks.

Who We’re Looking For:

* Entry\\-level candidates from both tech and non\\-tech backgrounds with a passion for technology and software development.
* Strong willingness to learn and adapt to new technologies and programming languages.
* Basic understanding of logic, problem\\-solving, and analytical thinking.
* Strong communication skills and the ability to work in a team environment.
* A positive attitude with a strong desire for growth and development in the tech field.

**Required Qualifications:**

* A Bachelor’s degree in any field is a plus.
* No prior software development experience is required—training will be provided.
* Interest in coding, problem\\-solving, and IT.
* Ability to work full\\-time in the Chantilly office (Day 1, in\\-office work environment).

Job Type: Full\\-time

Pay: $36,000\\.00 \\- $70,000\\.00 per year

Benefits:

* 401(k)
* Health insurance
* Paid time off

Compensation Package:

* Bonus opportunities

Schedule:

* 8 hour shift
* Day shift
* Monday to Friday

Ability to Commute:

* Dallas, TX 75372 (Required)

Ability to Relocate:

* Dallas, TX 75372: Relocate before starting work (Required)

Work Location: In person","","","","","","","",""
"gd-1009635984553","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635984553","","Automation Engineer","Suzhou Junchuang North America","Fort Worth, TX","2025-02-12","","direct_data","yearly",60000.0,65000.0,"USD",False,"","","organic","","Suzhou Junchuang Auto Technologies, established in June 2005, is headquartered in Mudu Town, China \\- a historic town with a 2,500\\-year legacy on the shores of Taihu Lake.
  
  

The company is committed to attracting top talent and fostering a culture that values family, innovation, and excellence. Our goal is to be the world\\-class automotive supplier, guided by our dedication to the highest standards of professionalism, technology, quality, and satisfaction. We prioritize not only our customers but also the well\\-being and satisfaction of our employees, ensuring a supportive and rewarding work environment.
  
  

**Benefits:**  

* Full medical/health benefits
* 401k Retirement plan
* Salary: $60,000 to $65,000 per year


Our work environment includes both modern office spaces and advanced manufacturing facilities specializing in plastic injection molding technology. In our contemporary office setting, you'll collaborate in a professional atmosphere featuring state\\-of\\-the\\-art IT infrastructure and ergonomic workstations. On the manufacturing floor, you'll find a cutting\\-edge plastic injection molding plant where precision and innovation come together. While we ensure top\\-notch quality in component production, you may occasionally notice mild odors and temperature variations typical of the manufacturing process. Safety is a top priority, with stringent protocols in place to ensure a secure workplace.
  
  

**Description:**  

As an Automation Engineer at Junchuang North America, you will play a pivotal role in advancing our production processes through the design, implementation, and maintenance of automated systems. You will collaborate closely with cross\\-functional teams to optimize efficiency, reliability, and safety in our manufacturing operations, with a specific focus on plastic injection molding technology for EV components.
  
  

Requirements/Responsibilities
  
  

**Job Responsibilities:**  

* Design and Development: Conceptualize, design, and develop automated systems tailored to enhance the efficiency and productivity of plastic injection molding processes.
* Programming and Integration: Program and integrate automation technologies, including robotic systems, PLCs (Programmable Logic Controllers), HMIs (Human\\-Machine Interfaces), and other control systems to streamline manufacturing operations.
* System Optimization: Continuously analyze and optimize automated systems to improve throughput, minimize downtime, and enhance product quality.
* Troubleshooting and Maintenance: Conduct routine maintenance activities and troubleshoot issues


to ensure the uninterrupted operation of automated equipment. Develop preventive maintenance
  
schedules and implement corrective actions as necessary.
  
  

* Collaboration and Support: Collaborate with cross\\-functional teams, including production, engineering, and maintenance, to identify automation needs, address challenges, and implement solutions that align with business objectives. Communicate with automation team in headquarters to understand the design concept, specification and provide feedback loop.
* Compliance and Safety: Ensure compliance with industry standards, regulations, and safety protocols in the design and operation of automated systems. Conduct risk assessments and implement appropriate safety measures to mitigate potential hazards.
* Documentation and Reporting: Maintain accurate documentation of automation designs,


configurations, and maintenance activities. Generate reports on system performance, efficiency
  
improvements, and cost savings initiatives.
  
  

* All other duties as assigned by Management.


**Requirements:**  

* Bachelor’s degree in mechanical engineering, Electrical Engineering, Automation Engineering, or related field.
* Proficiency in programming languages such as PLC ladder logic, C/C\\+\\+, Python, or similar languages. Strong understanding of robotics, motion control systems, sensors, and actuators. Familiarity with CAD software for system design and simulation (e.g., UG, CATIA, SolidWorks, AutoCAD).
* Proficient computer skills
* Strong problem\\-solving skills. Be able to use tools, such as 5 why, fish bone, DOE, to systematically resolve machine and process issues


Special Instructions
  
  

Please do not send any emails, resumes, or call.
  
We are making it really easy to apply for this position.
  
  

Simply submit a ZippyApp application package which may include the Common Employment Application, Resume, and a Cover Letter. In your Cover Letter, please write a short paragraph describing yourself and why you would make a great addition to our team.
  
  

ZippyApp is the Common Employment Application for online and mobile that allows you to apply for jobs with one click, and is being accepted at a growing number of businesses each day.","","","","","","","",""
"gd-1009635982525","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635982525","","Junior Data Analyst","Upen Group Inc","Irving, TX","2025-02-12","","direct_data","yearly",40000.0,60000.0,"USD",False,"","","organic","","**Junior Data Analyst** 

**About Us:**

Upen Group is a recruiting agency connecting vendors with top talent. We are seeking a **Junior Data Analyst** to support data\\-driven decision\\-making by analyzing, interpreting, and visualizing key business insights.

**Responsibilities:**

* Collect, clean, and analyze datasets to ensure accuracy and relevance.
* Develop reports and dashboards using SQL, Excel, Tableau, or Power BI.
* Identify trends and patterns to drive business strategies.
* Collaborate with teams to integrate data insights into decision\\-making processes.

**Qualifications:**

* Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field.
* 1\\-2 years of experience in data analysis (internships included).
* Proficiency in SQL and data visualization tools.
* Strong analytical and communication skills.
* Must be a U.S. citizen or Green Card holder.

**Advance your career as a Junior Data Analyst at Upen Group and contribute to data\\-driven success.**

Job Type: Contract

Pay: $40,000\\.00 \\- $60,000\\.00 per year

Schedule:

* 8 hour shift

Work Location: Hybrid remote in Irving, TX 75038","","","","","","","",""
"gd-1009635789730","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635789730","","Head of Data Science/Analytics","Micron","Richardson, TX","2025-02-12","","direct_data","yearly",148835.0,204038.0,"USD",False,"","","organic","_na@micron.com","**Our vision is to transform how the world uses information to enrich life for** ***all*****.**

Micron Technology is a world leader in innovating memory and storage solutions that accelerate the transformation of information into intelligence, inspiring the world to learn, communicate and advance faster than ever.


For more than 43 years, Micron Technology, Inc. has redefined innovation with the world’s most advanced memory and semiconductor technologies. We’re an international team of visionaries and scientists, developing groundbreaking technologies that are transforming how the world uses information to enrich life.
HBM Design Technology Package Co\\-Optimization integrates across various teams to define, design and material specifications. Defining needed test vehicles and test requirements to enable advanced package development and further product qualifications. Segmenting and resolving chip/package interaction issues.


Micron HBM Design Technology Package Co\\-Optimization team is looking to hire Head of Data Science/Analytic. Our Team’s Vision is to enable predictable delivery of industry leading HBM through defining requirements for design, technology and package to mitigate chip\\-package interactions.

**(Disclaimer):** While you may not exhibit all the characteristics/skills listed below today, we are highly interested in a teammate who is motivated to grow in technical breadth and depth. Suppose you are open to learning while being a valued member of a team of premier engineers. In that case, we are determined to help build upon your existing foundation, while rapidly growing your individual and collaborative skills in this exciting and outstanding opportunity**.**

* ***This position will be a hybrid role located in Richardson, TX***


The job requires ETL and analytics for ease of access and decision making

**The responsibilities include:**

* Develop analytical models, algorithms and automated processes, applying ML or data science techniques, to utilize large datasets to deliver actionable next steps.
* Interface with development and manufacturing teams to deliver data and AI projects, including data acquisition, preprocessing, modeling, validation, deployment, monitoring, and maintenance.
* Implement appropriate AI methods to enable improved packaging and design solutions

**The requirements include:**

* Masters or PhD in EE/Materials/Comp Science with 20\\+ years in the semiconductor industry with experience in process development, test, reliability and data analytics
* Strong technical knowledge of analytical, AI and software tools to solve problems
* Demonstrated ability to lead cross functional teams like technology, package, test development to integrate data to drive actions
* Strong interpersonal and communication skills to be successful in a team\\-oriented collaborative work environment

As a world leader in the semiconductor industry, Micron is dedicated to your personal wellbeing and professional growth. Micron benefits are designed to help you stay well, provide peace of mind and help you prepare for the future. We offer a choice of medical, dental and vision plans in all locations enabling team members to select the plans that best meet their family healthcare needs and budget. Micron also provides benefit programs that help protect your income if you are unable to work due to illness or injury, and paid family leave. Additionally, Micron benefits include a robust paid time\\-off program and paid holidays. For additional information regarding the Benefit programs available, please see the Benefits Guide posted on micron.com/careers/benefits.


Micron is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, citizenship status, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state, or local laws.


To learn about your **right to work click here.**


To learn more about Micron, please visit**micron.com/careers**


For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s People Organization at hrsupport\\_na@micron.com or 1\\-800\\-336\\-8918 (select option \\#3\\)


Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.


Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.","","https://www.glassdoor.com/Overview/W-EI_IE1648.htm","https://media.glassdoor.com/sql/1648/micron-technology-squareLogo-1728397064479.png","","","","",""
"gd-1009635815658","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635815658","","SME/Expert DevOps Engineer (Remote Opportunity)","VetsEZ","Dallas, TX","2025-02-12","","","","","","",False,"","","organic","","VetsEZ is seeking a full\\-time remote **Expert DevOps Engineer** to support a Department of Veterans Affairs project. As a key member of our foundational team, you'll play a crucial role in engaging with consumers of Health Service Mesh interfaces and providing service consultation support to development teams. If you're passionate about driving innovation in healthcare technology, we'd love to hear from you!


Candidates must reside within the continental U.S.


**Responsibilities:**


* Serve on the foundational team that engages with Health Service Mesh (HSM) consumers, ensuring optimal data access.
* Act as a Service Consultant, providing strategic feedback and guidance on services that expose VistA data.
* Collaborate with development teams to optimize the delivery of services to HSM consumers.
* Review and provide insights on proposed architectures.
* Share in\\-depth knowledge of VA infrastructure and best practices with cross\\-functional teams.
* Support service teams in transitioning to a Cloud Native approach.

**Requirements:**


* Bachelor's degree in computer science, engineering, or a related field.
* 8\\+ years of experience in DevSecOps, CI/CD, Microservices, and Containerization.
* Strong proficiency in Java, API development (RESTful, web services), and Cloud Native environments.
* Expertise in healthcare data standards such as FHIR and HL7 for interoperability and compliance.
* In\\-depth knowledge of VistA, VA infrastructure, IAM, VA Profile, and integrations with Cerner.
* Hands\\-on experience in monitoring, security, database management, and tools like AKRON, RPS, and KAFKA.
* Strong analytical and troubleshooting abilities to solve complex issues.
* Excellent communication skills with experience in documentation and presentations.

**Additional Qualifications:**


* Experience with SAFe/Agile Software Development practices.
* Ability to obtain a government security clearance.

**Benefits:**


* Medical/Dental/Vision Insurance
* 401k with Employer Match
* Corporate Laptop
* PTO \\+ Federal Holidays
* Training Opportunities
* Remote Work

Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status.


 Sorry, we are unable to offer sponsorship at this time.","","https://www.glassdoor.com/Overview/W-EI_IE1465412.htm","https://media.glassdoor.com/sql/1465412/veterans-ez-info-squarelogo-1586531316752.png","","","","",""
"gd-1009635919020","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635919020","","Aerospace Software Safety Engineer","Intellyk, Inc.","Fort Worth, TX","2025-02-12","","direct_data","yearly",130000.0,150000.0,"USD",False,"","","organic","","**Job Title: Aerospace Software Safety Engineer**

**Location:\\- Fort Worth, TX 76118**

**Onsite from Day 1**

**Full Time**

**JD:**

· Must have experience with either military System Safety Programs (MIL\\-STD\\-882\\) or civil System Safety Programs (SAE ARP4761\\).Must have experience or Strong Familiarity with military software system safety guidance (Joint Services Software System Safety Engineering Handbook, AMCOM Regulation 385\\-17\\).

* Must have experience with either software development (RTCA DO\\-178\\) or complex/programmable hardware development (RTCA DO\\-254\\).
* Ability to prioritize work, strong analytical and problem\\-solving skills with a team player mindset.
* Excellent communicator, must be able to build and maintain effective relationships with customers, internal and external suppliers, and brief leaders/customers.
* Multiple levels will be considered for this position with a minimum of 2 years' software safety experience required.
* Bachelor’s degree with a Major in Electrical Engineering, Software Engineering, Computer Science, or Computer Engineering. Advanced degrees will be considered as additional experience. Related degrees with relevant experience may be considered.
* Administer Software System Safety activities on assigned engineering design teams. Interface with the customer and teammates on software safety related issues. Monitor, investigate, and resolve issues relative to Software System Safety Engineering.
* Perform Model Based Safety Analysis (MBSA) in coordination with air vehicle Model Based Systems Engineering (MBSE) efforts.
* Represent Bell with military/industry at Software System Safety Working Groups and Aircraft Software Working Groups.
* Provide guidance to Bell engineering teams and suppliers relative to Software System Safety Engineering.
* Review Bell and supplier submitted documents relative to Software System Safety Engineering IAW AMCOM Regulation 385\\-17\\.
* Influence air vehicle design to improve system and software safety features and design.
* Candidates must be eligible to obtain Secret Security Clearance

Job Type: Full\\-time

Pay: $130,000\\.00 \\- $150,000\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Yearly bonus

Schedule:

* 8 hour shift
* Day shift
* Monday to Friday

Ability to Commute:

* Fort Worth, TX 76118 (Preferred)

Ability to Relocate:

* Fort Worth, TX 76118: Relocate before starting work (Required)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE2136213.htm","https://media.glassdoor.com/sql/2136213/intellyk-squarelogo-1560774418023.png","","","","",""
"gd-1009635920236","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635920236","","Senior Mainframe z/OS Systems Programmer -Remote - W2","HARAMAIN SYSTEMS INC.","Addison, TX","2025-02-12","","direct_data","hourly",60.0,70.0,"USD",False,"","","organic","","**Role: Senior Mainframe z/OS Systems Programmer**

**Type: 6 months Contract to hire**

**100% REMOTE**

**ISV Upgrade**

The Senior Mainframe Systems Programmer provides support for on\\-going projects that require the installation, testing, and implementation of new operating systems and other 'system' software. Includes: Maintenance and debugging of systems software, Coordination with other technical teams (CICS, Database, Network, Hardware/Storage, etc) in accomplishing assigned tasks, Research and evaluation of new software and hardware products, Assisting team members and other areas with technical questions and problem resolution, Monitoring and tuning of systems software, Functional knowledge, use of z/OS components and detailed knowledge of support products such as tape management, scheduling, security, monitoring systems, and other z/OS supporting systems software. Note: This is not an Applications Programming position.

  



**Key area of focus:**

* Installation, Upgrade and maintenance of Mainframe Systems Infrastructure software (including z/OS and ISV products) in support of Software Lifecycle Management
* Incident / Problem resolution as they arise during client migration
* Attend client meetings to understand client environments and help transition support of client environment to our Steady State teams

  



**Qualifications:**

* 10\\+ years of experience as a Mainframe z/OS Systems programmer
* Good working knowledge of doing ISV upgrades, experience with Security, DB2, and CICS a plus.
* Proficiency in interacting with ISV vendors, problem determination and resolution for the products identified above
* ISV products include, but are not limited to Sysview, Vanguard, Tivoli Asset Discovery for zOS, and OPS MVS
* Ability to host meetings and conference calls
* Must be self\\-motivated and able to manage multiple projects simultaneously
* Proficient in Microsoft Word and Excel to a level of creating documents which can be shared with clients

  

This is a remote position.","","https://www.glassdoor.com/Overview/W-EI_IE3170917.htm","https://media.glassdoor.com/sql/3170917/haramain-systems-squarelogo-1577722489354.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009635757718","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635757718","","Senior Front End Developer","Underline Infrastructure","Dallas, TX","2025-02-12","","direct_data","yearly",130000.0,160000.0,"USD",False,"","","sponsored","","**About Underline** 

Underline starts with our people.

At Underline, we've rapidly built a culture around ownership, trust, community, and innovation. Underline is dedicated to cultivating a growth environment where people feel valued, work with a purpose of mission, are personally rewarded, and are professionally challenged.

Are you ready to join this team and transform American communities?

Underline was founded in 2019 with a singular mission: to ensure the vibrancy of our nation through building intelligent community infrastructure in a socially equitable manner. We work with American communities to design, finance, and construct open access fiber\\-optic networks. These networks are critical to secure internet access that’s fast, affordable, and fair. As open access networks, this infrastructure is also the essential foundation for distributed healthcare services, new wireless solutions, and resilient infrastructure including modernized water systems and responsible energy creation. Our first two projects are in Colorado Springs and Fountain, Colorado.

**About this Position**

We’re looking for a full\\-time senior frontend engineer to join our U.S. Remote\\-based Engineering team.

Our Engineering team responds to the needs of the business, delivering well\\-designed and strategically aligned technology solutions in network architecture and design, customer acquisition, network service provider connectivity, and operations and support systems.

Spend your time with us as we help support the vitality and resilience of communities.

**What You’ll Do**

* Collaborate with product, design, and software architects to iterate on the design of user\\-facing features
* Develop application features by leveraging open\\-source frameworks as well as building new technologies in\\-house
* Build and maintain reusable components across projects
* Work closely with Backend Engineers to conceptualize new features in backend services
* Maintain high standards of software development and quality through unit testing, integration testing, continuous integration, and automated deployment
* Mentor junior and mid\\-level engineers through pair programming, code reviews, and architectural guidance.
* Foster a culture of continuous learning and knowledge sharing within the engineering team.
* Collaborate with backend engineers to define efficient GraphQL API contracts and ensure seamless data flow.
* Optimize web performance, accessibility, and responsiveness to ensure a best\\-in\\-class user experience.

**Does this sound like you?**

* You are hungry, humble, and curious
* You have excellent attention to detail, enjoy building amazing user interfaces, and have excellent problem\\-solving skills
* You have a passion for open source
* You are an intrinsic self\\-starter and enjoy taking on new challenges
* You want to be part of the early stages of a company where everything you build matters
* You want a highly collaborative environment, comprised of diverse subject matter experts in broadband networking, data center infrastructure, software development, and design
* You care about building critical intelligent infrastructure to increase community vitality and improve resilience

**About Us** 

* We offer bold solutions to drive positive, sustainable change
* We approach our work with humility, integrity, and intellectual rigor
* We are agile and relentless in pursuit of our mission
* We have a mentality of service: to our mission, and to each other
* We are dedicated to building and sustaining a culture of flourishing
* We optimize our efforts to create positive\\-sum for community and capital

**Experience we’re looking for**

* 6\\+ Years of experience as a software engineer
* Experience with modern web frameworks like Ember, React, Vue, etc. (We use Ember Octane!)
* Strong experience with test\\-driven development, continuous integration, and automated testing
* Experience working with Git and CI/CD toolchains
* Proved ability and passion for delivering good UI/UX
* Able to create clean and maintainable code with modern JavaScript, TypeScript, CSS, and HTML
* Familiarity with GraphQL APIs
* Familiarity with TailwindCSS
* Travel to 4 quarterly off\\-site team/company retreats is required

**Bonus points**

* Knowledge of the telecom industry or software

Job Type: Full\\-time

Pay: $130,000\\.00 \\- $160,000\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Parental leave
* Referral program
* Retirement plan
* Vision insurance

Compensation Package:

* Stock options

Schedule:

* Monday to Friday

Experience:

* software engineering: 8 years (Required)
* Go: 3 years (Required)
* React: 3 years (Required)

Work Location: Hybrid remote in Dallas, TX 75209","","https://www.glassdoor.com/Overview/W-EI_IE7456719.htm","https://media.glassdoor.com/sql/7456719/underline-infrastructure-squarelogo-1658494892567.png","","","","",""
