"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009635829409","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635829409","","Drupal Expert","Marine Watchdogs","Santa Barbara, CA","2025-02-12","","direct_data","hourly",75.0,125.0,"USD",False,"","","organic","info@marinewatchdogs.org","**Job Summary**  
We are seeking a skilled Drupal Developer/CMS user to create a new website.

YOU MUST LIVE IN CALIFORNIA FOR THIS ROLE AS SOME ONSITE WORK IS REQUIRED.

**Responsibilities**

* Set up Drupal, including management dashboard, users, templates
* Produce Drupal design templates from static HTML content
* Integrate external apps
* Utilize AJAX for dynamic content updates and optimize application performance
* Train content contributors and admin as needed

**Experience**

* At least 2 years of experience working with Drupal
* Strong knowledge of JavaScript, and PHP.
* Understanding of web application architecture and design patterns.
* Ability to work collaboratively while also being self\\-motivated.
* Excellent problem\\-solving skills and attention to detail.

\\[A generous success bonus applies when we meet client expectations.]

**To apply,** please email a brief summary of your experience with at least two examples of Drupal websites you have built, including A) a URL and B) a brief description of your role in building the website to: info@marinewatchdogs.org

Job Types: Contract, Temporary

Pay: $75\\.00 \\- $125\\.00 per hour

Expected hours: 30 – 60 per week

Compensation Package:

* 1099 contract

Schedule:

* 8 hour shift
* Choose your own hours

Work Location: Hybrid remote in Santa Barbara, CA 93109","","","","","","","",""
"li-4148187422","linkedin","https://www.linkedin.com/jobs/view/4148187422","","Software Engineer - ML - 127046","PTR Global","California, United States","2025-02-12","contract","","","","","","","mid-senior level","Engineering and Information Technology","","","**Software Engineer – Machine Learning (ML)**
**Long term contract**
**Day 1 Onsite Sunnyvale, CA (Prefer local folks)**
**Hybrid – 3 days onsite / week**
**Direct client opportunity**
**No mid layer / No Implementation partners are Involved**
**Skill Sets \\- Experience \\- Preference**
 Spark \\- 5\\-10 Years \\- Is Required
   

  

 SQL \\- 5\\-10 Years \\- Is Required
   

  

 Java \\- 5\\-10 Years \\- Is Required
   

  

 Machine Learning \\- 5\\-10 Years \\- Is Required
   

  

 NLP technologies\\-scikit learn \\- 5\\-10 Years \\- Is Required
   

  

 python \\- 5\\-10 Years \\- Is Required
   

  

**Pay Range: $70/hr \\- $75/hr**
 The specific compensation for this position will be determined by a number of factors, including the scope, complexity and location of the role as well as the cost of labor in the market; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. Our full\\-time consultants have access to benefits including medical, dental, vision as well as 401K contributions.","IT Services and IT Consulting","https://www.linkedin.com/company/ptrglobal","https://media.licdn.com/dms/image/v2/D560BAQExn1rRDDf8dg/company-logo_100_100/company-logo_100_100/0/1724873466830/ptrglobal_logo?e=2147483647&v=beta&t=RKCY7yVRCsHuYs58mqQ2N08N9a717kUHilq9_hyekzA","","","","",""
"li-4128468018","linkedin","https://www.linkedin.com/jobs/view/4128468018","https://fractal.wd1.myworkdayjobs.com/Careers/job/California/Data-Scientist_SR-29572?source=LinkedIn&urlHash=Dk5I","Machine Learning Engineer","Fractal","California, United States","","fulltime","","","","","","","entry level","Engineering and Information Technology","","","It's fun to work in a company where people truly BELIEVE in what they are doing!
   

  

*We're committed to bringing passion and customer focus to the business.*
 Fractal Analytics is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite empowers imagination with intelligence. And that it will be such Fractalites that will continue to build the company for the next 100 years.
   

  

 Please visit Fractal \\| Intelligence for Imagination for more information about Fractal.
   

  

* Please note that this role is specifically located in the San Francisco Bay Area and requires 100% onsite availability. If you are not local, we provide weekly travel or relocation.\\*\\*\\*


**Role Overview**
 As an ML Engineer at Fractal Analytics, you will be at the forefront of building and deploying AI\\-driven solutions that address critical business challenges across industries. You’ll work with cutting\\-edge AI platforms to develop both custom and pre\\-built enterprise applications, tackling key problems such as demand forecasting, asset reliability planning, and inventory optimization.
   

  

 Your role will focus on implementing scalable, production\\-ready machine learning solutions that seamlessly integrate into our clients' operations. You’ll collaborate with cross\\-functional teams, optimize model performance, and ensure the reliability and efficiency of AI applications in real\\-world business environments. If you're passionate about transforming businesses with AI and thrive in a dynamic, impact\\-driven environment, we’d love to have you on our team.
   

  

**Responsibilities Include**
* Research, design, implement, and deploy Machine Learning algorithms for enterprise scale applications.
* Engage with clients to translate business needs into technical requirements and Machine Learning solutions.
* Contribute to the design and implementation of features for new and existing enterprise AI solution offerings.
* Provide ongoing support and monitoring for solutions running in production.
* Continuously research and stay abreast of the latest advancements in machine learning and AI to apply cutting\\-edge techniques in our solutions.


**Qualifications**
* MS in Computer Science, Electrical Engineering, Data Science, Statistics, Mathematics, or a related field with a strong emphasis on Machine Learning or Artificial Intelligence.
* Excellent programming skills in Python
* Strong proficiency in Python and ML frameworks like TensorFlow, PyTorch, or Scikit\\-learn.
* Applied Machine Learning and AI experience in a professional setting.
* Broad knowledge on ecosystem of machine learning and AI algorithms, including tradeoffs to consider and when most appropriate to use.
* Demonstrated project expertise in supervised/unsupervised learning techniques, deep learning, time series, operations research, or Generative AI.
* Familiarity with ML model lifecycle including key considerations and relevant tools (MLFlow, AirFlow, Kubeflow, etc.) for supporting and governing models at scale.
* Familiarity with scalable AI technologies such as (MapReduce, Spark, streaming).
* Prior exposure to cloud computing services like AWS, Azure, or Google Cloud is advantageous (especially ML and AI toolkits).
* Ability to drive a project and work both independently and in a team.
* Smart, motivated, can\\-do attitude, and seeks to make a difference.
* Excellent verbal and written communication.


**Pay**
 The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions, including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Fractal, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is: 115,000 to 185,000\\. In addition, you may be eligible for a discretionary bonus for the current performance period.
   

  

**Benefits**
 As a full\\-time employee of the company or as an hourly employee working more than 30 hours per week, you will be eligible to participate in the health, dental, vision, life insurance, and disability plans in accordance with the plan documents, which may be amended from time to time. You will be eligible for benefits on the first day of employment with the Company. In addition, you are eligible to participate in the Company 401(k) Plan after 30 days of employment, in accordance with the applicable plan terms. The Company provides for 11 paid holidays and 12 weeks of Parental Leave. We also follow a “free time” PTO policy, allowing you the flexibility to take the time needed for either sick time or vacation.
   

  

*Fractal provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.*
 If you like wild growth and working with happy, enthusiastic over\\-achievers, you'll enjoy your career with us!
   

  

 Not the right fit? Let us know you're interested in a future opportunity by clicking
 *Introduce Yourself* 
 in the top\\-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!","Business Consulting and Services","https://www.linkedin.com/company/fractal-analytics","https://media.licdn.com/dms/image/v2/D4D0BAQFfWiLKapr2dg/company-logo_100_100/company-logo_100_100/0/1739206750155/fractal_analytics_logo?e=2147483647&v=beta&t=u3TAvymPT_vd6sLm-gjz1eKA_fda94JsF73pXnSd9nU","","","","",""
"li-4148913287","linkedin","https://www.linkedin.com/jobs/view/4148913287","https://grnh.se/5900a9541us&urlHash=XH6N","Python and Kubernetes Software Engineer - Data, AI/ML & Analytics","Canonical","Fresno, CA","","fulltime","","","","","","","entry level","Engineering and Information Technology","","","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1000\\+ colleagues in 70\\+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting locations around the world, to align on strategy and execution.
   

  

 The company is founder led, profitable and growing. We are hiring
 **Python and Kubernetes Specialist Engineers focused on Data, AI/ML and Analytics Solutions** 
 to join our teams building open source solutions for public cloud and private infrastructure.
   

  

 As a software engineer on the team, you'll collaborate on an end\\-to\\-end data analytics and mlops solution composed of popular, open\\-source, machine learning tools, such as Kubeflow, MLFlow, DVC, and Feast. You may also work on workflow, ETL, data governance and visualization tools like Apache SuperSet, dbt, and Temporal, or data warehouse solutions such as Apache Trino, or ClickHouse. Your team will own a solution from the analytics and machine learning space, and integrate with the solutions from other teams to build the world's best end\\-to\\-end data platform. These solutions may be run on servers or on the cloud, on machines or on Kubernetes, on developer desktops, or as web services.
   

  

 We serve the needs of individuals and community members as much as the needs of our Global 2000 and Fortune 500 customers; we make our primary work available free of charge and our Pro subscriptions are also available to individuals for personal use at no cost. Our goal is to enable more people to enjoy the benefits of open source, regardless of their circumstances.
   

  

**Location:** 
 This initiative spans many teams that are home\\-based and in multiple time zones. We believe in distributed collaboration but we also try to ensure that colleagues have company during their work hourse! Successful candidates will join a team where most members and your manager are broadly in the same time zone so that you have the benefits of constant collaboration and discussion.
   

  

**What your day will look like**
* Develop your understanding of the entire Linux stack, from kernel, networking, and storage, to the application layer
* Design, build and maintain solutions that will be deployed on public and private clouds and local workstations
* Master distributed systems concepts such as observability, identity, tracing
* Work with both Kubernetes and machine\\-oriented open source applications
* Collaborate proactively with a distributed team of engineers, designers and product managers
* Debug issues and interact in public with upstream and Ubuntu communities
* Generate and discuss ideas, and collaborate on finding good solutions


**What we are looking for in you**
* Professional or academic software delivery using Python
* Exceptional academic track record from both high school and university
* Undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path
* Confidence to respectfully speak up, exchange feedback, and share ideas without hesitation
* Track record of going above\\-and\\-beyond expectations to achieve outstanding results
* Passion for technology evidenced by personal projects and initiatives
* The work ethic and confidence to shine alongside motivated colleagues
* Professional written and spoken English with excellent presentation skills
* Experience with Linux (Debian or Ubuntu preferred)
* Excellent interpersonal skills, curiosity, flexibility, and accountability
* Appreciative of diversity, polite and effective in a multi\\-cultural, multi\\-national organisation
* Thoughtfulness and self\\-motivation
* Result\\-oriented, with a personal drive to meet commitments
* Ability to travel twice a year, for company events up to two weeks long


**Additional Skills That Would Be Nice To Have**
 The following skills may be helpful to you in the role, but we don't expect everyone to bring all of them.
   

  

* Hands\\-on experience with machine learning libraries, or tools.
* Proven track record of building highly automated machine learning solutions for the cloud.
* Experience with container technologies (Docker, LXD, Kubernetes, etc.)
* Experience with public clouds (AWS, Azure, Google Cloud)
* Working knowledge of cloud computing
* Passionate about software quality and testing
* Experience working on an open source project


 What we offer colleagues
   

  

 We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance\\-driven annual bonus or commission. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally.
   

  

* Distributed work environment with twice\\-yearly team sprints in person
* Personal learning and development budget of USD 2,000 per year
* Annual compensation review
* Recognition rewards
* Annual holiday leave
* Maternity and paternity leave
* Employee Assistance Programme
* Opportunity to travel to new locations to meet colleagues
* Priority Pass, and travel upgrades for long haul company events


**About Canonical**
 Canonical is a pioneering tech firm at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world of software. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence \\- in order to succeed, we need to be the best at what we do. Most colleagues at Canonical have worked from home since its inception in 2004\\. Working here is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game.
   

  

**Canonical is an equal opportunity employer**
 We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.","Technology, Information and Internet","https://uk.linkedin.com/company/canonical","https://media.licdn.com/dms/image/v2/C560BAQEbIYAkAURcYw/company-logo_100_100/company-logo_100_100/0/1650566107463/canonical_logo?e=2147483647&v=beta&t=17jhZvUOD-0vAJw3nIGnkBiYtBbXfEriIhIo6TfDmzc","","","","",""
"li-4148910815","linkedin","https://www.linkedin.com/jobs/view/4148910815","","Data Platform Infrastructure Engineer","Largeton Group","California, United States","","contract","","","","","","","mid-senior level","Information Technology","","abhishek.kumar@largeton.us, hr@largeton.com","**Title: Data Platform Infrastructure Engineer**
**Location: 100% remote**
**1 year contract**
**Must Have**
* AWS experience with Kubernetes operating knowledge.
* Excellent communication skills
* Big data experience with a mainstream open\\-source framework (e.g. Terraform/ Crossplane, Prometheus)
* Experience with automation for testing, monitoring, and CI/CD Nice to have: Experience working in a customer\\-facing or consulting role Programming experience in Java and Python Knowledge on Machine Learning and AI Job description: We seek a Data Platform Infrastructure Engineer skilled in AWS and Kubernetes to build and maintain the infrastructure powering our data platform. You'll ensure reliability, scalability, and performance of large\\-scale systems, developing tools and dashboards for monitoring and management. Experience with infrastructure\\-as\\-code and CI/CD is essential. You'll collaborate with engineering teams within Apple, and stakeholders to build, test and maintain robust data platforms.


**Experience**
* 8\\+ YOE, with 5\\+ years of experience working with large scale infrastructure systems and cloud environments
* Hands\\-on experience in AWS and knowledge in its ecosystem. Experience in scaling and operating Kubernetes.
* Excellent communication skills is a must, experience working with customers directly to explain how they would use the infrastructure to build solutions that meet their business goals
* Proven ability to work in an agile environment, flexible to adapt to changes
* Programming experience in Java or Python, bash scripting.
* Fast learner and experience with IaC fundamentals and monitoring solutions is a plus.
* Knowledge building machine learning pipelines is a nice to have


**Thanks \\& Regards**
**Abhishek Kumar**
**Sr.Technical Recruiter**
**Email:** 
 abhishek.kumar@largeton.us
   

  

**LARGETON INC.**
**13800 Coppermine Rd, Herndon, VA 20171**
**Disclaimer:** 
 Largeton is an equal opportunity employer. There is no discrimination based on race, color, religion, sex, national origin, age, disability, or any other protected status. If you believe you have been treated unfairly, please contact our HR department at hr@largeton.com.","IT Services and IT Consulting","https://www.linkedin.com/company/largeton-inc","https://media.licdn.com/dms/image/v2/C4E0BAQF26pQsohK7Dw/company-logo_100_100/company-logo_100_100/0/1631311795322?e=2147483647&v=beta&t=S_M2XzOnhzBEFMHY29MMbmxIsG8vU9VSKLqfHbKa-8E","","","","",""
"li-4151464976","linkedin","https://www.linkedin.com/jobs/view/4151464976","","Full Stack Engineer","Artech L.L.C.","California, United States","","contract","","","","","","","mid-senior level","Engineering","","","Job Description
 



 An SRE / Dev type contractor to review storage usage and billing reviews for all China storage vendors. With automation and data processing being a big part of the job.
 



  





 Qualifications
 


* Full stack engineer with proficiency in Java. Additional experience in Python or Go is a plus.
* Experience with JavaScript and popular frameworks (e.g., React, Angular, Vue.js).
* SRE experience in service production operation and support.
* Hands on experience with data processing technologies such as jupyter notebooks, pandas, numpy or sciPy.
* Hands on experience with data visualization technologies such as matplotlib, Bokeh, Grafana, etc.
* Understand building blocks of machine learning, such as linear regression, cost function, gradient descent, PCA, etc.
* Ability to review and automate manual workflows.
* Good communication and data analytical skills.
* Interested in a long\\-term project lasting a year plus.



  





 Preferred
 


* Exposure to scikit\\-learn, Pytorch, and TensorFlow a huge plus.","Staffing and Recruiting and IT Services and IT Consulting","https://www.linkedin.com/company/artechllc","https://media.licdn.com/dms/image/v2/C560BAQHhsbqTAAuwEw/company-logo_100_100/company-logo_100_100/0/1657134366069/artechllc_logo?e=2147483647&v=beta&t=wTSPfp9QA95QoqNTJsi27yw7xlYTeJda_hGoXR0mC5E","","","","",""
"li-4151544872","linkedin","https://www.linkedin.com/jobs/view/4151544872","","Senior Software Engineer","EPITEC","California, United States","","fulltime","","","","","","","mid-senior level","Engineering","","","Description: Senior Software Engineering \\- Infrastructure
 



 Location: Remote (US) PST HOURS REQUIRED
 



  





 Our client is seeking an experienced Software Engineer to join the Software Engineering (Infrastructure) team. The Software Engineering (Infrastructure) team builds large distributed components for our products. Our code serves millions of requests per second and it does so with sub\\-second latency and in a fault tolerant manner. We handle everything from scale data storage, to synchronization and coordination of large server clusters, to providing a runtime environment for front end code. We are looking for candidates who share a passion for tackling complexity and building platforms that can scale through multiple orders of magnitude.
 



 Software Engineering \\- Infrastructure Responsibilities
 



 Design APIs in Python to increase Windows developer productivity
 



 Design core, backend software components
 



 Code using primarily Python and some coding in Rust and Hack
 



 Conduct design and code reviews
 



 Analyze and improve efficiency, scalability, and stability of various system resources
 



 Drive performance measurement, analysis, and optimization to optimize resource usage in areas including compute, bandwidth, storage and memory.
 



 Work with product and infrastructure teams to debug performance issues across the stack.
 



  





 Minimum Qualifications
 



 Experience with Windows development
 



 10\\+ years relevant experience building large\\-scale infrastructure applications or similar experience
 



 Experience building and shipping high quality work and achieving high reliability
 



 Experience improving stability through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changes
 



 Experienced in utilizing data and analysis to explain technical problems and providing detailed feedback and solutions
 



 Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.
 



  





 Preferred Qualifications
 



 Experience with 3D computer vision or computer graphics","Technology, Information and Media","https://www.linkedin.com/company/epitec","https://media.licdn.com/dms/image/v2/C560BAQGqu0_-esX04w/company-logo_100_100/company-logo_100_100/0/1656641705240?e=2147483647&v=beta&t=i88MYP9Nb4qvbR3fcwG99axxgm_7NWlOEOSp7UBCcZU","","","","",""
"li-4148120202","linkedin","https://www.linkedin.com/jobs/view/4148120202","","Java Software Engineer","BeaconFire Inc.","California, United States","","fulltime","","","","","","","entry level","Information Technology and Consulting","","","**BeaconFire** 
 is based in
 **Central NJ** 
 , specializing in Software Development, Web Development, and Business Intelligence; looking for candidates with a strong background in Software Engineering or Computer Science for a Java / Software Developer position
 



  





**Job Responsibilities:** 




  




* Develop applications using Java 8/JEE (and higher), Angular 2\\+, React.js, SQL, Spring, HTML5, CSS, JavaScript and TypeScript among other tools.
* Write scalable, secure, and maintainable code that powers our clients’ platforms.
* Create, deploy, and maintain automated system tests.
* Works with Testers to understand defects opened and resolves them in a timely manner
* Supports continuous improvement by investigating alternatives and technologies and presenting these for architectural review
* Collaborates effectively with other team members to accomplish shared user story and sprint goals



  





**Requirement** 
 :
 



  




* Experience in the programming language Java and JavaScript
* Decent understanding of the software development life cycle
* Basic programming skills using object\\-oriented programming (OOP) languages with in\\-depth knowledge of common APIs and data structures like Collections, Maps, lists, Sets, etc.
* Knowledge of relational databases (e.g. SQL Server, Oracle) basic SQL query language skills



  





**Preferred Qualifications** 
 :
 



  




* Master’s Degree in Computer Science (CS)
* 0\\-1 year of practical experience in Java coding
* Experience using Spring, Maven, and Angular frameworks, HTML, CSS
* Knowledge of other contemporary Java technologies (e.g. Weblogic, RabbitMQ, Tomcat, etc.) · Knowledge of JSP, J2EE, and JDBC



  





**Compensation** 
 :
 



  





 $65,000\\.00 to $80,000\\.00 /year
 



  





**BeaconFire** 
 is an
 **E\\-verified** 
 company that provides equal employment opportunities (visa sponsorship provided)","IT Services and IT Consulting","https://www.linkedin.com/company/beaconfireinc","https://media.licdn.com/dms/image/v2/C560BAQEgZyD0JY8dTA/company-logo_100_100/company-logo_100_100/0/1630645938186?e=2147483647&v=beta&t=rtUNZayNFddz2ZEVUXEZVkDrnx6z-sh2A6Z8ZQvTSqc","","","","",""
"li-4151565963","linkedin","https://www.linkedin.com/jobs/view/4151565963","https://boards.greenhouse.io/anthropic/jobs/4074964008?gh_src=LinkedIn&urlHash=VEVZ","Research Engineer, Pretraining","Anthropic","California, United States","","fulltime","description","yearly",315000.0,340000.0,"USD","","internship","Engineering and Information Technology","","","**About Anthropic**
 Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems.
   

  

 Anthropic is at the forefront of AI research, dedicated to developing safe, ethical, and powerful artificial intelligence. Our mission is to ensure that transformative AI systems are aligned with human interests. We are seeking a Research Engineer to join our Pretraining team, responsible for developing the next generation of large language models. In this role, you will work at the intersection of cutting\\-edge research and practical engineering, contributing to the development of safe, steerable, and trustworthy AI systems.
   

  

**Key Responsibilities**
* Conduct research and implement solutions in areas such as model architecture, algorithms, data processing, and optimizer development
* Independently lead small research projects while collaborating with team members on larger initiatives
* Design, run, and analyze scientific experiments to advance our understanding of large language models
* Optimize and scale our training infrastructure to improve efficiency and reliability
* Develop and improve dev tooling to enhance team productivity
* Contribute to the entire stack, from low\\-level optimizations to high\\-level model design


**Qualifications**
* Advanced degree (MS or PhD) in Computer Science, Machine Learning, or a related field
* Strong software engineering skills with a proven track record of building complex systems
* Expertise in Python and experience with deep learning frameworks (PyTorch preferred)
* Familiarity with large\\-scale machine learning, particularly in the context of language models
* Ability to balance research goals with practical engineering constraints
* Strong problem\\-solving skills and a results\\-oriented mindset
* Excellent communication skills and ability to work in a collaborative environment
* Care about the societal impacts of your work


**Preferred Experience**
* Work on high\\-performance, large\\-scale ML systems
* Familiarity with GPUs, Kubernetes, and OS internals
* Experience with language modeling using transformer architectures
* Knowledge of reinforcement learning techniques
* Background in large\\-scale ETL processes


**You'll Thrive In This Role If You**
* Have significant software engineering experience
* Are results\\-oriented with a bias towards flexibility and impact
* Willingly take on tasks outside your job description to support the team
* Enjoy pair programming and collaborative work
* Are eager to learn more about machine learning research
* Are enthusiastic to work at an organization that functions as a single, cohesive team pursuing large\\-scale AI research projects
* Are working to align state of the art models with human values and preferences, understand and interpret deep neural networks, or develop new models to support these areas of research
* View research and engineering as two sides of the same coin, and seek to understand all aspects of our research program as well as possible, to maximize the impact of your insights
* Have ambitious goals for AI safety and general progress in the next few years, and you’re working to create the best outcomes over the long\\-term.


**Sample Projects**
* Optimizing the throughput of novel attention mechanisms
* Comparing compute efficiency of different Transformer variants
* Preparing large\\-scale datasets for efficient model consumption
* Scaling distributed training jobs to thousands of GPUs
* Designing fault tolerance strategies for our training infrastructure
* Creating interactive visualizations of model internals, such as attention patterns


 At Anthropic, we are committed to fostering a diverse and inclusive workplace. We strongly encourage applications from candidates of all backgrounds, including those from underrepresented groups in tech.
   

  

 If you're excited about pushing the boundaries of AI while prioritizing safety and ethics, we want to hear from you!
   

  

**Annual Salary**
 The expected salary range for this position is:
   

  

 $315,000 — $340,000 USD
   

  

****Logistics****
**Education requirements:** 
 We require at least a Bachelor's degree in a related field or equivalent experience.
   

  

**Location\\-based hybrid policy:** 
 Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices.
   

  

**Visa sponsorship:** 
 We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate. But if we make you an offer, we will make every reasonable effort to get you a visa, and we retain an immigration lawyer to help with this.
   

  

**We encourage you to apply even if you do not believe you meet every single qualification.** 
 Not all strong candidates will meet every single qualification as listed. Research shows that people who identify as being from underrepresented groups are more prone to experiencing imposter syndrome and doubting the strength of their candidacy, so we urge you not to exclude yourself prematurely and to submit an application if you're interested in this work. We think AI systems like the ones we're building have enormous social and ethical implications. We think this makes representation even more important, and we strive to include a range of diverse perspectives on our team.
   

  

****How we're different****
 We believe that the highest\\-impact AI research will be big science. At Anthropic we work as a single cohesive team on just a few large\\-scale research efforts. And we value impact — advancing our long\\-term goals of steerable, trustworthy AI — rather than work on smaller and more specific puzzles. We view AI research as an empirical science, which has as much in common with physics and biology as with traditional efforts in computer science. We're an extremely collaborative group, and we host frequent research discussions to ensure that we are pursuing the highest\\-impact work at any given time. As such, we greatly value communication skills.
   

  

 The easiest way to understand our research directions is to read our recent research. This research continues many of the directions our team worked on prior to Anthropic, including: GPT\\-3, Circuit\\-Based Interpretability, Multimodal Neurons, Scaling Laws, AI \\& Compute, Concrete Problems in AI Safety, and Learning from Human Preferences.
   

  

****Come work with us!****
 Anthropic is a public benefit corporation headquartered in San Francisco. We offer competitive compensation and benefits, optional equity donation matching, generous vacation and parental leave, flexible working hours, and a lovely office space in which to collaborate with colleagues.","Research Services","https://www.linkedin.com/company/anthropicresearch","https://media.licdn.com/dms/image/v2/D4E0BAQFMhKgeR7EYAg/company-logo_100_100/company-logo_100_100/0/1719256989269/anthropicresearch_logo?e=2147483647&v=beta&t=wN6y3zcI_-vsVBJOlfO3ChnXP7tCkDhgXODydqtMIAE","","","","",""
