"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009635766410","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635766410","","Software Developer","Dorsett Controls","Winston-Salem, NC","2025-02-12","","direct_data","yearly",100000.0,134000.0,"USD",False,"","","organic","","**Who we are**:


Dorsett Controls is a leading provider of innovative automation solutions, specializing in custom control systems and services across a diverse range of industries, including HVAC controls and water/wastewater SCADA systems. With a commitment to precision, reliability, and cutting\\-edge technology, we help organizations optimize operations and enhance efficiency. At Dorsett Controls, we are dedicated to delighting our customers, creating innovative experiences, and pursuing excellence. Our team is focused on delivering outstanding results, and we are seeking motivated individuals to join us in shaping the future of the control systems industry.

  


**Join Us in Shaping the Future of Water Technology**


We’re looking for a passionate, forward\\-thinking software developer to join our team and help drive the next wave of innovation in a rapidly evolving industry. If you’re someone who thrives on solving complex problems and is motivated by making a real\\-world impact, we want you on our team.


At the forefront of the digitalization of water, we are committed to creating transformative experiences for our users through cutting\\-edge AI products that deliver critical operational insights. As our industry undergoes a technical revolution, your expertise will help us lead, not follow, and shape the future of sustainable water management.


We seek developers who are not only technically proficient but are also enthusiastic about contributing to a greater purpose—solving global water challenges. If you’re driven to create impactful solutions, take pride in your work, and are excited about leading innovation, we’d love to meet you. Your contributions will play a key role in our growth and success, and together, we can make a significant difference.

  


**What we offer:**


* Benefits: Medical, dental, vision, life insurance, EAP, FSA, HSA, LTD/STD insurance and wellness benefits.


* Career development: Opportunities for advancement and education reimbursement.

  


**Your Responsibilities:**


* Lead the planning, configuration, testing, deployment, and post\\-implementation support for software solutions.


* Collaborate with stakeholders, including customers and end users, to gather, validate, and manage requirements.


* Work closely with hardware engineers to evaluate the interface between hardware and software systems.


* Analyze, review, and enhance software to improve efficiency and meet new requirements.


* Troubleshoot and resolve issues and defects found during testing; independently address problems when needed.


* Collect business requirements and develop detailed specifications.


* Lead the development and debugging of software using JavaScript and relevant frameworks.


* Design and implement database schemas.


* Provide on\\-call support for production systems as needed.


* Create and maintain process documentation in accordance with internal standards.


* Mentor and support junior developers with technical guidance and problem\\-solving.

  


**Qualifications:**


To be successful in this role, candidates must meet the following qualifications:


* Bachelor’s degree in computer science or related field, or equivalent relative experience. A master’s degree would be a plus.


* At least 10 years of software development experience, with 5 years of recent experience in JavaScript development.


* Strong understanding and application of software development methodologies and modern best practices.


* Demonstrated UI/UX design and implementation experience


* Expertise in Agile frameworks (Scrum, XP, Kanban, etc.) and experience with Vue.js frameworks, RESTful services, web services security, and secure coding practices.


* Proficiency with databases such as MongoDB, MariaDB, etc.


* Extensive experience with version control systems, particularly GIT.


* Strong multitasking ability with a self\\-driven work ethic to meet deadlines and objectives.


* Proven leadership abilities to motivate, guide, and teach technical skills to others.


* Excellent problem\\-solving abilities and a proactive, solution\\-oriented approach.


* Strong written and verbal communication skills.

  


**Certificates, Licenses, Registrations**


Valid Driver’s License – Class C


Dorsett Controls is proud to be an Equal Employment Opportunity and affirmative action employer. We celebrate diversity and do not discriminate based on race, religion, color, national origin, sex, sexual orientation, age, veteran status, disability status, or any other applicable characteristics protected by law.","","https://www.glassdoor.com/Overview/W-EI_IE4588753.htm","https://media.glassdoor.com/sql/4588753/dorsett-technologies-squarelogo-1629190475384.png","","","","",""
"gd-1009635492046","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635492046","","Embedded Software Engineer","iTechStack","Greensboro, NC","2025-02-12","","direct_data","yearly",77741.0,106720.0,"USD",False,"","","organic","","**Job Title: Embedded Software Engineer** 

**Location: GREENSBORO,NC** 

Job Description \\& Skill Requirement:

* Software V\\&V per DO\\-178C
* Set up automated test environment for embedded software testing (interfacing with microcontroller / circuit board and emulators)
* Onsite support needed to set up test equipment and perform testing

Qualification:  
BE/B.Tech bachelor's degree

Job Type: Full\\-time

Schedule:

* Day shift

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE1578803.htm","https://media.glassdoor.com/sql/1578803/itechstack-squarelogo-1534223269791.png","","","","",""
"go-MyecddaLxScUSYzpAAAAAA==","google","https://us.bebee.com/job/801d34671cecd15a09b19516a726603f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Engineer - Database Architect","Cone Health - The Moses H. Cone Memorial Hospital","Greensboro, NC","2025-01-31","contract","","","","","",False,"","","","","Pride Global is seeking an experienced Database Engineer to support its client's medical facility based in Greensboro, NC. As a member of our team, you will have the opportunity to work on designing, analyzing, and modifying Electronic Health Record (EHR) software applications.

This is a 6 + month contract with the possibility of extension, offering competitive pay and benefits. The ideal candidate will have experience with database platforms, Power BI, and SQL, and a strong focus on ensuring database systems are user-friendly, scalable, and secure.
• Analyze and design databases to ensure they are user-friendly and secure, meeting organizational requirements.
• Monitor database performance and scalability to identify performance issues and resolve them to optimize database performance.
• Evaluate existing database designs to ensure final solutions align with organizational needs and improve system efficiency.

The successful candidate will participate in creating data architectures for databases and data warehouses to maintain a structured and efficient environment. They will also review data migrations and conversions, collaborating with senior management to troubleshoot complex data processing issues.

A bachelor's degree in a related field and 4+ years of relevant experience in database engineering are required. Power BI and SQL experience are necessary, while platform-centric certification is preferred.","","","","","","","",""
"go-UHZ_-Mvf7gJ6zCi7AAAAAA==","google","https://us.bebee.com/job/660fe50b14c12762777acd96129dfebd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Spatial Data Analyst with Clearance","GeoLogics Corporation","McLeansville, NC","2025-01-27","","","","","","",False,"","","","","Do you have a passion for geospatial technology and a desire to work on high-profile projects supporting national security? We are seeking a highly skilled GIS Engineer with a DOD Secret Clearance to join our team at GeoLogics Corporation.

This is a unique opportunity to work on designing, implementing, and analyzing GIS and database solutions. As a key member of our team, you will be responsible for developing and maintaining command and control and data processing systems.

The ideal candidate will have:
• Bachelor's degree or higher in Computer Science, GIS, or related field
• Over 2 years of experience designing, implementing, and analyzing GIS and database solutions
• Proficiency in geospatial analysis and implementation
• Familiarity with the ArcGIS suite of products
• Ability to maintain and update DBMSs

Additional preferred skills include familiarity with setting up and working in ArcGIS Enterprise in a virtual environment, creating Python tools, JavaScript applications, and Java, as well as experience with source code management tools and RESTful API design.","","","","","","","",""
"go-HWCePcAA6HeJQhNYAAAAAA==","google","https://us.bebee.com/job/e6ce835bc80e14b6ff40f3035b0e71cd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Cloud Computing Engineer","APEX Analytix","Greensboro, NC","2025-01-23","","","","","","",False,"","","","","Join the Journey
As a Data Engineering Intern at APEX Analytix, you will embark on an exciting journey of discovery and innovation. You will contribute to the development of game-changing data applications, collaborate with industry experts, and learn from their experiences. Our company culture prioritizes respect, candor, and fun, ensuring that every individual feels valued and supported in their professional growth.","","","","","","","",""
"in-1be966452e5caf78","indeed","https://www.indeed.com/viewjob?jk=1be966452e5caf78","https://recruitingbypaycor.com/career/JobIntroduction.action?id=8a78879e94d8db240194faf72ccd669f&source=Indeed+Free","Software Developer","Dorsett Controls","Winston-Salem, NC, US","2025-02-12","","direct_data","yearly",100000.0,134000.0,"USD",False,"","","","","**Who we are**:


Dorsett Controls is a leading provider of innovative automation solutions, specializing in custom control systems and services across a diverse range of industries, including HVAC controls and water/wastewater SCADA systems. With a commitment to precision, reliability, and cutting\\-edge technology, we help organizations optimize operations and enhance efficiency. At Dorsett Controls, we are dedicated to delighting our customers, creating innovative experiences, and pursuing excellence. Our team is focused on delivering outstanding results, and we are seeking motivated individuals to join us in shaping the future of the control systems industry.

  


**Join Us in Shaping the Future of Water Technology**


We’re looking for a passionate, forward\\-thinking software developer to join our team and help drive the next wave of innovation in a rapidly evolving industry. If you’re someone who thrives on solving complex problems and is motivated by making a real\\-world impact, we want you on our team.


At the forefront of the digitalization of water, we are committed to creating transformative experiences for our users through cutting\\-edge AI products that deliver critical operational insights. As our industry undergoes a technical revolution, your expertise will help us lead, not follow, and shape the future of sustainable water management.


We seek developers who are not only technically proficient but are also enthusiastic about contributing to a greater purpose—solving global water challenges. If you’re driven to create impactful solutions, take pride in your work, and are excited about leading innovation, we’d love to meet you. Your contributions will play a key role in our growth and success, and together, we can make a significant difference.

  


**What we offer:**


* Benefits: Medical, dental, vision, life insurance, EAP, FSA, HSA, LTD/STD insurance and wellness benefits.


* Career development: Opportunities for advancement and education reimbursement.

  


**Your Responsibilities:**


* Lead the planning, configuration, testing, deployment, and post\\-implementation support for software solutions.


* Collaborate with stakeholders, including customers and end users, to gather, validate, and manage requirements.


* Work closely with hardware engineers to evaluate the interface between hardware and software systems.


* Analyze, review, and enhance software to improve efficiency and meet new requirements.


* Troubleshoot and resolve issues and defects found during testing; independently address problems when needed.


* Collect business requirements and develop detailed specifications.


* Lead the development and debugging of software using JavaScript and relevant frameworks.


* Design and implement database schemas.


* Provide on\\-call support for production systems as needed.


* Create and maintain process documentation in accordance with internal standards.


* Mentor and support junior developers with technical guidance and problem\\-solving.

  


**Qualifications:**


To be successful in this role, candidates must meet the following qualifications:


* Bachelor’s degree in computer science or related field, or equivalent relative experience. A master’s degree would be a plus.


* At least 10 years of software development experience, with 5 years of recent experience in JavaScript development.


* Strong understanding and application of software development methodologies and modern best practices.


* Demonstrated UI/UX design and implementation experience


* Expertise in Agile frameworks (Scrum, XP, Kanban, etc.) and experience with Vue.js frameworks, RESTful services, web services security, and secure coding practices.


* Proficiency with databases such as MongoDB, MariaDB, etc.


* Extensive experience with version control systems, particularly GIT.


* Strong multitasking ability with a self\\-driven work ethic to meet deadlines and objectives.


* Proven leadership abilities to motivate, guide, and teach technical skills to others.


* Excellent problem\\-solving abilities and a proactive, solution\\-oriented approach.


* Strong written and verbal communication skills.

  


**Certificates, Licenses, Registrations**


Valid Driver’s License – Class C


Dorsett Controls is proud to be an Equal Employment Opportunity and affirmative action employer. We celebrate diversity and do not discriminate based on race, religion, color, national origin, sex, sexual orientation, age, veteran status, disability status, or any other applicable characteristics protected by law.","","https://www.indeed.com/cmp/Dorsett-Controls","","","","","",""
"in-aa54bb88192d0f1d","indeed","https://www.indeed.com/viewjob?jk=aa54bb88192d0f1d","http://www.indeed.com/job/embedded-software-engineer-aa54bb88192d0f1d","Embedded Software Engineer","iTechStack","Greensboro, NC, US","2025-02-12","fulltime","direct_data","yearly",75515.0,92134.0,"USD",False,"","","","","**Job Title: Embedded Software Engineer** 

**Location: GREENSBORO,NC** 

Job Description \\& Skill Requirement:

* Software V\\&V per DO\\-178C
* Set up automated test environment for embedded software testing (interfacing with microcontroller / circuit board and emulators)
* Onsite support needed to set up test equipment and perform testing

Qualification:  
BE/B.Tech bachelor's degree

Job Type: Full\\-time

Schedule:

* Day shift

Work Location: In person","","https://www.indeed.com/cmp/Itechstack-7","","","","","",""
"in-223baaa79fc05962","indeed","https://www.indeed.com/viewjob?jk=223baaa79fc05962","https://jobs.volvogroup.com/job/Greensboro-Intern-Java-Developer-%28Summer-2025%29-NC-27409/1147168355/?feedId=361555","Intern: Java Developer (Summer 2025)","Volvo Group","Greensboro, NC, US","2025-02-12","fulltime, internship","direct_data","hourly",16.0,46.0,"USD",False,"","","","","Transport is at the core of modern society. Imagine using your expertise to shape sustainable transport and infrastructure solutions for the future? If you seek to make a difference on a global scale, working with next\\-gen technologies and the sharpest collaborative teams, then we could be a perfect match.

**What you will do**
--------------------


The internship role provides students with the opportunity to apply academic knowledge and skills in a professional environment, and to support/promote the graduate's career goals through contact with professionals in their field of study. The internship experience enables students to participate in professional activities for Volvo Group by working on important and innovative tasks/projects. Internships are structured learning experiences where interns/coops and our full\\-time professionals work together within their selected organization. The internship allows students to integrate knowledge and skills in a manner that is mutually beneficial to the student and Volvo Group.


We are seeking a proactive candidate with java and angular experience to support key projects for the Volvo Group in North America. The ideal profile can work in a fast\\-paced environment, working with agile methodologies and can work across many stakeholder groups.


Our product team is using Java and Angular, these applications help dealers to order parts in America.

**Duration and Expected Hours:**  

This position will require up to 40 hours per week from May 2025 to Aug 2025\\.

**Personal Competencies:**  

* Customer Focus
* Technical Skills
* Action Oriented
* Integrity and Trust
* Out of the Box Thinking
* Willingness to learn
* Adaptability
* Motivation to solve real\\-world problems

**Preferred Skill Sets**  

* Java and Angular knowledge and/or experience is highly preferable
* React knowledge is preferable
* Experience/knowledge with automation tools: Selenium
* Knowledge of business analysis processes
* General understanding of application testing processes
* Strong analytical and troubleshooting skills
* Excellent team working and communication (verbal \\& written) skills in English
* Flexibility and adaptability to work in a growing, dynamic, interdisciplinary team of experts
* Ability to work in a team environment and manage multiple tasks and clients
* Ideal candidate will be highly motivated with a strong sense of urgency
**Who are you?**
----------------

* Applicants must be currently enrolled at an accredited school and have completed 30 semester hours prior to the start of the internship
* Applicants must have a minimum cumulative GPA of 2\\.75
* Applicants are preferred to be pursuing a Computer Science or similar degree
**Ready for the next move?**
----------------------------


We offer a solid package of compensation and benefits, plus you will enjoy:


At the Volvo Group, we strive for a clear, transparent, and straightforward compensation approach, motivating you to contribute to the company’s growth. For all intern and co\\-op positions, the hourly range is set at $16\\.00 \\- $46\\.00\\. The hourly rate for these roles is determined by several factors including, but not limited to, geographic location, academic classification, and degree seeking area of study. In addition to these factors, we believe in the importance of pay equity and consider internal equity of our current team members as part of any final offer.


We also offer the following benefits to interns and co\\-ops:

* Housing assistance
* Countless career opportunities / internal mobility across our global organization
* Training and personal development
  

We value your data privacy and therefore do not accept applications via mail.

 **Who we are and what we believe in**  

Our focus on Inclusion, Diversity, and Equity allows each of us the opportunity to bring our full authentic self to work and thrive by providing a safe and supportive environment, free of harassment and discrimination. We are committed to removing the barriers to entry, which is why we ask that even if you feel you may not meet every qualification on the job description, please apply and let us decide.


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

  

Applying to this job offers you the opportunity to join **Volvo Group.** Every day, across the globe, our trucks, buses, engines, construction equipment, financial services, and solutions make modern life possible. We are almost 100,000 people empowered to shape the future landscape of efficient, safe and sustainable transport solutions. Fulfilling our mission creates countless career opportunities for talents with sharp minds and passion across the group’s leading brands and entities.

 **Group Digital \\& IT** is the hub for digital development within Volvo Group. Imagine yourself working with cutting\\-edge technologies in a global team, represented in more than 30 countries. We are dedicated to leading the way of tomorrow’s transport solutions, guided by a strong customer mindset and high level of curiosity, both as individuals and as a team. Here, you will thrive in your career in an environment where your voice is heard and your ideas matter.","","https://www.indeed.com/cmp/Volvo-Group-15653fc5","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/898ffda48a2a91581ddf42a79d2fcbfc","https://www.volvogroup.com","Gothenburg, Västra Götaland","10,000+","more than $10B (USD)","Every day, we work with some of the sharpest and most creative brains in our field to leave our society in better shape for the next generation."
"in-ecddead0352c78ea","indeed","https://www.indeed.com/viewjob?jk=ecddead0352c78ea","https://jsv3.recruitics.com/redirect?rx_cid=3436&rx_jobId=R-01275743-3&rx_url=https%3A%2F%2Fjobs.thermofisher.com%2Fglobal%2Fen%2Fjob%2FR-01275743%2FAutomation-Engineer%3Frx_a%3D0%26rx_c%3D%26rx_ch%3Djobp4p%26rx_group%3D123525%26rx_job%3DR-01275743-3%26rx_medium%3Dcpc%26rx_r%3Dnone%26rx_source%3Dindeed%26rx_ts%3D20250213T000406Z%26rx_vp%3Dcpc%26utm_medium%3Dppc%26utm_source%3Drecruitics_indeedorganic","Automation Engineer","Thermo Fisher Scientific","Mebane, NC, US","2025-02-11","fulltime","direct_data","yearly",84653.0,117140.0,"USD",False,"","","","","**Work Schedule**


Standard (Mon\\-Fri)**Environmental Conditions**


Adherence to all Good Manufacturing Practices (GMP) Safety Standards, Cleanroom: no hair products, jewelry, makeup, nail polish, perfume, exposed piercings, facial hair etc... allowed, Office, Some degree of PPE (Personal Protective Equipment) required (safety glasses, gowning, gloves, lab coat, ear plugs etc.)**Job Description**


Thermo Fisher Scientific Inc. is a global leader in scientific research, we are dedicated to enabling our customers to make the world healthier, cleaner, and safer. When you are part of the team at Thermo Fisher Scientific, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real\\-world impact, and you’ll be supported in achieving your career goals. Our staff members are committed to making a difference in our organization, for our client partners and the patients we serve. We seek individuals with proven competencies and strong character to help lead our organization now and into the future. At Thermo Fisher Scientific, we value diverse experiences, backgrounds, and perspectives, as they contribute to our exceptional work environment.

**Summary of the position:**


You will play a key role in ensuring the optimal functioning of our automated manufacturing equipment, in addition to resolving any product issues that arise during operation.You will also work closely with other functions including quality, tool room, maintenance, manufacturing, project management and R\\&D Engineering. You will provide technical expertise to support and enhance the operation of automated cells. You will also be involved in the implementation of continuous improvement projects to increase efficiency and maintain quality standards.

**Responsibilities:**

* Ensure compliance with industry safety standards, regulations, and hygiene requirements, while maintaining a comprehensive knowledge of safety issues.
* Train and mentor technicians to perform tasks effectively and efficiently. Collaborate with other functional areas and work centers, such as R\\&D Engineering, Security, Quality, Packaging, Production Planning, Tool Room, Maintenance and Outside Suppliers to streamline production workflows.
* Schedule and delegate tasks to technicians as needed to meet production targets.
* Drive overall efficiency and productivity through the application of lean enterprise principles, practical process improvement (PPI), standard work, visual management, and daily accountability.
* Partner with manufacturing and product teams to successfully introduce new products.
* Develop, update, and maintain departmental metrics to track performance and identify areas for improvement.
* Support the installation of new equipment and ensure that commitment dates are met.
* Facilitate the disconnection, connection, and transfer of equipment. Develop suppliers and contractors within your area of expertise.
* Analyze and resolve problems related to critical plant engineering matters.
* Support innovation and improvement projects related to plant\\-based automated processes.
* Develop investment requests for new projects and obtain necessary approvals.
* Develop and deliver training programs to the technical team on all automation and control activities, including PLCs, robot arms, servo drives, and industrial networking.
* Conduct backups for all machine programs and document updates or changes performed.
* Support Development Programs and/or integrations for productive equipment to improve Overall Equipment Effectiveness (OEE).
* Participate in IQ, OQ, and PQ qualifications for Automated cells, and document results with detailed technical reports.
* Solve production issues and ensure continuous production to meet customer requirements until corrective actions are implemented.
* Assist the Automation leader in supporting Automation Failure Mode and Effects Analysis (FMEA) and Design FMEA for new products development (R\\&D).
* Attend and participate in daily Gemba meetings to ensure the smooth running of operations.

**Requirements for the position:**

**Education:**

* Bachelor’s degree in Mechanical or Electrical Engineering or related engineering field is desirable; high school diploma/GED with applicable automation experience is required

**Experience:**

* 5\\+ years with manufacturing automation and control systems.
* Experience with Good Manufacturing Practices (GMP), ISO standards, Lean manufacturing concepts and familiarization with FDA regulations desired.

**Knowledge:**

* Comprehensive understanding of electrical systems and control circuits, including PLC programming and problem solving.
* In\\-depth knowledge of robotics and their integration with automation systems, including programming, problem solving, and maintenance.
* Hands\\-on experience in field performance and problem solving
* Proficiency in Microsoft Word, Microsoft Outlook, and Microsoft Excel.
* Advanced knowledge of pneumatic actuators, sensors, and industrial automation software.
* Strong mechanical proficiency with attention to detail.

**Skills/Competencies:**

* Proficient with Microsoft Office.
* Familiar with leader diagrams and different industrial automation software such as Rockwell/Allen Bradley.
* A working knowledge of SAP as a plus.
* Willing to travel domestically and internationally approximately 10%.","Industrial Manufacturing","https://www.indeed.com/cmp/Thermo-Fisher-Scientific","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/65bd2e4bebb79b1432ac3277ffd57ae7","https://www.thermofisher.com/","168 Third Avenue, Waltham, MA USA 02451","10,000+","more than $10B (USD)","At Thermo Fisher Scientific, our professionals develop critical solutions—and build rewarding careers."
