"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009636081446","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009636081446","","Software Engineer 2","Garmin International, Inc.","Olathe, KS","2025-02-12","","","","","","",False,"","","organic","","Overview:

Garmin Int’l Inc. seeks a Software Engineer 2 (Olathe, KS; multiple positions):


Responsibilities:
**Essential Functions*** Develops moderately complex software in Java, Scala, or other selected languages for Garmin or OEM products and/or applications.
* Develops scalable, extensible solution architectures leveraging contemporary big\\-data technologies in an operational framework.
* Utilizes software engineering tools such as configuration management systems, build processes, and debuggers in the software development process.
* Creates and executes designs for small sets of new functionalities as part of a software project. Collaborates and adds value through participation in peer code reviews, providing comments and suggestions.
* Serves as a mentor to less experienced software engineers.
* Performs technical root cause analysis and outlines corrective action for given problems.
* Associates are permitted to work from home, within commuting distance of office, up to two days per week provided that their job duties can be performed effectively while working from home, and if they have appropriate approval from their manager.
* Full\\-time remote work is not available.

Qualifications:
**Basic Qualifications**
Bachelor of Science degree in Computer Science or Engineering, Software Engineering, IT, Big Data Analytics, Electrical Engineering or related, plus 1 year of relevant experience in the software engineering environment.
Must have demonstrated experience in the following:* Knowledge and utilization of engineering tools including VS Code, IntelliJ, or other Integrated Development Environment tools (IDEs) necessary for successful performance of the essential functions of this job description.
* Developing moderately complex software in Java, C\\#, Scala, Java Script, HTML, and CSS
* Software engineering tools including configuration management systems, build processes, and debuggers such as Gitlab and Jenkins
* Ability to capture and document software requirements.
* Working knowledge with at least two of the following databases: Postgres\\-SQL, Oracle DB, Microsoft\\-SQL Server or MySQL.
* Knowledge of cloud or another on\\-premise platform to deploy applications such as AWS, PCF, and Azure.
* Manufacturing Execution System
* Bash Scripting (Linux) or Powershell scripting (Windows).
* Knowledge of big data technologies such as Elastic Search, Cassandra, or Hadoop/Spark.

 *Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.* *This position is eligible for Garmin's benefit program. Details can be found here:* *Garmin Benefits*","","https://www.glassdoor.com/Overview/W-EI_IE12667.htm","https://media.glassdoor.com/sql/12667/garmin-squareLogo-1673448906575.png","","","","",""
"gd-1009635690840","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635690840","","Software Engineer- Python","Netsmart Technologies","Overland Park, KS","2025-02-12","","direct_data","yearly",88406.0,119510.0,"USD",False,"","","organic","","*This position is not available for visa sponsorship.**This position is not eligible for relocation assistance.*  

Responsibilities* Participate fully in software development life cycle for large, complex projects
* Design, build and produce software solutions independently
* Conduct team and project planning using Agile methodology and structured delivery processes
* Collaboratively support, troubleshoot and fix issues as part of broader software development team
* Work with and lead onsite and offshore delivery and operations teams
* Provide technical leadership, coaching, and guidance; motivate others to achieve shared aspirations
* Establish metric\\-driven goals and report status, risks and mitigation strategies to key stakeholders
* This position may require availability outside of standard business hours as part of a rotational on\\-call schedule


Qualifications  

Required* *Ability to work onsite in Overland Park, KS*
* Bachelor’s degree or equivalent work experience
* At least 2 years of technical experience in software development
* At least 2 years of experience with full lifecycle development using Agile methods
* The ability to estimate accurately and deliver high quality software on time
* The ability to effectively communicate across organizational functions
* The ability to effectively plan, organize and measure progress toward goals and objectives
* At least 2 years of Python coding experience


Preferred* Experience in the health and human services or post acute marketplace
* Experience with Netsmart EHR solutions


Netsmart is proud to be an equal opportunity workplace and is an affirmative action employer, providing equal employment and advancement opportunities to all individuals. We celebrate diversity and are committed to creating an inclusive environment for all associates. All employment decisions at Netsmart, including but not limited to recruiting, hiring, promotion and transfer, are based on performance, qualifications, abilities, education and experience. Netsmart does not discriminate in employment opportunities or practices based on race, color, religion, sex (including pregnancy), sexual orientation, gender identity or expression, national origin, age, physical or mental disability, past or present military service, or any other status protected by the laws or regulations in the locations where we operate.
Netsmart desires to provide a healthy and safe workplace and, as a government contractor, Netsmart is committed to maintaining a drug\\-free workplace in accordance with applicable federal law. Pursuant to Netsmart policy, all post\\-offer candidates are required to successfully complete a pre\\-employment background check, including a drug screen, which is provided at Netsmart’s sole expense. In the event a candidate tests positive for a controlled substance, Netsmart will rescind the offer of employment unless the individual can provide proof of valid prescription to Netsmart’s third party screening provider.*If you are located in a state which grants you the right to receive information on salary range, pay scale, description of benefits or other compensation for this position, please use this* *form* *to request details which you may be legally entitled.**All applicants for employment must be legally authorized to work in the United States. Netsmart does not provide work visa sponsorship for this position.**Netsmart's Job Applicant Privacy Notice may be found* *here**.*","","https://www.glassdoor.com/Overview/W-EI_IE6309.htm","https://media.glassdoor.com/sql/6309/netsmart-squarelogo-1556039442715.png","","","","",""
"gd-1009635119093","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635119093","","Senior Embedded Algorithm Engineer C/C++","Garmin International, Inc.","Olathe, KS","2025-02-12","","","","","","",False,"","","organic","","Overview:

We are seeking a full\\-time **Senior Embedded Algorithm Engineer C/C\\+\\+** for our **Garmin Health** team in Olathe, KS. Garmin Health is an exciting organization within the Fitness group which leverages wearable technology and biometric sensors to develop and deploy innovative solutions in corporate wellness, population health, and patient monitoring applications worldwide.
Responsibilities:
**Essential Functions*** Serves in a leadership capacity as an individual contributor for developing complex, well\\-tested embedded software in C/C\\+\\+ on bare metal / firmware
* Designs and implements tools and algorithm prototypes in Python
* Approaches, analyzes, and resolves highly technical challenges using knowledge of physiology and digital signal processing.
* May serve as a Lead Software Engineer for complex software development project designs and/or reviews architected modules and software systems supporting new technology or improving capability/performance of existing functionality
* Decomposes functional requirements into well\\-defined tasks
* Researches fundamental problems and implements algorithm solutions that are appropriate
* Offers peer technical assessments in areas of expertise, new technologies and software designs
* Assists design engineering as needed with component datasheet review and schematic design review
* Participates in project leadership and/or program planning including providing technical input to product development plans and concept documents
* Makes substantial contributions toward determination of project goal/objective feasibility and applies good judgment in setting schedules/risk taking
* Mentors and provides guidance to less experienced Software Engineers (1 \\& 2\\)
* Contributes to advanced technical research on new technologies
* Offers process improvement suggestions and authors new procedures as appropriate
* Provides reliable solutions to a wide range of difficult problems using sound problem solving techniques


Qualifications:
**Basic Qualifications*** Bachelor’s Degree in Computer Science, Electrical Engineering, Computer Engineering, Software Engineering, Biomedical Engineering, or related field **AND** a minimum of 5 years relevant experience **OR** an equivalent combination of education and experience
* Mastered proficiency in writing embedded software in C and C\\+\\+ on bare metal
* Ability to design and implement tools and algorithm prototypes in Python
* Design complex algorithms to transform biomedical sensor data into impactful metrics for end users. Familiarity with regression, classification, and/or clustering, statistics, performance analytics (ROC curve analysis), data visualization. Experience with digital filter design and Fourier analysis.
* Bringing up new sensors on an embedded platform, including photoplethysmogram (PPG) sensors, electrocardiogram (ECG) sensors, accelerometers, magnetometers, gyroscopes, capacitive or resistive touch sensors, or similar. Familiarity with programming GPIO, interrupts, SPI/I2C, JTAG/SWD, and the ability to read a circuit diagram.
* Excellent academics (cumulative GPA greater than or equal to 3\\.0 as a general rule)
* Demonstrated proficiency with designing well architectured software systems and modules that support new technology or improve capability/performance of existing functionality
* Demonstrated competence with researching fundamental problems and implementing appropriate algorithmic solutions
* Demonstrated ability to serve as a lead software engineer for a complex software project
* Ability to decompose functional requirements into well\\-defined tasks while balancing quality, quantity, and complexity in work output
* Demonstrated capability to offer peer technical assessments in areas of expertise, new technologies and software designs
* Experience with GIT and JIRA, compilers, debuggers and build systems

**Desired Qualifications*** Discovering and interpreting medical research articles and journals, then using those insights to solve real\\-world problems
* Outstanding academics (cumulative GPA greater than or equal to 3\\.5\\)
* Knowledge of Scipy, Numpy, Scikit\\-Learn, and Pandas, or, their equivalents in Matlab, Octave, or R.

 *Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.* *This position is eligible for Garmin's benefit program. Details can be found here:* *Garmin Benefits*","","https://www.glassdoor.com/Overview/W-EI_IE12667.htm","https://media.glassdoor.com/sql/12667/garmin-squareLogo-1673448906575.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009634981410","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634981410","","Data Manager I - Cancer Center","University of Kansas Medical Center","Kansas City, KS","2025-02-12","","direct_data","yearly",65000.0,99000.0,"USD",False,"","","organic","","**Data Manager I \\- Cancer Center**  

**Department:**  

SOM KC Cancer Center Clinical Trials  

\\-  

Clinical Research  

  

**Position Title:**  

Data Manager I \\- Cancer Center  

  

**Job Family Group:**  

Professional Staff  

  

**Job Description Summary:**  

The Data Manager works with the Clinical Trial Organization (CTO) and The University of Kansas Cancer Center (KUCC) staff and is responsible for maintaining and expanding various databases for KUCC, including membership, publications, funding, grant submissions, clinical research, and clinical trial accruals. This position will mine, gather, organize, analyze, and present data required for annual reports.
  

  

The Data Manager is housed in the Research System Department in the KUCC, CTO and reports to the Research Systems Director.  

  

The University of Kansas Cancer Center is the region's only National Cancer Institute\\-designated comprehensive cancer center where patients gain access to the most promising therapies, cutting\\-edge clinical trials and world class research.  

  

\\*This position may be eligible for a hybrid work schedule after 6 months. Incumbent will work remotely and on campus based on a set departmental schedule based on management approval and must reside in the greater Kansas City metropolitan area.\\*  

  

**Job Description:**  

  

**Job Duties Outlined:**  

* Collect, manage, and organize complex enterprise\\-level data sets for KUCC so that they can be used to create required annual reports, grant submissions, and KUCC member publications.
* Produce professional\\-quality project artifacts for the NCI\\-Cancer Center Support Grant (CCSG) utilizing a process that is easily reproducible for future use.
* Following CCSG guidelines for updating the KUCC funding report (NCI\\-Data Table 2\\), gather and organize patient registry data for (NCI\\-Data Table 3\\), and clinical research data for (NCI\\-Data Table 4\\).
* Update and maintain KU Cancer Center member publications and biosketches database according to NIH and NCI reporting standards by partnering with investigators and program leaders to produce accurate reports.
* Provide KUCC administration with accurate membership, publication, and funding information through routine and ad\\-hoc reports to support stakeholder needs.
* Database management and administration.
* Fulfill standard and ad hoc data requests.
* Develop a high\\-level understanding of key KUCC business processes, workflows, and information flows.
* Manage public access compliance.

This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. It is only a summary of the typical functions of the job, not an exhaustive list of all possible job responsibilities, tasks, duties, and assignments. Furthermore, job duties, responsibilities and activities may change at any time with or without notice.  
* 

  

  

**Required Qualifications:**  

  

**Education**:  

* Bachelor's degree in business, technology, data science or equivalent.

  

**Work Experience**:  

* Experience writing SQL queries and working with SQL Server Management Studio.
* Experience running and building SQL reports.
* Experience in Redcap or similar survey tools.
* Proficient in Microsoft Excel or Power BI.
* Experience in Enterprise/ Institution\\-wide Systems Administration and Database Administration.
* Experience working with IT development projects following a systems development lifecycle.
* Prior experience deploying, administering, extracting, formatting/compiling, analyzing, and reporting out surveys.

  

**Preferred Qualifications:**  

  

**Education**:  

* Degree in a discipline with a significant analytical component.

  

**Work Experience**:  

* Experience as a Data Analyst in health care, research and/or education.
* Experience working with Databases and managing databases.
* Experience in publication crawler and data integration between systems.

  

**Skills**:  

* Organizational, analytical and problem\\-solving skills.
* Verbal and written communication skills.
* Interpersonal skills.

  

**Required Documents:**  

* Resume/CV AND Cover Letter

  

**Comprehensive Benefits Package:**  

  

Coverage begins on day one for health, dental, and vision insurance and includes health expense accounts with generous employer contributions if the employee participates in a qualifying health plan. Employer\\-paid life insurance, long\\-term disability insurance, and various additional voluntary insurance plans are available. Paid time off, including vacation and sick, begins accruing upon hire, plus ten paid holidays. One paid discretionary day is available after six months of employment, and paid time off for bereavement, jury duty, military service, and parental leave is available after 12 months of employment. A retirement program with a generous employer contribution and additional voluntary retirement programs (457 or 403b) are available. https://www.kumc.edu/human\\-resources/benefits.html  

  

**Employee Type:**  

Regular  

  

**Time Type:**  

Full time  

  

**Rate Type:**  

Salary  

  

**Compensation Statement:**  

  

The pay range listed for this position is determined by our compensation program using market data and salary benchmarking. A combination of factors is considered in making compensation decisions including, but not limited to, education, experience and training, qualifications relative to the requirements of the position, and funding. At the University of Kansas Medical Center, a reasonable estimate for the starting pay range will be the minimum to midpoint of the posted range, taking into account the combination of factors listed above.
  

  

**Pay Range:**  

$65,000\\.00 \\- $99,000\\.00  

**Minimum**  

$65,000\\.00  

**Midpoint**  

$82,000\\.00  

**Maximum**  

$99,000\\.00  

  

**Application Instructions:**  

To learn more and apply online, please visit https://kumc.wd5\\.myworkdayjobs.com/en\\-US/kumc\\-jobs/job/Kansas\\-City\\-Metro\\-Area/Data\\-Manager\\-I\\-Cancer\\-Center\\_JR008145 or go to https://careers.kumc.edu/ and search for position number JR008145\\.  

  

Applications must be submitted directly through the KU Medical Center website to be considered for this position. Any applications submitted via email or this website will NOT be reviewed or considered.  

  

**About KU Medical Center:**  

The University of Kansas Medical Centers mission is to educate exceptional health care professionals through a full range of undergraduate, graduate, professional, postdoctoral and continuing education programs in the schools of Medicine, Nursing and Health Professions. KU Medical Center also advances the health sciences through world\\-class research programs; provides compassionate and state\\-of\\-the\\-art patient care in an academic medical center environment; and works with communities in every Kansas county to improve the health of Kansans. Learn more at www.kumc.edu.  

  

**Benefits:**  

KUMC offers a range of great benefits that support employees and eligible family members. Our health insurance benefits begin on hire date and KUMC offers other exciting benefits such as paid parental leave, generous employer retirement contributions and other resources to improve health and well\\-being. For more information, please visit https://www.kumc.edu/human\\-resources/benefits.html  

  

**Equal Employment Opportunity Statement**  

  

**The University of Kansas Medical Center is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, ethnicity, ancestry, age, protected veteran or disability status, marital status, parental status, or genetic information.** **http://policy.ku.edu/IOA/nondiscrimination**  

  

jeid\\-5147b45cd8355a4c8e26d0bc4c2d39e3","","https://www.glassdoor.com/Overview/W-EI_IE19581.htm","https://media.glassdoor.com/sql/19581/university-of-kansas-medical-center-squarelogo.png","","","","",""
"gd-1009636004093","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009636004093","","Automation Engineer","Allied Onesource","Lenexa, KS","2025-02-12","","direct_data","yearly",90000.0,90000.0,"USD",False,"","","sponsored","","**Automation Engineer**

  

**Do you love streamlining processes and boosting efficiency? We're looking for an Automation Engineer to join our team for a long\\-term contract!**


In this role, you'll design, develop, and implement automated solutions to improve our technical processes. You'll work with various technologies to create innovative solutions and troubleshoot any challenges that arise.


**Do you love streamlining processes and boosting efficiency? We're looking for an Automation Engineer to join our team!**
In this role, you'll design, develop, and implement automated solutions to improve our technical processes. You'll work with various technologies to create innovative solutions and troubleshoot any challenges that arise.  

  

**Responsibilities:**


* **Automation Skills:** Proficient in PLC programming, HMI design, and current automation technologies.
* **Project Execution:** Handles assigned tasks including documentation, programming, testing, and commissioning.
* **Technical Expertise:** Performs I/O checkout, reads/modifies technical drawings, and maintains PC hardware/software. Read and modify system architecture, wiring, and panel drawings. Technical writing, to include testing plan creation.
* **Problem\\-Solving:** Applies critical thinking and technical knowledge to solve unique problems.
* **SCADA Development:** Learns and applies basic SCADA programming using industry\\-standard tools.
* **Teamwork \\& Communication:** Collaborates effectively, provides technical support, and communicates clearly.

**Experience and Education:**
* Bachelor's degree in a technical field
* 3\\-5 years of experience in the Biotech, Pharmaceutical, or Specialty Chemical industries (a plus).
* Working knowledge of Good Manufacturing Practices (cGMP) is required.

**This position involves:**
* **Starting at 30% travel:** Expect air travel within the US, with potential international trips. Valid passport and driver's license are mandatory.
* **Physical abilities:** You'll be working in Biotech, Pharmaceutical, and Specialty Chemical facilities (chemicals, noise, temperature extremes, PPE required). Occasional construction site work includes heights, ladders, and lifting up to 50 lbs (rare).
* **Standard office tasks:** You'll be sitting for extended periods, using a computer for data entry, and communicating via phone and screen.
* **Good vision:** Ability to see a computer screen clearly at close range is necessary.

Salary: 90K \\+ Based on Experience  

\\#LI\\-CH1  

\\#INDTECHKC  

**Location:**Lenexa \\- KS


**ZIP code:** 66214


**Reference:**112299


Secondary Reference: AW","","https://www.glassdoor.com/Overview/W-EI_IE708762.htm","https://media.glassdoor.com/sql/708762/b-loehr-staffing-squarelogo-1634281476419.png","","","","",""
"go-8XybAmmo38IbblPqAAAAAA==","google","https://us.bebee.com/job/9651750375a3e6af23ddf5016e18194d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Data Solutions Developer","MAI Wealth Management, Inc.","Independence, MO","2025-01-31","","","","","","",False,"","","","","We are looking for a highly motivated and technical expert to accelerate our efforts to drive trust, adoption, and democratization of insights externally to our clients as well as internally to our advisors, leadership, and other stakeholders.
\\

As a Cloud-Based Analytics Expert, you will work closely with our technical teams to deliver well-defined, transformed, tested, documented, and code-reviewed analytical datasets that are the single source of truth for reliable and consistent results.
\\

Key qualifications include:
\\
• Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management, Engineering, Statistics, or related discipline
• 5+ years of experience working as a Data Analyst
• Expertise in Azure, including Data Lake, SQL Managed Instance, Data Factory, and Purview","","","","","","","",""
"go-SjB6tINxipm7mGP6AAAAAA==","google","https://us.bebee.com/job/b59e5d90ae96b9811a8b3e27d4e3250c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Technical Internship - Analytics and Engineering","Quest Analytics","Overland Park, KS","2025-01-30","","","","","","",False,"","","","","Job Description

As a Software Engineering Intern at Quest Analytics, you will partner with Sr. Engineers, Product Teams, and Leadership to drive the next generation of technical solutions.

You will be immersed in an environment that nurtures individualism, creative problem-solving, and intellect.","","","","","","","",""
"go-_kxfeHx8bYoWz58hAAAAAA==","google","https://us.bebee.com/job/ae4fda191e4bce57c89b00a4a05a31bf?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","AI and Data Scientist","Torch AI","Leawood, KS","2025-01-29","","","","","","",False,"","","","","About Us:

Torch.AI is committed to harnessing the power of AI and data to drive meaningful change in the defense and national security industries. Our passion for solving complex problems and commitment to delivering impactful solutions sets us apart from other companies in the industry. At Torch.AI, you will have the opportunity to be part of a dynamic and energetic team that is shaping the future of AI and data solutions.

Job Requirements:

As a Software Engineer at Torch.AI, you will be responsible for designing and implementing software solutions that meet the needs of our customers. You should possess a strong understanding of software development principles, including Agile methodologies and DevOps practices. Experience with cloud-based technologies, such as AWS, and proficiency in languages like Java, JavaScript, and Python are highly desirable. Additionally, you should have experience with big data technologies, including Hadoop, Spark, and NoSQL databases. Familiarity with machine learning frameworks, such as TensorFlow and PyTorch, is also a plus.","","","","","","","",""
"go-31yBef8v6gs4f1J8AAAAAA==","google","https://jobs.recruiter.com/jobs/16841035007-sr-data-engineer-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Sr. Data Engineer (Remote)","BD","Kansas City, MO","2025-01-28","","description","yearly",68800.0,113500.0,"USD",True,"","","","","Job Description SummaryJob DescriptionWe arethe makers of possible
BD is one of the largest global medical technology companies in the world. Advancing the world of health™ is our Purpose, and it’s no small feat. It takes the imagination and passion of all of us—from design and engineering to the manufacturing and marketing of our billions of MedTech products per year—to look at the impossible and find transformative solutions that turn dreams into possibilities.
We believe that the human element, across our global teams, is what allows us to continually evolve. Join us and discover an environment in which you’ll be supported to learn, grow and become your best self. Become amaker of possiblewith us.
The Software Technology Solutions (STS) organization is BD’s global software innovation engine that enables smart connectivity, data driven insights across devices, with world class technology capabilities to make a difference in patient lives. In STS, we offer flexibility so you can successfully balance your work and personal responsibilities. We care about our associates and ensure we have servant leaders to help you grow your career, provide feedback and recognition, and empower you to show up every day as your authentic self. We are passionate about improving patient outcomes through agile delivery and developing innovative software. Armed with a growth mindset and a desire to want to do more, learn more, impact more, you are in a great position to join STS as a Sr. Data Engineer to help BD advance the world of health in ways you may never have imagined in your career.
About the role
In this role, you will empower the Data Science team to innovate faster and deliver greater insights. You will collaborate with data scientists, data analysts, and matrix stakeholders to make informed decisions, manage risks, and create opportunities. You will also prioritize scaling data and model governance while helping develop and deploy models and dashboards.
You will report directly to the Director of Data Science. This position is 100% remote. The Data Science team and your stakeholders also work remotely.
Responsibilities
Work cross-functionally with data scientists, engineers, and product owners to understand, propose, implement, and orchestrate data pipelines and quality monitoring.Develop and mature our data infrastructure and processes by developing foundational data models across products, operations, and finance.Curate an analytic tier of valid, reliable data to fuel analytic research and development.Prioritize data governance, quality monitoring, and documentation.Be innately curious with a bias for action to develop solutions that balance speed and scale.Foster a data-driven culture through training and documentation.Mentor junior Analytic Engineers.Requirements
3+ years of production-level experience within an organization using AWS infrastructure as code using CDK, SDK, and/or Terraform, Python, SQL, and Git.Bachelor’s degree or above in quantitative or engineering fields (Computer Science, Statistics, Data Science, Mathematics or similar).Experience orchestrating production and development data pipelines integrated with data quality tests.Experience with application interfaces and APIs to ensure data output is easily ingested by other systems and processes.Experience measuring and monitoring data validity, accuracy, consistency, timeliness, and relevance.Strong oral and written communication skills, keen attention to detail and deadline driven.Preferred
3+ years of experience working with data analysts and data scientists.3+ years of domain experience with healthcare data.Experience as a data analyst or data science, working with advanced analytics.Experience deploying and monitoring with Machine Learning concepts such as statistical modeling & diagnostic testing (Continuous + Categorical).Experience optimizing change data capture/write-ahead logs for databases.For certain roles at BD, employment is contingent upon the Company’s receipt of sufficient proof that you are fully vaccinated against COVID-19. In some locations, testing for COVID-19 may be available and/or required. Consistent with BD’s Workplace Accommodations Policy, requests for accommodation will be considered pursuant to applicable law.
Why Join Us?
A career at BD means being part of a team that values your opinions and contributions and that encourages you to bring your authentic self to work. It’s also a place where we help each other be great, we do what’s right, we hold each other accountable, and learn and improve every day.
To find purpose in the possibilities, we need people who can see the bigger picture, who understand the human story that underpins everything we do. We welcome people with the imagination and drive to help us reinvent the future of health. At BD, you’ll discover a culture in which you can learn, grow, and thrive. And find satisfaction in doing your part to make the world a better place.
To learn more about BD visit https://bd.com/careers
Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.
Required Skills
Optional Skills
.
Primary Work LocationUSA CA - San Diego TC Bldg C&DAdditional LocationsWork ShiftAt BD, we are strongly committed to investing in our associates—their well-being and development, and in providing rewards and recognition opportunities that promote a performance-based culture. We demonstrate this commitment by offering a valuable, competitive package of compensation and benefits programs which you can learn more about on our Careers Site under Our Commitment to You.
Salary or hourly rate ranges have been implemented to reward associates fairly and competitively, as well as to support recognition of associates’ progress, ranging from entry level to experts in their field, and talent mobility. There are many factors, such as location, that contribute to the range displayed. The salary or hourly rate offered to a successful candidate is based on experience, education, skills, and any step rate pay system of the actual work location, as applicable to the role or position. Salary or hourly pay ranges may vary for Field-based and Remote roles.
Salary Range Information
$68,800.00 - $113,500.00 USD Annual","","","","","","","",""
