"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635614910","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635614910","","Lead Scala Developer","Q1 Technologies","Omaha, NE","2025-02-12","","direct_data","yearly",110000.0,130000.0,"USD",False,"","","organic","","**Job Summary:**

* Should possess Hands\\-on experience in Scala development including Akka Framework
* Must have good understanding on Akka Streams
* Test driven development
* Awareness on message broker
* Hands\\-on Experience in design and development of Microservices
* Good awareness on Event driven Microservices Architecture
* GRPC Protocol Buffers
* Hands\\-on Experience in Docker Containers
* Hands\\-on Experience in Kubernetes
* Awareness on cloud native applications
* Jira Confluence Ansible Terraform
* Good knowledge of the cloud platforms preferably AWS their IaaS PaaS SaaS solutions
* Good knowledge and hands on experience on the scripting languages like Batch Bash.
* Hands on experience on Python would be a plus
* Knowledge of Integration and unit test and Behaviour Driven Development
* Need to have good problem\\-solving skills
* Good communication skills

**Mandatory Skills :** Apache Spark, Big Data Hadoop Ecosystem, Data Architecture, Python

Job Types: Full\\-time, Permanent

Pay: $110,000\\.00 \\- $130,000\\.00 per year

Schedule:

* 8 hour shift
* Day shift

Experience:

* Scala: 1 year (Preferred)
* Akka: 1 year (Preferred)
* Microservices: 1 year (Preferred)
* Docker: 1 year (Preferred)
* python: 1 year (Preferred)

Work Location: In person","","https://www.glassdoor.com/Overview/W-EI_IE273760.htm","https://media.glassdoor.com/sql/273760/q1-technologies-squarelogo-1442472126507.png","","","","",""
"gd-1009634940261","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634940261","","Software Engineer","Supportworks","Omaha, NE","2025-02-12","","direct_data","yearly",94786.0,141528.0,"USD",False,"","","organic","","Do you get excited about tackling real\\-world challenges and crafting innovative solutions with smart code? Ready to join a company that’s revolutionizing the home services industry with proprietary technology? At **Supportworks**, we’re looking for a talented **Software Engineer** to help us build cutting\\-edge web and mobile applications, websites, and digital tools that empower contractors to improve their sales appointments.  

  

**What We’re About**  

We’re not just another company, we’re redefining the contractor industry. With a culture rooted in innovation, work\\-life balance, and individuality, we’ve consistently earned a **Best Place to Work in Omaha** designation in our category. From our proprietary software solutions to the way we treat our team members, we aim to deliver the unexpected.  

  

**What You’ll Do**  

As part of our close\\-knit development team, you’ll have the opportunity to:* **Develop impactful solutions**: Work with technologies like React\\-Native, ReactJS, JavaScript, Symfony, AWS, Firebase, Ruby and PHP.
* **Write and test quality code**: Craft effective user stories, perform thorough testing, and deliver robust applications.
* **Embrace agility**: Collaborate in an Agile environment using tools like Jira to manage tasks, define scope, and optimize workloads.
* **Innovate continuously**: Research, learn, and integrate new technologies and methods into your work.
* **Build scalable systems**: Create repeatable, shared processes for apps and codebases to ensure consistent success.
* **Collaborate across teams**: Engage with stakeholders to identify opportunities and educate them on our solutions.

  

**What You Bring**  

We’re looking for someone who thrives on solving problems, is eager to learn, and can contribute to our dynamic environment. Ideal qualifications include:* **Education \\& Experience**: A relevant Bachelor’s degree or equivalent work experience, with at least 3 – 5 years in professional software development.
* **Technical Skills**: Experience with frameworks for web and app development, plus a knack for learning new technologies.
* **Attention to Detail**: You have a meticulous eye for quality and pride in delivering polished results.
* **Strong Communication**: You can articulate your ideas and requirements clearly, both verbally and in writing.
* **Team Spirit**: A passion for helping others and collaborating effectively.
* **Commitment to Standards**: Knowledge of coding best practices and a drive to maintain them.

  

**Why You’ll Love It Here**  

At Supportworks, your career is just the beginning. From day one, you’ll experience:* **Unmatched onboarding**: Personalized guidance and mentoring to set you up for success.
* **A vibrant culture**: A workplace that values initiative, rewards enthusiasm, and celebrates individuality.
* **Opportunities for growth**: We promise you’ll grow and achieve more than you ever thought possible.
* **Awesome perks**: From the tools you’ll use to the swag you’ll wear, everything is designed to make you feel part of something special.

  

**Who We Are**  

Supportworks is more than a company, we’re a family of brands dedicated to transforming the contractor industry:* **Foundation Supportworks:** A leader in foundation and concrete repair products, empowering a network of contractors across North America.
* **SolutionView:** A software innovator creating digital tools that redefine the contractor\\-homeowner experience.

  

**Ready to Redefine What’s Possible?**  

This role is based in **Omaha, NE**, and will report into the office 3 days per week. If you’re ready to unleash your potential in an environment that values you, we’d love to hear from you.  

  

**Apply today and start building the future with us!**  

Supportworks is an Equal Opportunity Employer (EOE).  




JFAAOwF1qu","","https://www.glassdoor.com/Overview/W-EI_IE747530.htm","https://media.glassdoor.com/sql/747530/foundation-supportworks-squarelogo-1484249833280.png","","","","",""
"gd-1009634804300","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634804300","","Data Analyst - Corporate Controller","Kiewit Corporation","Omaha, NE","2025-02-12","","direct_data","yearly",62122.0,100347.0,"USD",False,"","","organic","","**Requisition ID:** 175379


**Job Level:** Entry Level


**Home District/Group:** DHO Operations Controller


**Department:** Data Services


**Market:** Corporate Home Office


**Employment Type:** Full Time


**Position Overview**
---------------------



Do you have a passion for analyzing data and using it to solve problems? At Kiewit, we believe in the power of analytics to create exceptional results. The Corporate Controller Group is seeking a Data Analyst. We are looking for someone with a passion for performing data analysis, data mining, and eventually data science in a professional setting. The Operations Controller group is responsible for all corporate financial reporting, and this role is primarily focused on building PowerApps, Python scripts, data sets, and visualizations.

  

  

As a Data Analyst, you will work with business users to understand challenges and build analytical solutions and processes to overcome those challenges. You will also extract, restructure, analyze, and interpret data, while communicating findings and recommendations to the business and leadership.

  

  

At Kiewit, the scale of our operations is huge. Our construction and engineering projects span across the United States, Canada, and Mexico, improving and connecting communities with every initiative. We depend on our high\\-performing operations support professionals — they’re the glue that holds multiple areas of the business together and the catalysts that make things happen. We hire only the most driven people, and we offer them diverse career opportunities, strong leadership and mentorship, rewarding, collaborative work, and responsibility they won’t find anywhere else. We’re always pushing new limits. You can too.


**District Overview**
---------------------



The Corporate Operations Controller group is dedicated to delivering industry\\-leading financial and operational reporting. Our mission is to ensure that our projects and districts have access to high\\-quality, accurate data, coupled with the right level of analysis, precisely when they need it. We are committed to enhancing the quality, consistency, and accuracy of our reports. Additionally, we strive to leverage our data for deeper analytics, providing our executive team with insightful and actionable analyses. Our core functions revolve around reporting accuracy, advanced analytics, and exceptional customer service.


**Location**
------------



This position is based at Kiewit's corporate headquarters in Omaha, NE.


**Responsibilities**
--------------------


* Deliver Best\\-in\\-Class Solutions: Develop analytical solutions by understanding business challenges and leveraging your technical skills and data knowledge. Aim to provide a world\\-class user experience for Kiewit employees through the power of analytics.
* Data Modeling: Access and restructure various data sources to meet stakeholder needs. Be self\\-sufficient and proficient in SQL to optimize data structures.
* Data Visualization: Create high\\-quality, performant, and insightful visualizations that adhere to best practices and meet specific business requirements.
* Data Analysis: Independently perform data analysis, including hypothesis testing, correlation analysis, and data mining. Make strategic recommendations and articulate their business impact.
* Communication and Presentation: Lead requirement\\-gathering conversations, ask insightful questions, and understand stakeholder perspectives. Present analysis results, train stakeholders on decision support tools, and clearly convey how solutions meet business needs.
* Data Collection: Gain a deep understanding of core applications for data collection. Collaborate with stakeholders and product teams to identify current data capture methods and participate in developing future solutions to capture additional necessary data.


**Qualifications**
------------------



An ideal candidate will have:  

* Bachelor’s degree in Analytics, Statistics, Computer Science, or related field
* Interest in leveraging data to solve unique and challenging business problems
* Formal education and superior results in performing data analysis, data mining, statistical analysis, etc.
* 0\\-3 years of related experience
  


Technical Skills  

* Database querying (SQL for MS SQL Server)
* Proficient in Python
* Data Visualization (Tableau, Power BI)
* Knowledge of data lineage and ETL
  


Non\\-Technical Skills  

* Seeking a highly motivated and self\\-driven individual with a strong sense of initiative
* Must possess excellent attention to detail and the ability to manage multiple tasks and projects with minimal supervision
* Adept at problem\\-solving and critical thinking, with a knack for identifying and addressing challenges efficiently
* The candidate should be a quick learner, adaptable, and open to feedback to continuously improve their performance
* Ability to work independently and as a team to meet deadlines, goals and objectives


Other Requirements:


* Regular, reliable attendance
* Work productively and meet deadlines timely
* Communicate and interact effectively and professionally with supervisors, employees, and others individually or in a team environment.
* Perform work safely and effectively. Understand and follow oral and written instructions, including warning signs, equipment use, and other policies.
* Work during normal operating hours to organize and complete work within given deadlines. Work overtime and weekends as required.
* May work at various different locations and conditions may vary.

  




We offer our fulltime staff employees a comprehensive benefits package that’s among the best in our industry, including top\\-tier medical, dental and vision plans covering eligible employees and dependents, voluntary wellness and employee assistance programs, life insurance, disability, retirement plans with matching, and generous paid time off.


We are an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.","","https://www.glassdoor.com/Overview/W-EI_IE2935.htm","https://media.glassdoor.com/sql/2935/kiewit-corporation-squarelogo.png","","","","",""
"gd-1009634790276","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634790276","","Senior Data Analyst","Cox Communications","Omaha, NE","2025-02-12","","direct_data","yearly",79400.0,119000.0,"USD",False,"","","organic","","Prepares transactional analyses and reports for the Cox Communications Sales \\& Service Department and related stakeholders. Gathers and synthesizes data from multiple sources to identify opportunities, risks, and ongoing problems. Evaluates transactional data, analyzes trends, and prepares forecasts. Translates complex data into cogent information for the Sales department and partners. Displays strong communication skills in developing actionable recommendations for leadership.  

  

**What You'll Do**  

  

* Conducts analysis at multiple levels of complexity (including those that are highly technical and complex) which may include trend recognition, explanation of variances, development of forecasts, calculation of performance metrics, and the creation of business cases
* Communicates results effectively. Utilizes Microsoft PowerPoint, Excel, written, and verbal mediums to convey analysis in a logical sequence
* Locates and retrieves data from company data systems and can identify when other relevant data is needed and is able to collect data from other sources including employees and within the industry to generate a comprehensive data set
* Collaborates across company departments to produce analysis related to specific sales channels, product lines, revenue, or expenses
* Conducts research and analysis using sales, operations, and financial data as requested by supervisors, mid\\-level sales leadership and senior sales leadership
* Proactively pursues self\\-generated opportunities to identify value
* Utilizes Microsoft Excel to organize, parse, and display data in tabular and graphical formats
* Ensures quality checks are built into work to prevent errors and maintain data integrity
* Demonstrates proficiency in Microsoft PowerPoint to communicate analytical results
* Recommends specific actions that can be clearly reached because of following an organized, logical, analytical process
* Contributes to departmental understanding of results post\\-production, by proactively and reactively communicating with internal clients
May provide cross\\-functional guidance to lower\\-level analysts.  
* 

  

  

**What's In It For You**  

  

At Cox, we reward your hard work with meaningful benefits.  

  

First, we offer a highly competitive compensation package, 401(k) with a generous company match, comprehensive healthcare, life, and disability benefits, plus numerous other benefits, including adoption assistance, pet insurance, and discounts on travel and cars!  

  

We value people more than technology. That means you'll work within a culture and with a team that values your leadership, your experience, your contributions, and you \\- yes, you \\- as a person. We believe recognition is important, and Cox strives to celebrate those who help make us successful every day. We also encourage diversity and support inclusion; we want you to do you and feel comfortable doing so.  

  

We also offer boundless opportunities for growth; you can sharpen your skills, learn a new talent, join a mentoring program, even earn an advanced degree. You'll find the potential for lateral or upward career growth within the Cox family businesses, including the innovative startups in transportation mobility, clean tech and more.  

  

**Who You Are**  

  

**Minimum**  

  

* Bachelor's degree in a related discipline and 4 years' experience in a related field. The right candidate could also have a different combination, such as a master's degree and 2 years' experience; a Ph.D. and up to 1 year of experience; or 8 years' experience in a related field
* Demonstrated problem solving and analytical thinking skills
* Requires strong knowledge of Microsoft Word, Excel, PowerPoint
Excellent interpersonal, leadership, presentation, and collaborative skills to work effectively with teams throughout organization  
* 

  

  

**Preferred**  

  

Master's degree in a related discipline strongly preferred  

* 

  

  

USD 79,400\\.00 \\- 119,000\\.00 per year  

  

**Compensation:**  

  

Compensation includes a base salary of $79,400\\.00 \\- $119,000\\.00\\. The base salary may vary within the anticipated base pay range based on factors such as the ultimate location of the position and the selected candidate's knowledge, skills, and abilities. Position may be eligible for additional compensation that may include an incentive program.  

  

**Benefits:**  

  

The Company offers eligible employees the flexibility to take as much vacation with pay as they deem consistent with their duties, the company's needs, and its obligations; seven paid holidays throughout the calendar year; and up to 160 hours of paid wellness annually for their own wellness or that of family members. Employees are also eligible for additional paid time off in the form of bereavement leave, time off to vote, jury duty leave, volunteer time off, military leave, and parental leave.  

  

Applicants must currently be authorized to work in the United States for any employer without current or future sponsorship.  

  

**About Cox Communications**  

  

Cox Communications is the largest private telecom company in America, serving six million homes and businesses. That's a lot, but we also proudly serve our employees. Our benefits and our award\\-winning culture are just two of the things that make Cox a coveted place to work. If you're interested in bringing people closer through broadband, smart home tech and more, join Cox Communications today!  

  

**About Cox**  

  

Cox empowers employees to build a better future and has been doing so for over 120 years. With exciting investments and innovations across transportation, communications, cleantech and healthcare, our family of businesses \\- which includes Cox Automotive and Cox Communications \\- is forging a better future for us all. Ready to make your mark? Join us today!  

  

Benefits of working at Cox may include health care insurance (medical, dental, vision), retirement planning (401(k)), and paid days off (sick leave, parental leave, flexible vacation/wellness days, and/or PTO). For more details on what benefits you may be offered, visit our benefits page .  

  

Cox is an Equal Employment Opportunity employer \\- All qualified applicants/employees will receive consideration for employment without regard to that individual's age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.  

  

Statement to ALL Third\\-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.","","https://www.glassdoor.com/Overview/W-EI_IE4063.htm","https://media.glassdoor.com/sql/4063/cox-communications-squarelogo-1617775906639.png","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"go-cBXoHkrtm2PiQA2BAAAAAA==","google","https://us.bebee.com/job/e731ec31ba8377865e19c382ff5d22b5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Big Data Engineer with Experience in GCP","Diverse Lynx","Omaha, NE","2025-02-02","","","","","","",False,"","","","","Data Engineering Solutions: We are looking for a talented PySpark developer to join our team. As a key member of our data engineering team, you will be responsible for designing and developing data engineering solutions that leverage best practices and industry-leading tools.

Responsibilities:
• Develop efficient data ingestion pipelines using PySpark
• Build semantic data layers using large datasets
• Collaborate with cross-functional teams to implement data engineering solutions

Requirements:
• Strong experience in PySpark development
• Knowledge of data pipeline and workflow management using GCP Data Proc, Composser, and GCS
• Understanding of BigQuery and window functions in SQL

About Us: We value diversity and inclusion and are committed to creating a workplace where everyone can thrive.","","","","","","","",""
"go-2s8IUhkVEg-durNAAAAAAA==","google","https://us.bebee.com/job/4f5858cbc116057f3c15bd574b1c6222?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Technical Lead Data Science","Northrop Grumman","Bellevue, NE","2025-01-27","","","","","","",False,"","","","","Security Clearance
As a Northrop Grumman employee, you will have access to sensitive information and technology. Therefore, it is essential to possess a DoD Secret or Top Secret security clearance. To obtain this clearance, you must undergo a thorough background check and meet specific requirements outlined by the US government. This includes providing detailed information about your past employment, education, and personal life. By obtaining a security clearance, you will be able to work on-site in Bellevue, NE and contribute to projects that require access to classified information.","","","","","","","",""
"in-67f953ab85991da4","indeed","https://www.indeed.com/viewjob?jk=67f953ab85991da4","https://careers.lindsay.com/job/Omaha-Senior-Engineer%2C-IoT-NE-68022/1262115700/?feedId=314300&utm_source=Indeed&utm_campaign=Lindsay_Indeed","Senior Engineer, IoT","Lindsay Corporation","Omaha, NE, US","2025-02-12","fulltime","direct_data","yearly",95477.0,126026.0,"USD",False,"","","","","**Senior IoT Engineer**

 **Organization Summary**


Lindsay Corporation is a global company, headquartered in Omaha, Nebraska, focused on providing irrigation and infrastructure solutions to meet the needs of a growing population. As one of the world’s leading providers of irrigation and water management, its Zimmatic systems are operating in more than 90 countries. Lindsay Corporation’s infrastructure division offers a wide range of products that aid in roadway maintenance and transportation safety. Since 1955, Lindsay Corporation has been at the forefront of research and development of products and services designed to meet the needs of a constantly evolving world.

 **Position Description**


Lindsay Corporation is hiring a Senior IoT Engineer within its overall technology organization, reporting to the Director, IoT Engineering in Omaha, NE. This important role will be responsible for designing, implementing, and delivering IoT solutions for Lindsay’s various product lines, including new products and feature development. Additionally, this role will also be responsible for performing maintenance on existing products and solutions.

 **Position Details**


This is a full\\-time, salaried position based at our global headquarters in Omaha, NE and includes a highly competitive salary/benefits package. Travel requirements will be minimal (\\<15%), but there may be some travel to various office locations and conferences.

  

Duties \\& Responsibilities

* Design, develop, and implement firmware and embedded software for IoT devices, ensuring high performance, quality, and reliability
* Collaborate with cross\\-functional teams to integrate hardware and software components, focusing on simplicity and reuse of proven design elements
* Utilize your hardware knowledge to contribute to the development of hardware designs and circuits that promote a seamless interaction between firmware and hardware
* Design products with a focus on customer needs, ensuring that manufacturing, testing, support, and installation are considered throughout the development process
* Actively participate in knowledge sharing, contributing to a culture of transparency and collaboration by documenting and distributing product information
* Evaluate workflows and processes, with a focus on practicality and efficiency
* Acts as a subject matter expert, mentoring and leading other engineers, through expertise and knowledge of current products, technologies, and tools
* Leads new product development efforts, working closely with Team Leads and Project Managers to deliver solutions on time and within the functional specifications
* Participates in code reviews, design reviews, or other forms of team quality assurance procedures

 **Preferred Qualifications**

* Bachelor’s or Master’s degree or equivalent experience in Electrical Engineering, Computer Engineering, or related field.
* 8\\+ years of relevant, professional software engineering experience, including 2\\+ years of experience leading the on\\-time delivery of net\\-new embedded IoT engineering projects/solutions
* Strong proficiency in C or C\\+\\+, demonstrating a solid grasp of programming principles and effective coding techniques, with the ability to mentor others
* Robust problem\\-solving skills, with a proactive approach to finding solutions, the ability to learn from doing, personal accountability, and a positive and professional attitude
* Excellent communication and collaboration skills, with a passion for sharing knowledge and working as part of a team.
* Working knowledge of IoT protocols and standards (e.g., MQTT, TLS, 3GPP, TCP, etc.)
* Ability to work in a fast\\-paced, team\\-oriented environment where constant iteration, improvement, and innovation is key to the success of the team
* Solid understanding, experience, and ability to mentor others on the following: IoT device development, communication, and protocols, Git, embedded RTOS/OS, platform development, embedded hardware
* Demonstrated proficiency and experience with the following languages, technologies, and tools is preferred:
	+ C, C\\+\\+
	+ Test equipment (e.g., oscilloscope, DVM, JTAG debuggers)
	+ IoT protocols and standards (e.g., MQTT, TLS, 3GPP, TCP, etc.)
	+ Cellular, Satellite, and ISM communications
	+ Digital interfaces and protocols (e.g., SPI, I2C, RS485, UART)
	+ Embedded operating systems (e.g. RTOS, Linux,)
	+ IoT Security (e.g., PKI, TLS, TPM)
	+ Integrated Development Environments (e.g., Keil, IAR, VS Code)

 **Why Join Us?**

* Be part of a team that values creativity, collaboration, and making a difference
* Work in an environment that encourages fun and innovation while striving for excellence
* Opportunity to contribute to meaningful projects that have a vast and positive impact on the world


\\#LICC1","","https://www.indeed.com/cmp/Lindsay-Corporation","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/6ff343e4cee5b9f49080ab594ebc0c0b","https://www.lindsay.com/usca/en/","Omaha, NE","1,001 to 5,000","$500M to $1B (USD)","Lindsay provides powerful irrigation, infrastructure and industrial technology solutions that conserve natural resources and enhance the quality of life for people around the world."
"in-c162b6f7567c823c","indeed","https://www.indeed.com/viewjob?jk=c162b6f7567c823c","https://myubt.rec.pro.ukg.net/UNI1120UBTC/JobBoard/56baf6a9-3cb4-4d34-922a-eb69f2137926/OpportunityDetail?opportunityId=2ee6fe56-754c-4852-a0ca-4614d86fb764&postingId=1474ec32-bea4-4275-957c-f18b7bacba5b","Software Quality Assurance (QA) Automation Engineer","Union Bank & Trust Co.","Lincoln, NE, US","2025-02-12","fulltime","direct_data","yearly",58137.0,81082.0,"USD",True,"","","","","**Position Summary:** The QA Automation Engineer automates tests at the user interface (UI) and application programming interface (API) layers for new and existing products, ranging from browsers to mobile apps to APIs. This professional will be relied upon to own, maintain, and expand the wholistic test automation suite, along with keeping current with and implementing best practices. As QA expands automation coverage, this role will collaborate with various business units in conjunction with the QA Manager to learn, document, automate, and maintain their tests. *This role is eligible for hybrid work from home opportunity under the work from home guidelines two days in the office three days WFH per week upon completion of onboarding.*

  


**Essential Functions:**


* Scope and automate web, mobile, desktop, and API tests.
* Utilize Azure DevOps Repos to contribute to and maintain our test automation code repository.
* Document test automation coverage in our test management software.
* Work with various business units to learn, automate, and maintain their tests.
* Demonstrate completed automation to business units and communicate applicable automation coverage.
* Maintain the wholistic test automation suite.
* Maintain test data and users for test automation.
* Investigate and remediate any failing tests.
* Report any application bugs found to appropriate resources for remediation.
* Assist in researching and recommending test automation tools, frameworks, languages, and best practices.
* Support QA efforts on one or more projects, which may require manual testing, as needed.
* Understand and adhere to all bank policies, laws and regulations applicable to their role, complete compliance training and follow internal processes and controls, as required.
* Report all compliance issues, violations of law or regulations in accordance with the steps defined in bank policies.
* Perform other job\\-related duties or special projects as assigned.
* Regular and reliable attendance is an essential function of this position.


**Qualifications:**


* 1\\-2 years experience in software testing or an associate degree in computer science, software engineering or a related field required.
* 1\\-2 years experience with test automation frameworks required, Playwright, Postman and Appium preferred.
* Experience with test and defect management required.
* Working knowledge of SQL required.
* Experience with REST API testing required.
* Experience working with Azure DevOps or similar tools preferred.
* Prior banking experience preferred.
* Advanced knowledge of Microsoft Office products.


**Preferred Talents:**


* Self\\-starter
* Naturally curious
* Adaptable and willing to learn
* Technically skilled
* Personally accountable
* Analytical and detailed
* Effective verbal and written communication skills for both technical and non\\-technical audiences
* Organized


**Working Environment:**



Indoor work not exposed to outdoor elements or hazards.



Sedentary work, occasional lifting and/or carrying up to twenty pounds.



This role is eligible for hybrid work from home opportunity under the work from home guidelines upon completion of onboarding.



PLEASE VIEW THE APPLICANT TERMS \\& CONDITIONS BEFORE PROCEEDING WITH YOUR APPLICATION.


Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities


The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60\\-1\\.35(c)","Banks And Financial Services","https://www.indeed.com/cmp/Union-Bank-&-Trust-Co.-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0b39ae1832d7cd8c720f9d39902f5127","http://www.ubt.com","Lincoln, NE","501 to 1,000","$100M to $500M (USD)",""
"in-c5605d84c4d97b10","indeed","https://www.indeed.com/viewjob?jk=c5605d84c4d97b10","http://www.indeed.com/job/lead-scala-developer-c5605d84c4d97b10","Lead Scala Developer","Q1 Technologies, Inc.","Omaha, NE, US","2025-02-12","fulltime","direct_data","yearly",110000.0,130000.0,"USD",False,"","","","","**Job Summary:**

* Should possess Hands\\-on experience in Scala development including Akka Framework
* Must have good understanding on Akka Streams
* Test driven development
* Awareness on message broker
* Hands\\-on Experience in design and development of Microservices
* Good awareness on Event driven Microservices Architecture
* GRPC Protocol Buffers
* Hands\\-on Experience in Docker Containers
* Hands\\-on Experience in Kubernetes
* Awareness on cloud native applications
* Jira Confluence Ansible Terraform
* Good knowledge of the cloud platforms preferably AWS their IaaS PaaS SaaS solutions
* Good knowledge and hands on experience on the scripting languages like Batch Bash.
* Hands on experience on Python would be a plus
* Knowledge of Integration and unit test and Behaviour Driven Development
* Need to have good problem\\-solving skills
* Good communication skills

**Mandatory Skills :** Apache Spark, Big Data Hadoop Ecosystem, Data Architecture, Python

Job Types: Full\\-time, Permanent

Pay: $110,000\\.00 \\- $130,000\\.00 per year

Schedule:

* 8 hour shift
* Day shift

Experience:

* Scala: 1 year (Preferred)
* Akka: 1 year (Preferred)
* Microservices: 1 year (Preferred)
* Docker: 1 year (Preferred)
* python: 1 year (Preferred)

Work Location: In person","","https://www.indeed.com/cmp/Q1-Technologies,-Inc.","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/fac7596ea42eaeef00a491d0e4ea9689","","","","",""
