"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009635891189","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635891189","","Software Development T5","Tamayo Federal Solutions LLC","Norfolk, VA","2025-02-12","","direct_data","yearly",96335.0,155858.0,"USD",False,"","","organic","","Description:

Tamayo Federal Solutions, LLC, a Department of Defense contractor, is now hiring a Software Development T5 to support the customer and provide system administration services to the Government for both physical and virtual hosted applications. We are seeking a Software Development T5 that will be part of an energetic, results\\-driven team. In this role, you will be responsible for supporting the need for advanced analytical, troubleshooting, and design skills. The ability to communicate with technical and non\\-technical users is also essential. Participation in working groups, design reviews, and system tests is required. Candidates will help generate assessments, as well as develop and implement actionable recommendations based on reviews. Candidates require extensive knowledge of the development process, including specification, documentation, and quality assurance.

**Responsibilities include but are not limited to:**

* Familiar with a variety of the field’s concepts, practices, and procedures.
* Relies on extensive experience and judgment to plan and accomplish goals and independently performs a wide variety of complicated tasks.
* May provide consultation on complex projects and is considered to be the top\\-level contributor/specialist.
* May lead and direct the work of others.
* Analyzes functional business applications and design specifications for functional activities.
* Applies test\\-first practices including Test\\-Driven Development (TDD) for unit tests and Behavior\\-Driven Development (BDD) for automated acceptance tests.
* Develops block diagrams and logic flow charts.
* Translates detailed design into computer software code.
* Tests, debugs and refines the computer software to produce the required product.
* Prepares required documentation, including both program\\-level and user\\-level documentation.
* Enhances software to reduce operating time or improve efficiency.
* Provides technical direction to programmers to ensure program deadlines are met.


Requirements:
**Education/Experience Requirements:**

* BACHELOR’S DEGREE PREFERRED
* 12 years of experience in the field or in a related area

**SECURITY REQUIREMENTS:**

* U.S. Citizenship required.
* Candidate must have active Secret Clearance


Tamayo Federal Solutions, LLC offers a full package of benefits and competitive salary, excellent group medical, vision, and dental programs; 401(k); tuition reimbursement; employee training, development, and education programs; advancement opportunities; and much more!

  

EEO/AA Employer. Protected Veterans and individuals with disabilities are encouraged to apply.


Please NO RECRUITERS – Job Applicants ONLY","","https://www.glassdoor.com/Overview/W-EI_IE5006527.htm","","","","","",""
"gd-1009634844201","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634844201","","Systems/Software Engineering - IT T3","Tamayo Federal Solutions LLC","Norfolk, VA","2025-02-12","","direct_data","yearly",87805.0,129297.0,"USD",False,"","","organic","","Description:  

Tamayo Federal Solutions, LLC, a Department of Defense contractor, is now hiring a Systems/Software Engineering \\- IT T3 to support the customer and shall provide system administration services to the Government for both physical and virtual hosted applications. You will provide all services necessary to ensure the efficient operation of all physical and virtual servers. You will support Government requirements to maintain data center computing, storage, and networking capabilities at Government data centers and within associated commercial cloud environments.


We are seeking a Systems/Software Engineering \\- IT T3 who will be part of an energetic, results\\-driven team. In this role, you will be responsible for working on advanced, complex technical projects or business issues requiring state of the art technical or industry knowledge.


Responsibilities include but are not limited to:

* Being familiar with a variety of the field’s concepts, practices, and procedures
* Reliable extensive experience and judgment to plan and accomplish goals and independently performs a wide variety of complicated tasks
* Possibly providing consultation on complex projects and is considered to be the top\\-level contributor/specialist
* May lead and direct the work of others
* Design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle
* Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes
* Implement automated infrastructure capabilities like backups, security tools, monitoring
* Utilize a consistent DevOps approach to improve all phases of the process and ensure end\\-to\\-end quality across functions
* Knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible
* Utilize version control tools like GIT, Bitbucket, SVN, or CVS
* Goals generally communicated in ""solution"" or project goal terms
* May provide a leadership role for the work group through knowledge in the area of specialization
* Work is highly independent
* May assume a team lead role for the work group
* A specialist on complex technical and business matters


Requirements:

Experience Requirements:

* 5 years of experience in the field or in a related area
* Bachelor's degree in the field or in a related area
* Experienced with network infrastructure, database, cloud and data center operations, and security protocols
* Strong knowledge of Linux and/or Windows OS
* Understands AWS and other services
* Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C\\+\\+
* Work autonomously


Security Requirements:

* U.S. Citizenship required
* Candidate must be Secret Clearance Eligible


Tamayo Federal Solutions, LLC offers a full package of benefits and competitive salary, excellent group medical, vision, and dental programs; 401(k); tuition reimbursement; employee training, development, and education programs; advancement opportunities; and much more!

  

EEO/AA Employer. Protected Veterans and individuals with disabilities are encouraged to apply.


Please NO RECRUITERS – Job Applicants ONLY","","https://www.glassdoor.com/Overview/W-EI_IE5006527.htm","","","","","",""
"gd-1009635871478","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635871478","","DevOps Engineer","Caveon","United States","2025-02-12","","","","","","",False,"","","sponsored","","The DevOps engineer will work with the IT teams and development teams to oversee code releases of our software solutions, measure performance metrics to ensure that user expected performance goals are being met, deploying code, software, and firmware updates feature planning and resource technology planning, monthly audits and testing, end user support as needed, as well as aide in the implementation and maintenance of Caveon’s InfoSec and ISO 27001 programs.

**Knowledge / Skills / Ability:**

* Identify hardware and software problems and solutions
* Troubleshooting technical issues
* Translate development needs into scalable, secure infrastructure deployments.
* Ability to understand Python, Flask, Node.js, React, Vue.js, and Angular.js
* Ability to write SQL scripts to identify, troubleshoot, and correct data issues.
* Strong knowledge of deployment pipelines and the effective implementation of Jenkins
* Familiarity with Kubernetes environment setup, maintenance, and security, including associated management tools.
* Familiarity with automated penetration testing solutions and processes.
* Talking to technology users, and in some cases remoting into computers, and performing a series of actions to resolve problems
* Participate in daily meetings with the IT team and operate independently.
* Ability to understand multiple application technologies and provide troubleshooting and guidance to co\\-workers
* Supporting the roll\\-out of new applications and features
* Ability to perform security monitoring and hardening
* Ability to establish and ensure adherence to security and process protocols
* Collaborative team spirit

**Preferred Education and Experience:**

* Bachelor’s degree in IT, computer science, information systems, or a related field
* 3\\+ years of experience working in a DevOps role or high\\-level system administration
* Knowledge of Windows, Mac, and Linux operating systems and kernels
* Excellent interpersonal skills
* Excellent understanding of computer systems, security, network and systems administration, databases and data storage systems, and telecommunications systems

**Other Responsibilities:**

* Other duties and tasks as assigned
* Maintain confidentiality at all times
* Caveon takes information security seriously and requires that all employees adhere to all established policies and communicate any information system/information security concern immediately to Senior Management so it can promptly be investigated.

**Miscellaneous:**

* Must be eligible to work in the United States.
* Ability to work from home with minimal direction

\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_\\_

Caveon is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, creed, color, religion, alienage or national origin, ancestry, citizenship status, age, disability or handicap, sex, marital status, veteran status, sexual orientation, genetic information, arrest record, or any other characteristic protected by applicable federal, state or local laws. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.

Job Type: Full\\-time

Pay: $10\\.00 \\- $11\\.00 per year

Benefits:

* 401(k)
* Dental insurance
* Health insurance

Compensation Package:

* Profit sharing
* Yearly pay

Work Location: Remote","","https://www.glassdoor.com/Overview/W-EI_IE303916.htm","https://media.glassdoor.com/sql/303916/caveon-squarelogo-1638881330042.png","","","","",""
"gd-1009634790278","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634790278","","Senior Data Analyst","Cox Communications","Chesapeake, VA","2025-02-12","","direct_data","yearly",79400.0,119000.0,"USD",False,"","","organic","","Prepares transactional analyses and reports for the Cox Communications Sales \\& Service Department and related stakeholders. Gathers and synthesizes data from multiple sources to identify opportunities, risks, and ongoing problems. Evaluates transactional data, analyzes trends, and prepares forecasts. Translates complex data into cogent information for the Sales department and partners. Displays strong communication skills in developing actionable recommendations for leadership.  

  

**What You'll Do**  

  

* Conducts analysis at multiple levels of complexity (including those that are highly technical and complex) which may include trend recognition, explanation of variances, development of forecasts, calculation of performance metrics, and the creation of business cases
* Communicates results effectively. Utilizes Microsoft PowerPoint, Excel, written, and verbal mediums to convey analysis in a logical sequence
* Locates and retrieves data from company data systems and can identify when other relevant data is needed and is able to collect data from other sources including employees and within the industry to generate a comprehensive data set
* Collaborates across company departments to produce analysis related to specific sales channels, product lines, revenue, or expenses
* Conducts research and analysis using sales, operations, and financial data as requested by supervisors, mid\\-level sales leadership and senior sales leadership
* Proactively pursues self\\-generated opportunities to identify value
* Utilizes Microsoft Excel to organize, parse, and display data in tabular and graphical formats
* Ensures quality checks are built into work to prevent errors and maintain data integrity
* Demonstrates proficiency in Microsoft PowerPoint to communicate analytical results
* Recommends specific actions that can be clearly reached because of following an organized, logical, analytical process
* Contributes to departmental understanding of results post\\-production, by proactively and reactively communicating with internal clients
May provide cross\\-functional guidance to lower\\-level analysts.  
* 

  

  

**What's In It For You**  

  

At Cox, we reward your hard work with meaningful benefits.  

  

First, we offer a highly competitive compensation package, 401(k) with a generous company match, comprehensive healthcare, life, and disability benefits, plus numerous other benefits, including adoption assistance, pet insurance, and discounts on travel and cars!  

  

We value people more than technology. That means you'll work within a culture and with a team that values your leadership, your experience, your contributions, and you \\- yes, you \\- as a person. We believe recognition is important, and Cox strives to celebrate those who help make us successful every day. We also encourage diversity and support inclusion; we want you to do you and feel comfortable doing so.  

  

We also offer boundless opportunities for growth; you can sharpen your skills, learn a new talent, join a mentoring program, even earn an advanced degree. You'll find the potential for lateral or upward career growth within the Cox family businesses, including the innovative startups in transportation mobility, clean tech and more.  

  

**Who You Are**  

  

**Minimum**  

  

* Bachelor's degree in a related discipline and 4 years' experience in a related field. The right candidate could also have a different combination, such as a master's degree and 2 years' experience; a Ph.D. and up to 1 year of experience; or 8 years' experience in a related field
* Demonstrated problem solving and analytical thinking skills
* Requires strong knowledge of Microsoft Word, Excel, PowerPoint
Excellent interpersonal, leadership, presentation, and collaborative skills to work effectively with teams throughout organization  
* 

  

  

**Preferred**  

  

Master's degree in a related discipline strongly preferred  

* 

  

  

USD 79,400\\.00 \\- 119,000\\.00 per year  

  

**Compensation:**  

  

Compensation includes a base salary of $79,400\\.00 \\- $119,000\\.00\\. The base salary may vary within the anticipated base pay range based on factors such as the ultimate location of the position and the selected candidate's knowledge, skills, and abilities. Position may be eligible for additional compensation that may include an incentive program.  

  

**Benefits:**  

  

The Company offers eligible employees the flexibility to take as much vacation with pay as they deem consistent with their duties, the company's needs, and its obligations; seven paid holidays throughout the calendar year; and up to 160 hours of paid wellness annually for their own wellness or that of family members. Employees are also eligible for additional paid time off in the form of bereavement leave, time off to vote, jury duty leave, volunteer time off, military leave, and parental leave.  

  

Applicants must currently be authorized to work in the United States for any employer without current or future sponsorship.  

  

**About Cox Communications**  

  

Cox Communications is the largest private telecom company in America, serving six million homes and businesses. That's a lot, but we also proudly serve our employees. Our benefits and our award\\-winning culture are just two of the things that make Cox a coveted place to work. If you're interested in bringing people closer through broadband, smart home tech and more, join Cox Communications today!  

  

**About Cox**  

  

Cox empowers employees to build a better future and has been doing so for over 120 years. With exciting investments and innovations across transportation, communications, cleantech and healthcare, our family of businesses \\- which includes Cox Automotive and Cox Communications \\- is forging a better future for us all. Ready to make your mark? Join us today!  

  

Benefits of working at Cox may include health care insurance (medical, dental, vision), retirement planning (401(k)), and paid days off (sick leave, parental leave, flexible vacation/wellness days, and/or PTO). For more details on what benefits you may be offered, visit our benefits page .  

  

Cox is an Equal Employment Opportunity employer \\- All qualified applicants/employees will receive consideration for employment without regard to that individual's age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.  

  

Statement to ALL Third\\-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.","","https://www.glassdoor.com/Overview/W-EI_IE4063.htm","https://media.glassdoor.com/sql/4063/cox-communications-squarelogo-1617775906639.png","","","","",""
"gd-1009635891223","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635891223","","Software Development- T1","Tamayo Federal Solutions LLC","Norfolk, VA","2025-02-12","","direct_data","yearly",81552.0,129139.0,"USD",False,"","","organic","","Description:

 Tamayo Federal Solutions, LLC, a Department of Defense contractor, is now hiring a Software Development T1 to support the customer and provide system administration services to the Government for both physical and virtual hosted applications. We are seeking a Software Development T1 that will be part of an energetic, results\\-driven team. In this role, you will be responsible for supporting the need for advanced analytical, troubleshooting, and design skills. The ability to communicate with technical and non\\-technical users is also essential. Participation in working groups, design reviews, and system tests is required. Candidates will help generate assessments, as well as develop and implement actionable recommendations based on reviews. Candidates require extensive knowledge of the development process, including specification, documentation, and quality assurance.

**Responsibilities include but are not limited to:**

* Familiar with a variety of the field’s concepts, practices, and procedures.
* Relies on extensive experience and judgment to plan and accomplish goals and independently performs a wide variety of complicated tasks.
* May provide consultation on complex projects and is considered to be the top\\-level contributor/specialist.
* May lead and direct the work of others.
* Analyzes functional business applications and design specifications for functional activities.
* Applies test\\-first practices including Test\\-Driven Development (TDD) for unit tests and Behavior\\-Driven Development (BDD) for automated acceptance tests.
* Develops block diagrams and logic flow charts.
* Translates detailed design into computer software code.
* Tests, debugs and refines the computer software to produce the required product.
* Prepares required documentation, including both program\\-level and user\\-level documentation.
* Enhances software to reduce operating time or improve efficiency.
* Provides technical direction to programmers to ensure program deadlines are met.


Requirements:

Education/Experience Requirements:

* BACHELOR’S DEGREE PREFERRED
* Entry to 5 years of experience in the field or in a related area


SECURITY REQUIREMENTS:

* U.S. Citizenship required.
* Candidate must have active Secret Clearance


Tamayo Federal Solutions, LLC offers a full package of benefits and competitive salary, excellent group medical, vision, and dental programs; 401(k); tuition reimbursement; employee training, development, and education programs; advancement opportunities; and much more!

  

EEO/AA Employer. Protected Veterans and individuals with disabilities are encouraged to apply.


Please NO RECRUITERS – Job Applicants ONLY","","https://www.glassdoor.com/Overview/W-EI_IE5006527.htm","","","","","",""
"gd-1009634844204","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009634844204","","Systems/Software Engineering - IT T4","Tamayo Federal Solutions LLC","Norfolk, VA","2025-02-12","","direct_data","yearly",100970.0,144983.0,"USD",False,"","","organic","","Description:  

Tamayo Federal Solutions, LLC, a Department of Defense contractor, is now hiring a Systems/Software Engineering \\- IT T4 to support the customer and shall provide system administration services to the Government for both physical and virtual hosted applications. You will provide all services necessary to ensure the efficient operation of all physical and virtual servers. You will support Government requirements to maintain data center computing, storage, and networking capabilities at Government data centers and within associated commercial cloud environments.


We are seeking a Systems/Software Engineering \\- IT T4 who will be part of an energetic, results\\-driven team. In this role, you will be responsible for working on advanced, complex technical projects or business issues requiring state of the art technical or industry knowledge.


Responsibilities include but are not limited to:

* Being familiar with a variety of the field’s concepts, practices, and procedures
* Reliable extensive experience and judgment to plan and accomplish goals and independently performs a wide variety of complicated tasks
* Possibly providing consultation on complex projects and is considered to be the top\\-level contributor/specialist
* May lead and direct the work of others
* Design, build and maintain a stable and efficient infrastructure to optimize service delivery across production, QA, and development environments throughout the development lifecycle
* Monitor, troubleshoot, maintain, and continuously improve building, packaging, and deployment processes
* Implement automated infrastructure capabilities like backups, security tools, monitoring
* Utilize a consistent DevOps approach to improve all phases of the process and ensure end\\-to\\-end quality across functions
* Knowledge of deployment/configuration management tools like Jenkins, Maven, Puppet, or Ansible
* Utilize version control tools like GIT, Bitbucket, SVN, or CVS
* Goals generally communicated in ""solution"" or project goal terms
* May provide a leadership role for the work group through knowledge in the area of specialization
* Work is highly independent
* May assume a team lead role for the work group
* A specialist on complex technical and business matters


Requirements:  

Experience Requirements:

* 7 years of experience in the field or in a related area
* Bachelor's degree in the field or in a related area
* Experienced with network infrastructure, database, cloud and data center operations, and security protocols
* Strong knowledge of Linux and/or Windows OS
* Understands AWS and other services
* Experience with programming and scripting with languages like Python, Perl, Bash, PHP, Java, SQL, or C\\+\\+
* Work autonomously


Security Requirements:

* U.S. Citizenship required
* Candidate must be Secret Clearance Eligible


Tamayo Federal Solutions, LLC offers a full package of benefits and competitive salary, excellent group medical, vision, and dental programs; 401(k); tuition reimbursement; employee training, development, and education programs; advancement opportunities; and much more!


EEO/AA Employer.


Protected Veterans and individuals with disabilities are encouraged to apply.


Please NO RECRUITERS – Job Applicants ONLY","","https://www.glassdoor.com/Overview/W-EI_IE5006527.htm","","","","","",""
"gd-1009635259502","glassdoor","https://www.glassdoor.com/job-listing/j?jl=1009635259502","","Software Developer","STRATASCORP","Norfolk, VA","2025-02-12","","direct_data","yearly",65675.0,95844.0,"USD",False,"","","organic","","Job Description:  

StratasCorp Technologies has a Software Developer position opening in Norfolk, VA. We are looking for a Software Developer with demonstrated experience in .Net programming MVC, Structured Query Language (SQL), Oracle PL/SQL, and Blazor. We are looking for someone who is excited about taking on technical challenges, enjoys working as part of a team, and who can also take on a solo challenge should the need arise. This software developer position requires on\\-site support, remote work is not available. Duties include:


* Subject Matter Expertise in software application/database design to support development and maintenance of Customer associated applications and data products. This role will utilize SQL, PL/SQL, MVC, and Blazor to build software and database solutions supported by a back\\-end Oracle Enterprise RDBMS
* Support current programming languages (i.e., C\\#, JQuery, Javascript, JSON, Python) and propose new technologies based upon industry trends
* Support conversion of existing data elements to conform to customer Database Design Description (DBDD) and Entity Relation Diagrams (ERDs) to ensure complete and accurate data fills of product
* Support maintenance, security, and documentation of existing and newly developed software code
* Liaise with National and Service Organizations to incorporate new database formats into the Navy’s authoritative database
* Support testing, verification, and validation of data products and data management applications
* Develop of Plan of Action and Milestones (POAM) and related documentation to support Fleet requirements and related IO capabilities
* Utilize Azure DevOps to manage Kanban boards, repositories, testing, and pipelines in two\\-week sprints

  

  

  

**Job Requirements:*** 5\\+ years demonstrated experience in the field of software development with preferred prior performance in Oracle Relational Database Management System (RDBMS) development and SQL development/maintenance
* 2\\+ years demonstrated experience in the field of software development with specific prior performance in MS .NET Application development/maintenance
* 2\\+ years demonstrated experience in the field of software development with specific prior performance eXtensable Markup Language (XML) including the use of XML schemas and eXtensible (XSLT) Stylesheet Language (XSLT) to support parsing and import of external data products to an Oracle Relational Database Management System (RDBMS)
* Must possess DOD 8570 CSWF certification: Security\\+ CE
* Must be able to attain a MS .NET Framework certification within 6 Months
* Experience with Electronic Warfare data is desired but not required","","https://www.glassdoor.com/Overview/W-EI_IE1883049.htm","https://media.glassdoor.com/sql/1883049/stratas-squarelogo-1538589024347.png","","","","",""
"go-ZUefUNoi-mJZwekQAAAAAA==","google","https://us.bebee.com/job/0693edf1baf1da4aa8cc506a023d1c42?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Frontend and Backend Software Developer","GeoSpark Analytics","Virginia Beach, VA","2025-02-02","","","","","","",False,"","","","","Why Join Us?

At GeoSpark Analytics, we offer a dynamic and fast-paced work environment that fosters innovation and growth. As a member of our Development team, you will have the opportunity to work on cutting-edge projects, collaborating with talented professionals who share your passion for technology. Our competitive compensation package, including a bonus plan, 401(k) matching, and equity potential, will provide you with financial security and opportunities for advancement. We also offer a comprehensive benefits package, including healthcare, dental, vision, and life insurance, as well as paid time off and parental leave. Additionally, you will have access to professional development stipends and tuition reimbursement programs.

Our Culture

At GeoSpark Analytics, we value a strong, results-oriented culture that encourages collaboration, creativity, and innovation. We believe in empowering our employees to take ownership of their work and contribute to the success of our organization. Our hybrid work environment allows for flexibility and work-life balance, while our commitment to diversity and inclusion ensures that everyone feels welcome and valued. If you are passionate about technology and eager to join a dynamic team, we encourage you to apply for this exciting opportunity.","","","","","","","",""
"go-LCQl6HMUbyGgMm6mAAAAAA==","google","https://us.bebee.com/job/bf774f312f4610ec49c753ad9b980cf7?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Program Director - Army Data and Analytics","UICGS and Bowhead Family of Companies","Virginia Beach, VA","2025-01-27","","","","","","",False,"","","","","Key Responsibilities
Program Manager Job Description

Bowhead is seeking a highly skilled Program Manager for the upcomming Army Data and Analytics Platform (ARDAP) effort located in Virginia Beach, VA.
• Management of subject matter experts and IT professionals who advise executive level personnel on financial, technical, and other high-level policy areas will be a key responsibility.
• Operational planning, establishment, execution, and evaluation of a multifaceted program/project typically consisting of a set of closely related subprograms or associated activities will be overseen.

Fiscal, operational, administrative, and human resources management of the program will be handled by this role. Additionally, outside funding sources will be sought and developed, serving as principal point of representation and liaison with external constituencies on operational matters.

The ability to easily communicate recommendations and issues to high-level commanders/executives to influence decisions that support the organization's overall strategic plan is essential.

Strong interpersonal skills and good judgment to work alone or as part of a team are crucial.
Requirements

A Master's degree in addition to ten (10+) years' of experience is required, along with PMP or equivalent certification. Intermediate to advanced level skills in Microsoft Office software suite - Word, Excel, Outlook, PowerPoint are necessary.

Must be able to lift up to 25 pounds, stand and walk for prolonged amounts of time, twist, bend and squat periodically.

Security clearance at the Secret level is required. US Citizenship is a requirement for Secret clearance at this location.","","","","","","","",""
"go-DKaevyhzTNhVCVbLAAAAAA==","google","https://us.bebee.com/job/8c1e029b714f67669c841bab6adad0e1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Online Adjunct Professor for Computer Science","ECPI University","Virginia Beach, VA","2025-01-27","","","","","","",False,"","","","","Required Skills and Qualifications:
• Masters degree in Computer Science with 18 graduate semester hours in the discipline from a regionally accredited educational institution.
• 3-5 years industry experience required within the last 5 years.
• Expert skill level in Microsoft Suite, including Word, PowerPoint, and Excel.
• Knowledge of Windows operating systems and common business applications.

In addition to these qualifications, we are looking for individuals who possess strong verbal and written communication skills, the ability to work in a fast-paced environment, and a commitment to academic excellence.","","","","","","","",""
